Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.6859391331672668,-0.24871826171875,0.07465965300798416,-0.12983034551143646,0.016124797984957695,0.32260727882385254,0.33522576093673706,-0.5893482565879822,-0.9272234439849854,0.580457329750061,-0.2407130002975464,-0.11896012723445892,0.04532219097018242,0.44381383061408997,0.43137627840042114,0.18436391651630402
Li,-0.01516241766512394,0.424267053604126,0.6701573133468628,-0.46127915382385254,0.6708465814590454,-0.6742823719978333,0.09242098033428192,0.29247888922691345,-0.17443281412124634,-0.08560100197792053,0.04492317885160446,0.014586768113076687,-0.5622864365577698,0.7106473445892334,-0.045737218111753464,0.2513386607170105
B,-0.7042996287345886,0.03717077523469925,0.24176691472530365,-0.06758556514978409,-0.2059352546930313,0.22466452419757843,0.1361169070005417,-0.46525388956069946,-0.7557975649833679,0.4856779873371124,-0.5301523804664612,-0.46406835317611694,0.3404669761657715,0.18744859099388123,0.5272531509399414,-0.28825464844703674
C,-0.12274625152349472,0.15204519033432007,0.21845167875289917,-0.10392404347658157,0.14318174123764038,0.1828918755054474,0.17583459615707397,-0.03856237232685089,-0.3585685193538666,-0.06970098614692688,-0.14604711532592773,-0.11680308729410172,0.09513020515441895,0.08856125175952911,-0.031001906841993332,0.22521540522575378
N,-0.24931666254997253,0.2718699276447296,0.2644188106060028,0.2328060418367386,0.1865972876548767,-0.08017882704734802,-0.025980569422245026,0.01484745554625988,-0.1722242683172226,0.05143686383962631,-0.02505195327103138,0.027171161025762558,0.03798440843820572,0.3261882960796356,-0.327327162027359,0.5059738755226135
O,-0.2796654999256134,-0.043273646384477615,-0.11607356369495392,1.0090340375900269,-0.22376839816570282,0.43550756573677063,0.3268267512321472,-0.21047435700893402,-0.6630932092666626,-0.07912226766347885,0.02280011773109436,-0.07538820058107376,0.3796880543231964,-0.0034823648165911436,-0.17770475149154663,0.05975040793418884
F,-0.2763177752494812,0.04883860424160957,0.031121211126446724,-0.048660267144441605,-0.0422007255256176,0.10549619048833847,0.10146315395832062,-0.36012378334999084,-0.43476083874702454,0.2848171293735504,-0.39908313751220703,-0.2995200455188751,0.17734678089618683,-0.09303180128335953,0.0030387858860194683,0.3224879205226898
Na,0.48577067255973816,0.774371325969696,0.9339386224746704,-1.30165433883667,1.1160496473312378,-1.0250732898712158,-0.5011693835258484,0.583280622959137,0.3638155460357666,-0.29288971424102783,0.48765620589256287,0.46205827593803406,-0.9850183725357056,1.5395338535308838,-0.3322501480579376,0.520343542098999
Mg,-0.0753500685095787,-0.38709762692451477,-0.19953934848308563,-0.3052431344985962,0.10756523907184601,0.18368178606033325,-0.060364484786987305,-0.010827552527189255,-0.21445193886756897,0.1261003017425537,0.0642140656709671,0.17939583957195282,-0.03997350111603737,0.3664391338825226,-0.23865804076194763,-0.08443118631839752
Al,-0.32219603657722473,-0.1296561360359192,0.6349347829818726,-0.19934339821338654,0.23961129784584045,-0.12424221634864807,-0.35521629452705383,-0.23361219465732574,-0.10751041024923325,-0.0002053198404610157,0.09162221848964691,-0.20684443414211273,-0.5586773753166199,0.31878456473350525,0.09421435743570328,0.32873043417930603
