Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.5812414288520813,-0.3291794955730438,0.8798102736473083,0.5382852554321289,1.143149971961975,-0.8183910846710205,1.0807217359542847,-0.19451536238193512,-0.716002345085144,1.133148431777954,-0.3398914635181427,-0.19318071007728577,0.6297292113304138,0.12462025880813599,0.7221555709838867,0.21723748743534088,0.6505836248397827,-0.7342591285705566,-0.4231263995170593,0.5332342982292175,-0.436861127614975,1.0086256265640259,0.3410106599330902,0.8842812776565552,-1.0379722118377686,-0.21092544496059418,-0.6352601647377014,-0.42066553235054016,-0.4206032156944275,0.5808647871017456,0.2967224717140198,0.7289906144142151
Li,-0.1376296579837799,0.13346879184246063,0.11541934311389923,-0.34171801805496216,0.3282929062843323,0.019920852035284042,0.2007935494184494,0.4831012785434723,0.5486083626747131,0.2139175832271576,0.861081600189209,0.10596849769353867,-0.29856571555137634,-0.03846726566553116,-0.13794128596782684,-0.20768696069717407,-0.26922231912612915,0.3170229494571686,0.14619949460029602,-0.21006043255329132,0.13007119297981262,0.03820766881108284,0.010652515105903149,0.03913338482379913,0.030252613127231598,0.31256574392318726,0.07206688076257706,0.13729310035705566,0.23684202134609222,-0.19588631391525269,-0.1872529834508896,0.19549132883548737
B,0.05619662255048752,-0.37603509426116943,0.4573632776737213,0.4203943908214569,0.6885947585105896,-0.5949892997741699,0.38919731974601746,-0.056236833333969116,-0.19531936943531036,0.4422084093093872,-0.19810760021209717,-0.216164231300354,0.0019569690339267254,0.050290048122406006,0.07020971179008484,0.10970453917980194,0.13586124777793884,-0.3081255257129669,-0.08666078001260757,0.3274449408054352,-0.2749794125556946,0.40736648440361023,0.29338350892066956,0.5166588425636292,-0.30803778767585754,-0.0731939822435379,-0.025265436619520187,-0.30532464385032654,-0.05240481346845627,0.48492470383644104,0.269327849149704,0.20270514488220215
C,-0.15811510384082794,-0.2487078458070755,-0.21177315711975098,0.14590248465538025,0.2113451212644577,-0.049294400960206985,0.2105642706155777,0.15035951137542725,-0.3186183273792267,0.4372197091579437,0.032357990741729736,-0.17142635583877563,-0.025764990597963333,-0.17533272504806519,0.16023889183998108,0.40275752544403076,-0.3480473756790161,-0.12517224252223969,-0.3988874852657318,0.3802027106285095,-0.24665392935276031,0.04273705556988716,0.21509692072868347,0.41328173875808716,-0.3615831136703491,0.1500452607870102,0.03216242045164108,0.14315342903137207,-0.08934611082077026,0.25432658195495605,0.16201622784137726,-0.03814415633678436
N,-0.057147037237882614,-0.09931103885173798,-0.04720590263605118,-0.20399987697601318,0.09240676462650299,-0.09203317761421204,-0.1821996122598648,0.20828749239444733,-0.11808657646179199,0.14912159740924835,0.29632726311683655,0.005699611268937588,0.06274441629648209,-0.24445253610610962,-0.2795182466506958,-0.21028248965740204,-0.11752302944660187,0.5454154014587402,0.2250949591398239,-0.13694313168525696,-0.023360805585980415,-0.27544480562210083,-0.19960318505764008,-0.19371949136257172,0.019373897463083267,0.27966293692588806,0.21694111824035645,0.31647706031799316,0.1627204269170761,0.011022502556443214,0.08301807940006256,-0.0764414370059967
O,0.05499397590756416,0.1529007852077484,0.10356131196022034,-0.03922004997730255,0.3896716237068176,-0.2215408831834793,-0.21972735226154327,0.13904057443141937,-0.43823757767677307,0.019076749682426453,-0.0017189178615808487,0.24499860405921936,0.30353522300720215,-0.22567053139209747,0.2670917510986328,-0.1319904774427414,0.04573654755949974,0.05681949481368065,-0.4296760857105255,-0.3605054020881653,-0.287322461605072,0.03730097413063049,0.02339956909418106,0.17052213847637177,-0.39165905117988586,0.013360324315726757,0.07144996523857117,0.31778857111930847,-0.41558805108070374,0.2084697037935257,0.2322172075510025,0.18086344003677368
F,0.10097944736480713,-0.4900997281074524,-0.04443538188934326,-0.11674017459154129,0.3158503472805023,-0.12548312544822693,0.06128757447004318,0.06413163989782333,-0.25974977016448975,0.125812366604805,-0.2957599461078644,-0.06404910981655121,0.23493386805057526,-0.37722012400627136,0.022139253094792366,-0.17469103634357452,-0.007913218811154366,-0.03307298198342323,-0.14456546306610107,0.204046830534935,-0.3578470051288605,-0.02511177398264408,0.09028425812721252,0.21573731303215027,-0.4325728118419647,0.2043919712305069,-0.012968916445970535,0.1440581977367401,-0.18840822577476501,-0.23133783042430878,-0.13056348264217377,0.2603450119495392
Na,-0.5327147245407104,0.556843638420105,-0.37894880771636963,-0.6798307299613953,-0.2534213066101074,0.2632436156272888,0.0936187207698822,0.8749793767929077,0.9210600256919861,0.0454588457942009,0.9201627969741821,0.46842464804649353,-0.4954177439212799,-0.2998584806919098,-0.2970031499862671,-0.5336417555809021,-0.6175669431686401,0.6520643830299377,0.3081042468547821,-0.19584359228610992,0.7049897313117981,-0.10415417701005936,-0.49763408303260803,-0.33418017625808716,0.4508413076400757,0.7250741720199585,0.5026800632476807,0.4935305118560791,0.4622170627117157,-0.47869792580604553,-0.6326350569725037,-0.352070152759552
Mg,-0.5556812286376953,0.2339753359556198,-0.4087789058685303,-0.33134594559669495,-0.24349035322666168,0.21963539719581604,-0.12347707152366638,0.3356437385082245,0.1516149938106537,0.1596415489912033,0.036121465265750885,0.168598473072052,0.023378772661089897,-0.27222439646720886,-0.28198790550231934,-0.14941726624965668,-0.2731049656867981,0.3271406590938568,0.04185090214014053,-0.21158751845359802,0.21236900985240936,0.1072106584906578,-0.022381534799933434,-0.09101418405771255,0.08103407174348831,0.18141290545463562,0.42483800649642944,0.2894144654273987,0.23895235359668732,-0.05359402298927307,-0.17689448595046997,-0.07572337239980698
Al,-0.17447590827941895,0.026063712313771248,0.19721290469169617,0.022588390856981277,0.05049232020974159,0.3092859387397766,-0.11115371435880661,0.2529841959476471,0.0804034098982811,0.039952926337718964,0.36596643924713135,0.09393471479415894,-0.40792226791381836,-0.12285830080509186,-0.06234488636255264,-0.0815456211566925,-0.48031818866729736,-0.0047744386829435825,0.34422409534454346,0.02921830676496029,-0.05955584719777107,-0.30027803778648376,0.19534337520599365,-0.22756218910217285,-0.003465905785560608,0.47449278831481934,-0.08385565131902695,0.35521477460861206,0.30763816833496094,0.29221946001052856,-0.18684154748916626,-0.05839262157678604
