Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.43271487951278687,-0.21033476293087006,0.38023683428764343,0.32314303517341614,-0.25404486060142517,-0.3055882751941681,0.16511105000972748,0.06080105900764465,0.13927116990089417,-0.2771569788455963,-0.05513681843876839,-0.3410324156284332,0.1547282338142395,-0.3802100419998169,0.28940996527671814,-0.5319774746894836,0.6447927951812744,0.5442550182342529,-0.5970475077629089,0.44605278968811035,0.8350549340248108,-0.2737601399421692,-0.5235650539398193,0.2755081057548523,-0.31439316272735596,-0.20367644727230072,-0.5174143314361572,0.24533824622631073,-0.015562135726213455,0.540981113910675,0.17294733226299286,-0.2873527407646179,-0.6477874517440796,0.17959892749786377,-0.6071986556053162,-0.023102834820747375,-0.33977097272872925,0.5335589051246643,-0.010884908959269524,0.41778963804244995,0.17853514850139618,-0.25515782833099365,-0.6262568831443787,0.09577227383852005,-0.09442983567714691,0.40822768211364746,0.7681430578231812,0.1912231594324112,0.8074666857719421,-0.27741000056266785,-0.39439305663108826,0.519452691078186,0.6412754058837891,-0.7935888171195984,-0.23790130019187927,0.4060032367706299,0.49716073274612427,0.5713197588920593,1.0796650648117065,-0.6616116762161255,0.7849410772323608,-0.46358680725097656,-0.2563842236995697,-0.4553367495536804
Li,-0.006841182708740234,0.5540561676025391,-0.23433098196983337,-0.05345427244901657,0.1686049997806549,0.21372146904468536,-0.6323431730270386,-0.20333288609981537,-0.6262334585189819,0.34784597158432007,-0.5899948477745056,0.2327410876750946,-0.3316679894924164,-0.1093379482626915,-0.3479064106941223,0.21883158385753632,-0.05994589999318123,-0.436028391122818,-0.054987844079732895,-0.5466383099555969,0.3374570310115814,-0.024623237550258636,0.18895742297172546,-0.1860143393278122,-0.9645931720733643,0.5980028510093689,0.03696950152516365,0.0018343895208090544,-0.5596575140953064,-0.14441557228565216,0.8555476069450378,-0.2046625167131424,0.06854988634586334,-0.19605234265327454,0.10482783615589142,0.48683470487594604,0.17736698687076569,0.16396382451057434,-0.3521164059638977,-0.4119661748409271,-0.5491730570793152,-1.0270237922668457,-0.10535892844200134,-0.27476149797439575,0.15903419256210327,-0.6370056867599487,0.041987113654613495,-0.45169350504875183,-0.06153128296136856,0.07776442915201187,0.0059369713999331,0.04587797075510025,-0.18597733974456787,-0.1877884715795517,0.0863022580742836,-0.03187095746397972,0.06552067399024963,-0.035795658826828,1.7653207778930664,0.07569064944982529,0.06196243688464165,-0.03918992355465889,0.5011780858039856,0.0736931636929512
B,-0.047744717448949814,0.28751903772354126,0.11178874969482422,0.01613851822912693,-0.2196284979581833,0.01689954660832882,-0.3130356967449188,-0.18061266839504242,-0.5755553245544434,-0.2557585835456848,-0.21793930232524872,-0.1381855309009552,-0.4989734888076782,-0.4999140501022339,0.01658264361321926,-0.24063484370708466,0.009867624379694462,0.39414751529693604,-0.6830888986587524,-0.041205037385225296,0.5946308970451355,-0.362712562084198,-0.21181343495845795,0.059160325676202774,-0.6257026195526123,0.1401839256286621,-0.08051379770040512,0.17839261889457703,-0.14828406274318695,-0.07528911530971527,0.6797043085098267,-0.1384221464395523,-0.3297439515590668,0.2995716333389282,-0.08961356431245804,0.4201555550098419,-0.03780752792954445,0.04024403169751167,-0.045845456421375275,-0.2398708313703537,-0.26150164008140564,-0.6864274740219116,-0.0009533062693662941,0.19089928269386292,0.297218918800354,-0.5036479234695435,0.44992882013320923,-0.006100323982536793,0.3878868520259857,0.16695252060890198,-0.2507041394710541,0.27998989820480347,0.04433080926537514,-0.31025201082229614,-0.119475357234478,0.2645013630390167,0.12497860193252563,0.21634073555469513,1.034031867980957,-0.3730961084365845,0.21633772552013397,-0.23505066335201263,-0.056285448372364044,0.07595716416835785
C,0.23914174735546112,-0.006844693794846535,0.2915589511394501,-0.1270212084054947,-0.006996886804699898,-0.5095634460449219,-0.42623627185821533,-0.16963596642017365,0.04086510092020035,0.026542941108345985,-0.199981227517128,-0.06395404040813446,0.06307405233383179,-0.2992660701274872,0.28400999307632446,-0.21660301089286804,0.02019873447716236,0.17505596578121185,-0.21361738443374634,0.07020401954650879,0.18098920583724976,-0.06927908957004547,0.03814343735575676,0.11661750823259354,-0.2632931172847748,-0.3128736615180969,-0.15047699213027954,0.06423971056938171,0.2562313675880432,-0.2630307972431183,0.5555965304374695,0.023396465927362442,-0.2273705154657364,0.1254858523607254,0.13460642099380493,0.16040100157260895,-0.15419752895832062,-0.09483406692743301,-0.13526393473148346,-0.11393608152866364,-0.0588080957531929,0.07677216827869415,-0.13343806564807892,0.07291438430547714,0.20962709188461304,-0.28066423535346985,0.02366337552666664,0.0557737834751606,-0.08438999205827713,-0.06435339152812958,-0.16412658989429474,0.10276035964488983,0.002161808544769883,-0.03805733099579811,0.14371643960475922,0.4311724305152893,0.20244354009628296,0.1677730530500412,0.4064885079860687,-0.0507446825504303,-0.021060021594166756,-0.034532297402620316,-0.24498705565929413,-0.17141592502593994
N,0.37215656042099,0.1446448415517807,-0.11612729728221893,-0.05892966687679291,0.18320217728614807,-0.30699995160102844,-0.017667416483163834,-0.254867821931839,0.0738384947180748,0.15130381286144257,-0.33815377950668335,0.050679367035627365,-0.2818332016468048,0.014951552264392376,-0.3732779920101166,-0.0511251837015152,-0.44089922308921814,-0.020967302843928337,0.07129555195569992,0.031077910214662552,-0.02283501997590065,0.18653102219104767,0.042987510561943054,-0.19271092116832733,-0.32601702213287354,0.2231394499540329,0.36901387572288513,-0.2161533236503601,-0.11976119130849838,-0.33255723118782043,0.48490315675735474,0.19980807602405548,0.058935195207595825,0.007066804450005293,0.20675043761730194,0.43464943766593933,-0.0750308707356453,-0.3116039037704468,-0.30227071046829224,-0.10189147293567657,-0.16996453702449799,-0.2192959040403366,-0.020301800221204758,-0.5674062371253967,0.34656357765197754,-0.3915742039680481,0.0499957874417305,-0.20998723804950714,-0.11819986253976822,0.16108675301074982,-0.012059057131409645,-0.12933214008808136,0.21590682864189148,-0.08064933866262436,0.2745926082134247,-0.09612737596035004,-0.1585158109664917,-0.153105229139328,0.6974043846130371,-0.07342246919870377,-0.19592003524303436,0.35320112109184265,0.07161004096269608,0.4199851155281067
O,-0.09706441313028336,-0.05314178392291069,-0.056044094264507294,0.20272208750247955,-0.123550184071064,-0.1377202719449997,0.10362415015697479,0.2263219654560089,0.05506206676363945,-0.32951807975769043,-0.056447118520736694,-0.07884172350168228,0.213790625333786,0.2146313488483429,0.14344409108161926,-0.3025701344013214,-0.2675590515136719,0.4873904287815094,-0.3846360743045807,0.053214315325021744,0.15770448744297028,-0.3669888973236084,-0.3009132444858551,0.21046343445777893,-0.5804803967475891,-0.34483763575553894,-0.005407783202826977,0.09056879580020905,-0.013193119317293167,0.243548184633255,0.44842761754989624,0.0489613376557827,-0.46603870391845703,0.065144844353199,-0.2309739887714386,-0.0785067230463028,-0.15753796696662903,-0.06994157284498215,-0.04618433862924576,-0.08565028011798859,0.47360551357269287,0.0678328424692154,-0.2490486055612564,-0.20450519025325775,0.0859411433339119,-0.05783042684197426,0.34623751044273376,0.11907742917537689,0.2887610197067261,-0.1710812896490097,-0.1915966421365738,0.3240489065647125,0.6380519270896912,-0.34592142701148987,0.032432835549116135,0.280844122171402,0.2679256200790405,0.08980687707662582,0.4585128426551819,-0.11508670449256897,0.09827381372451782,-0.21656712889671326,-0.3725527822971344,0.15392476320266724
F,-0.02189626730978489,0.045955412089824677,0.09507609158754349,0.14421792328357697,0.21871501207351685,-0.09375106543302536,-0.1845778077840805,-0.3316147029399872,0.017264844849705696,0.0527242012321949,-0.4652840197086334,-0.16131949424743652,-0.027067409828305244,0.23473294079303741,-0.08909720927476883,0.03955230116844177,-0.18504999577999115,0.24311563372612,-0.28099071979522705,-0.10183164477348328,0.2835063338279724,-0.2928272783756256,0.04440542310476303,-0.11634065210819244,-0.39408785104751587,0.11443626135587692,0.17817994952201843,-0.02480272948741913,-0.3225654363632202,0.16314834356307983,0.6817631125450134,0.04463556781411171,-0.18695029616355896,0.18230731785297394,0.10559821128845215,0.23360979557037354,-0.23735779523849487,-0.0323195643723011,-0.19914457201957703,0.1184842512011528,-0.41141125559806824,-0.6549552083015442,0.12283119559288025,-0.24534881114959717,0.3508313298225403,-0.28178879618644714,0.24652951955795288,-0.34054428339004517,-0.2316565364599228,0.12306959182024002,0.039262499660253525,0.29266396164894104,-0.07555269449949265,0.026306428015232086,0.05855868011713028,0.2652575671672821,-0.0011054478818550706,0.015472437255084515,0.8614446520805359,-0.1584138423204422,-0.18795253336429596,0.18322522938251495,-0.18407964706420898,0.1776951402425766
Na,0.3215154707431793,0.7942456603050232,-0.6099053621292114,-0.4503612816333771,0.7282910346984863,0.48971638083457947,-0.5599154829978943,-0.6707011461257935,-0.477865606546402,0.7448415756225586,-0.7127235531806946,0.5368238091468811,-0.4938792884349823,0.256869912147522,-0.6633753180503845,0.3878740966320038,-0.03493788465857506,-0.4849242568016052,0.11109071224927902,-0.8363917469978333,-0.13791128993034363,0.48022472858428955,0.3809565305709839,-0.5071674585342407,-0.9497911334037781,0.6476426124572754,0.19542087614536285,-0.41734397411346436,-0.4502922296524048,-0.342913955450058,0.8838776350021362,0.12528803944587708,0.7077826857566833,-0.5979095697402954,0.22995595633983612,0.6881029605865479,0.6186337471008301,0.0764264464378357,-0.6577470302581787,-0.43641582131385803,-0.5718887448310852,-0.9882249236106873,0.10102401673793793,-0.4072307050228119,0.18544772267341614,-0.6409333944320679,-0.09190627932548523,-0.47542616724967957,-0.23665820062160492,0.2189122438430786,0.3808499872684479,-0.22433191537857056,-0.5415757298469543,-0.02596314065158367,0.4935004711151123,-0.3344033360481262,-0.16038110852241516,-0.2122664749622345,1.459102749824524,0.3698377013206482,-0.09603380411863327,0.11598499119281769,0.6987854838371277,0.3285549283027649
Mg,-0.0484231673181057,0.1501612812280655,-0.2233588695526123,-0.011619147844612598,0.03823660686612129,-0.02680295892059803,0.05628374218940735,-0.06190592423081398,0.12493947148323059,0.18410931527614594,0.026992369443178177,-0.18539661169052124,-0.27728256583213806,-0.027580861002206802,-0.07417812943458557,0.053056374192237854,0.06094149127602577,-0.11321939527988434,-0.12185516953468323,-0.07843992859125137,-0.010049249976873398,0.15677139163017273,0.014598171226680279,0.014367139898240566,-0.24515259265899658,-0.05668008700013161,0.03531580790877342,0.22392894327640533,0.19429442286491394,0.10876964777708054,0.05673396959900856,0.005575401242822409,0.21005792915821075,-0.03811490163207054,0.14461545646190643,0.22103583812713623,0.17470428347587585,-0.1728307008743286,-0.46658745408058167,-0.06115024536848068,-0.3054356873035431,0.4230119287967682,-0.018165409564971924,-0.20616301894187927,-0.20657750964164734,0.04303288832306862,0.1272192746400833,-0.14149673283100128,-0.07716459780931473,0.1605968326330185,0.1290566325187683,0.052012186497449875,-0.2744203209877014,-0.26877671480178833,0.20618340373039246,-0.2911642789840698,-0.005011223256587982,-0.12315636873245239,0.14216795563697815,0.08016284555196762,0.1527152806520462,-0.07412003725767136,0.08387172967195511,-0.0883343368768692
Al,0.07485844194889069,0.33111584186553955,-0.2976874113082886,-0.0928543359041214,0.7282131910324097,0.2668631672859192,-0.39329269528388977,-0.4778495728969574,-0.5333970189094543,0.16337960958480835,-0.68243408203125,0.1627838909626007,-0.10659869015216827,-0.18601669371128082,0.07873646169900894,0.04955079033970833,-0.21132321655750275,0.060360074043273926,-0.13500908017158508,-0.38838571310043335,0.08841905742883682,-0.1819552779197693,0.024978844448924065,-0.3510240316390991,-0.4376829266548157,0.5236771106719971,0.23550353944301605,-0.00985607411712408,-0.34937119483947754,-0.42767369747161865,0.8394127488136292,-0.011268505826592445,0.19945116341114044,-0.18336844444274902,0.1053590327501297,0.6302577257156372,-0.3047449588775635,0.15937861800193787,-0.3629215359687805,-0.40053436160087585,-0.5089932680130005,-0.8375353813171387,0.14949490129947662,-0.2190593183040619,-0.07490751147270203,-0.630344033241272,0.2981623113155365,-0.34573838114738464,-0.3169735372066498,0.5862875580787659,-0.06413779407739639,0.05930519476532936,-0.43981483578681946,-0.026246560737490654,0.3840702176094055,-0.1547921597957611,-0.1561967134475708,-0.501913845539093,0.43306878209114075,-0.015367021784186363,0.15467016398906708,0.40584099292755127,0.579150915145874,0.44323065876960754
