Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.4613834023475647,0.08085961639881134,-0.7757219672203064,-0.510527491569519,-0.27753499150276184,-0.17523515224456787,0.3806118965148926,-0.5678397417068481,1.0946972370147705,0.6909542083740234,-0.18986669182777405,-0.7063105702400208,1.1762133836746216,0.11951012909412384,0.8009635210037231,-0.17584483325481415
Li,-0.08848578482866287,0.152284637093544,-0.08458089083433151,0.16278155148029327,0.9405573606491089,-0.6633997559547424,0.36925336718559265,-0.22158271074295044,0.47739946842193604,0.19093188643455505,-0.03199943155050278,-0.7741584777832031,0.3916713297367096,0.5446298718452454,0.21484597027301788,-0.41676586866378784
Be,0.18286746740341187,-0.7054845094680786,-0.06235591322183609,0.4637903869152069,0.8057380318641663,0.175356924533844,0.545231282711029,-0.5114028453826904,0.5115590691566467,-0.5252966284751892,0.033512312918901443,-0.15657171607017517,0.09730686247348785,0.09867995232343674,-0.15546701848506927,0.01112325582653284
B,0.469153493642807,-0.5917046070098877,1.3682177066802979,0.9071324467658997,0.0628461167216301,0.47640088200569153,0.37392646074295044,-0.011992564424872398,-0.18373717367649078,-0.5205727219581604,0.30907630920410156,0.09055976569652557,-0.763944685459137,0.5531780123710632,-0.25347861647605896,0.9698952436447144
C,0.7110605835914612,-0.8343908190727234,0.9013167023658752,0.19883841276168823,-0.115575410425663,0.27955904603004456,0.699027419090271,-0.6840721368789673,-0.1570519208908081,-0.9317592978477478,0.5676712989807129,0.04427354782819748,-1.2137287855148315,0.34497660398483276,-0.1782202124595642,1.3275383710861206
N,0.38356274366378784,-0.036350101232528687,0.7130905389785767,0.8071290850639343,-0.5864933133125305,0.06665508449077606,0.3540666699409485,0.28794896602630615,-1.1068754196166992,-0.6656177043914795,-0.0951702669262886,0.33822184801101685,-1.1719872951507568,0.6680692434310913,-0.10393615067005157,1.5849859714508057
O,-0.09925727546215057,0.49405863881111145,0.7297601699829102,0.1425008326768875,-1.1724839210510254,-0.2836696207523346,-0.07124535739421844,0.34611672163009644,-0.07769102603197098,-0.35842281579971313,-0.07135679572820663,-0.17666397988796234,-0.6235606074333191,-0.07279720157384872,0.2773660123348236,1.13651704788208
F,-0.13928917050361633,0.5305045247077942,0.3479246199131012,-0.6431164145469666,-0.7942699790000916,-0.7620737552642822,-0.599064826965332,-0.04793540760874748,0.7001346349716187,0.17250117659568787,-0.5085586309432983,-0.5221975445747375,-0.43397900462150574,-0.4154369533061981,0.2696359157562256,0.9764697551727295
Na,-0.1304035186767578,0.3140152096748352,-0.4748178720474243,-0.6636044979095459,1.3125710487365723,-0.8050023913383484,0.00613661902025342,-0.128315731883049,0.4275630712509155,0.6160963773727417,-0.1893320232629776,-0.6415978074073792,0.7078006863594055,1.2458609342575073,0.27710995078086853,-1.0553903579711914
Mg,-0.01442257221788168,-0.36004459857940674,-0.5680255889892578,-0.5003083944320679,0.6762714385986328,0.07745484262704849,0.09145046025514603,-0.029113946482539177,-0.017059290781617165,0.09715276211500168,-0.01806541718542576,0.14678043127059937,0.3872854709625244,0.7582379579544067,-0.30038949847221375,-0.7205650806427002
Al,0.06587979197502136,-0.48700258135795593,0.7146828770637512,0.06455197185277939,0.751151442527771,-0.17049498856067657,-1.099643588066101,-0.10615773499011993,0.4733198881149292,-0.28114578127861023,0.5245073437690735,-0.21966327726840973,-0.6107599139213562,0.5245910882949829,-0.3821353018283844,0.0749007910490036
Si,0.02612191066145897,-0.7562145590782166,0.49688079953193665,-0.1878357231616974,0.6506086587905884,-0.6672719717025757,-0.4924449324607849,-0.4134657382965088,0.5261698365211487,-0.6962851285934448,0.6367920637130737,-0.5809281468391418,-0.8084948062896729,0.5066583156585693,-0.4605676531791687,0.398094117641449
P,0.19134734570980072,-0.49644845724105835,-0.05996721237897873,-0.1339992880821228,-1.017390489578247,-0.1766030490398407,0.39541125297546387,-1.0533732175827026,0.9241387248039246,-0.4389355182647705,0.4157152473926544,-0.8175971508026123,-0.34348905086517334,-0.2396712303161621,0.6580020785331726,0.965155839920044
S,-0.19970948994159698,0.06465166062116623,0.12098351120948792,-1.0907126665115356,-1.4070621728897095,-0.5083471536636353,-0.45382586121559143,-0.615398645401001,1.0379958152770996,0.2524203360080719,0.036078017204999924,-0.5711871981620789,-0.23119497299194336,-0.5798692107200623,0.7835433483123779,0.21987807750701904
Cl,-0.5779277682304382,0.6543326377868652,0.1570989042520523,-1.306678056716919,-0.17388537526130676,-0.9939793348312378,-1.0540745258331299,0.7397908568382263,0.36513781547546387,0.9063664674758911,-0.8301737308502197,-0.564635694026947,-0.06352933496236801,0.15137343108654022,0.4375411868095398,-0.2954183518886566
K,-0.14031125605106354,0.4296462833881378,-0.5908656716346741,-0.15849213302135468,0.7638694047927856,-0.5074596405029297,0.49329614639282227,0.450520396232605,0.07347068190574646,1.092389702796936,-0.580765426158905,-0.3457937240600586,0.9272886514663696,0.7603423595428467,0.5156049132347107,-0.5478763580322266
Ca,-0.02914966642856598,0.22067132592201233,-0.6840885281562805,-0.4176540970802307,1.050154447555542,-0.2567082643508911,-0.5183535218238831,0.6956406235694885,-0.6523976922035217,0.22648218274116516,0.10141653567552567,0.4650914669036865,0.225161612033844,0.9282868504524231,-0.2061736136674881,-0.6680602431297302
Sc,0.41872793436050415,0.06492078304290771,-0.2174932360649109,0.14828506112098694,0.9927730560302734,0.12029187381267548,-0.37167513370513916,0.602019190788269,-0.2872200906276703,-0.1231478750705719,0.4391764998435974,0.34016111493110657,0.08516928553581238,0.9999315142631531,-0.32319265604019165,-0.3785018026828766
Ti,0.31631529331207275,-0.64047771692276,-0.3213634490966797,0.7101892828941345,0.829686164855957,0.004120377823710442,0.5625099539756775,0.27722010016441345,-0.11452291905879974,-0.38151606917381287,0.6470046043395996,-0.06978002935647964,-0.0016538910567760468,0.48826077580451965,-0.16867943108081818,-0.14036642014980316
V,0.31926649808883667,-0.581287682056427,-0.09656597673892975,0.9571069478988647,0.8987213969230652,0.41003531217575073,0.8127533197402954,-0.32926473021507263,0.14591939747333527,-0.04896187037229538,0.45127618312835693,-0.024074025452136993,-0.014195059426128864,0.31715741753578186,-0.4825948178768158,0.06902413815259933
Cr,0.32865554094314575,-0.38659393787384033,0.07336018979549408,0.46291619539260864,0.9801580309867859,0.3242131769657135,0.243301123380661,-0.05120788887143135,0.03156310319900513,0.07342852652072906,0.7025495171546936,0.13289840519428253,-0.09395970404148102,0.8376467227935791,-0.32059723138809204,-0.34248387813568115
Mn,0.40079089999198914,-0.40875405073165894,0.602716326713562,0.22499576210975647,1.0235836505889893,0.5181622505187988,0.6446311473846436,-0.24377016723155975,0.1616698056459427,0.09280958771705627,0.4953322112560272,-0.029705923050642014,0.2732914686203003,0.22113969922065735,-0.4904702305793762,-0.19389046728610992
Fe,0.49928051233291626,-0.2490726262331009,0.7180297374725342,0.9443001747131348,1.299636721611023,0.32321324944496155,1.216801404953003,0.4371338188648224,0.41230565309524536,0.21992076933383942,0.1323603242635727,0.010984938591718674,0.07445386797189713,0.6247382760047913,-0.19389602541923523,-0.14296911656856537
Co,0.5790813565254211,-0.5756416916847229,0.10879972577095032,0.6230567693710327,0.8871740102767944,0.7175450325012207,1.224824070930481,0.003744343528524041,0.4693966507911682,-0.1967450976371765,0.2494088113307953,-0.018134333193302155,0.35443079471588135,0.21601511538028717,-0.23172636330127716,-0.23339135944843292
Ni,-0.09355487674474716,-0.23972037434577942,0.5070978403091431,0.20830565690994263,0.4961492717266083,0.9798340201377869,1.1874363422393799,0.030138924717903137,0.35208842158317566,0.47670692205429077,0.31413814425468445,-0.1274840235710144,0.7162064909934998,0.2627364695072174,-0.6914668083190918,-0.5289551615715027
Cu,-0.24229486286640167,0.15178583562374115,-0.11463432759046555,-0.08727093040943146,0.553612470626831,0.4612712264060974,0.40760964155197144,-0.0929398387670517,0.6842209100723267,0.4417886435985565,-0.08749540895223618,-0.23455801606178284,0.7012612819671631,-0.1073349341750145,-0.42862579226493835,-0.957721471786499
Zn,-0.12525112926959991,-0.007459268439561129,0.016001379117369652,0.34424376487731934,0.7287502288818359,0.13216407597064972,0.043097980320453644,-0.010343818925321102,0.5218136310577393,0.3805953562259674,0.36837124824523926,0.06650305539369583,0.39779171347618103,-0.2385939508676529,-0.06716263294219971,-0.655992329120636
Ga,0.03127651289105415,-0.1791946142911911,0.5535410642623901,0.3364959955215454,0.7937752604484558,-0.5148897171020508,-1.099669337272644,0.12197934836149216,0.5873871445655823,-0.44035133719444275,0.26393499970436096,-0.33144164085388184,-0.2602645754814148,0.4306620657444,-0.07967668771743774,0.06639723479747772
Ge,-0.11991491913795471,-0.4186864197254181,0.42522549629211426,-0.08327946811914444,0.3321845531463623,-0.48889562487602234,-0.10940347611904144,-0.14618560671806335,0.47485607862472534,-0.3508610725402832,0.49895718693733215,-0.6963868141174316,-0.2999592125415802,0.3238871991634369,-0.2550111413002014,0.4340607523918152
As,0.014357216656208038,-0.16017763316631317,0.2447083592414856,0.6974108219146729,-0.5298807621002197,-0.2205624133348465,0.5398282408714294,-0.39904770255088806,0.4839341640472412,-0.3751693367958069,0.2264929711818695,-0.6798000335693359,-0.10000673681497574,-0.02783406525850296,0.40508803725242615,0.722344160079956
Se,-0.5265462398529053,0.6871051788330078,0.3132224678993225,-0.4776909053325653,-1.020195722579956,-0.49683573842048645,-0.219597727060318,0.01379014365375042,0.8138812780380249,0.5370829701423645,-0.3171045482158661,-0.3955339193344116,0.1781902313232422,-0.4466308057308197,0.7259133458137512,-0.0003326069563627243
Br,-0.5076479911804199,0.6042259931564331,-0.1900985687971115,-1.2869631052017212,-0.3105604946613312,-0.9528847932815552,-0.8243698477745056,0.6026232838630676,0.5694237947463989,0.9384018778800964,-0.8965549468994141,-0.6734862923622131,0.25454387068748474,-0.3435373306274414,0.7371773719787598,-0.25575169920921326
Rb,-0.234430730342865,0.35491377115249634,-0.6909027099609375,-0.23202712833881378,0.34656214714050293,-0.5824486613273621,0.2080232948064804,0.5368139147758484,0.0706961452960968,0.5156224370002747,-0.7757753729820251,-0.4210847318172455,0.6672883629798889,0.5149901509284973,0.32747527956962585,-0.2635316252708435
Sr,-0.11997699737548828,0.20264655351638794,-0.29374635219573975,-0.5459513664245605,0.8118940591812134,-0.057930782437324524,-0.3715589642524719,0.6637896299362183,-1.421007513999939,0.2707470953464508,0.024381253868341446,0.5508309006690979,0.1258460432291031,0.8397167325019836,-0.28138765692710876,-0.512728750705719
Y,0.2770458161830902,-0.039650678634643555,-0.47183555364608765,-0.18554893136024475,0.9602099657058716,0.27698999643325806,-0.42009612917900085,0.8868954181671143,-0.6602252721786499,0.02914503589272499,0.4812180995941162,0.49846765398979187,-0.17642134428024292,1.0563817024230957,-0.69944167137146,-0.5433688759803772
Zr,0.2965015172958374,-0.36619633436203003,-0.7089917063713074,0.09941522777080536,0.6700441241264343,0.18783731758594513,0.1520639806985855,-0.14511196315288544,-0.8594236969947815,-0.6328449249267578,0.715086817741394,0.2789824604988098,-0.25192466378211975,0.9296400547027588,0.00045579683501273394,-0.2798007130622864
Nb,0.3699890077114105,-0.6853317618370056,-0.5358428359031677,0.6464047431945801,0.64784836769104,0.16510550677776337,0.4704861044883728,-0.4361397624015808,-0.5773448944091797,-0.593464732170105,0.44409340620040894,0.049044519662857056,-0.17168419063091278,0.6890021562576294,-0.5105871558189392,-0.0593242384493351
