Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.27571654319763184,0.23377357423305511,0.7592594623565674,0.03812243044376373,0.37889784574508667,0.11643065512180328,0.3238667845726013,-0.33395764231681824,-0.5277236104011536,1.2062795162200928,-0.006991492584347725,-0.15452054142951965,0.5928698182106018,-0.26211991906166077,0.17326368391513824,0.8884688019752502,0.07017389684915543,-0.6626482009887695,0.3507627844810486,1.6309689283370972,-0.3861849308013916,0.8863582611083984,0.40250691771507263,-0.8506213426589966,0.428356796503067,0.6816296577453613,-1.708807349205017,-1.939345359802246,-0.11344297975301743,-0.2804715633392334,-0.9849213361740112,0.6593218445777893
Li,0.5900149345397949,-0.19630028307437897,0.9886181354522705,0.024987058714032173,0.38021501898765564,-0.025188125669956207,0.23182351887226105,0.23108245432376862,0.31806832551956177,0.2866706848144531,1.0240901708602905,-0.16358986496925354,-0.15071509778499603,0.7883854508399963,0.15597207844257355,0.05648701637983322,-0.2418641448020935,0.008245639503002167,-0.12239928543567657,0.03704164922237396,0.2713681757450104,0.29627519845962524,0.2042517066001892,0.37993645668029785,0.4507722854614258,-0.5656670928001404,-0.35383135080337524,-0.38481584191322327,-0.08852427452802658,-0.2660938501358032,-0.4152980446815491,0.5463009476661682
Be,-0.6638644337654114,-0.33650100231170654,-0.34473392367362976,-0.25613802671432495,0.10945630073547363,0.881697952747345,-0.0586390495300293,0.24885055422782898,0.7560325860977173,-0.6053501963615417,0.37433674931526184,0.27951472997665405,-0.5781832337379456,-0.25557082891464233,-0.37540900707244873,-0.8109648823738098,0.36625346541404724,-0.30460625886917114,0.3566729426383972,-0.36908823251724243,0.08567208796739578,-0.10680031031370163,-0.12066170573234558,0.07580165565013885,-0.10754232108592987,-0.11143641173839569,0.2743069529533386,0.40867549180984497,0.1145852729678154,-0.12851545214653015,0.3224702477455139,-0.3156455457210541
B,-1.0071133375167847,-0.1308021992444992,-0.6682270169258118,-0.754030168056488,0.2513153851032257,0.25137606263160706,0.37069377303123474,0.48901382088661194,0.13664475083351135,-0.07393841445446014,0.6409628391265869,0.29568397998809814,-1.0482224225997925,-0.2356962114572525,-0.5008125305175781,-1.186141848564148,-0.6634957194328308,-0.20566928386688232,0.6530587077140808,-0.9862601161003113,0.529863715171814,0.07986802607774734,-0.11362346261739731,-1.013852834701538,-0.255342572927475,0.7232511639595032,1.0257103443145752,0.53407222032547,0.5732536315917969,0.34480780363082886,-0.07192817330360413,-0.4562452435493469
C,-1.2560185194015503,-0.2035340666770935,-1.3056408166885376,-0.31060224771499634,-0.009648805484175682,0.5209499597549438,0.18824031949043274,0.46300169825553894,-0.32717323303222656,0.5133709907531738,0.4061852991580963,-0.2236197292804718,-0.8322180509567261,-0.46883314847946167,-0.2830197811126709,-0.08195523172616959,-1.017940640449524,0.04811667650938034,0.26135969161987305,-0.1409047245979309,0.29216521978378296,-0.4198068380355835,0.033030908554792404,-1.192326307296753,-0.501352846622467,1.282987117767334,0.7742800712585449,0.586707353591919,0.15652090311050415,0.0840882882475853,0.13754622638225555,-0.3477160930633545
N,-0.7785950303077698,-0.18970724940299988,-0.8123530745506287,-0.4772035777568817,0.5150105357170105,0.049143530428409576,0.017619788646697998,0.8257388472557068,-0.2073953002691269,0.5226635336875916,0.7976910471916199,0.052036888897418976,-0.36137959361076355,-0.4886689782142639,-0.7301278114318848,-0.4036850929260254,-0.3503890931606293,0.9847936034202576,0.7354771494865417,-0.22817204892635345,0.4875686764717102,-0.7528478503227234,-0.6400269269943237,-1.3631718158721924,-0.3667861521244049,0.7481634020805359,1.2358827590942383,0.3204776644706726,0.18341663479804993,0.15423353016376495,0.5026935338973999,-0.09954791516065598
O,-0.3754531443119049,-0.10043136030435562,-0.48406895995140076,-0.44715416431427,0.7636579871177673,-0.2473507672548294,-0.5630894899368286,0.606017529964447,-0.545011579990387,0.4768359661102295,0.47143059968948364,0.2384217083454132,-0.2344854474067688,-0.4423988163471222,-0.29954347014427185,-0.42899101972579956,0.11334972828626633,0.2222897857427597,-0.1010802686214447,-0.6010719537734985,0.012614099308848381,-0.17985869944095612,-0.4270671606063843,-1.0899218320846558,-0.28800514340400696,0.6994638442993164,0.8780230283737183,0.544160783290863,-0.38363805413246155,-0.25618427991867065,0.5217400789260864,0.3020128905773163
F,-0.17333093285560608,-0.7632800340652466,-0.655207633972168,-0.4898760914802551,0.2955607771873474,-0.03382117301225662,-0.5278667211532593,-0.06391436606645584,-0.6094078421592712,0.5006957650184631,-0.34122195839881897,-0.10796616226434708,-0.09503352642059326,-0.35450229048728943,-0.24829630553722382,-0.46552860736846924,-0.06252475082874298,-0.36760762333869934,0.0009237099438905716,0.10963631421327591,-0.32715147733688354,0.2579928934574127,0.3312540352344513,-1.2551127672195435,-0.15124362707138062,0.8181471228599548,0.2465229481458664,0.5414864420890808,-0.4300837814807892,-0.9725791215896606,-0.1637014001607895,0.5903297662734985
Na,0.7339905500411987,-0.09997066110372543,1.0500651597976685,0.5055063366889954,0.15912994742393494,-0.2869383692741394,0.04264878109097481,0.061814721673727036,0.3253733515739441,0.3322451710700989,0.21181531250476837,-0.13815221190452576,0.30331215262413025,1.1860086917877197,0.7098178267478943,0.3948957920074463,-0.17142809927463531,-0.06693631410598755,-0.6374123692512512,0.687971830368042,0.36293819546699524,0.6824390888214111,0.24407918751239777,1.079380750656128,0.7114882469177246,-0.9897493124008179,-0.4224222004413605,-0.022323867306113243,-0.2777743637561798,-0.6834667325019836,-0.26570358872413635,0.2732106149196625
Mg,-0.14162719249725342,0.1179904118180275,-0.06498008966445923,-0.2828769385814667,-0.5507693886756897,0.46107107400894165,-0.051801107823848724,-0.04936950281262398,0.29889020323753357,-0.05450128763914108,-0.24091733992099762,0.1067991703748703,0.09173358231782913,0.26964330673217773,0.017551669850945473,-0.03169543296098709,-0.2817782163619995,-0.1237606629729271,-0.08623756468296051,0.053767502307891846,0.13845330476760864,0.5766998529434204,0.35501912236213684,0.6561789512634277,-0.03743765503168106,-0.5132620930671692,0.12067538499832153,1.0555442571640015,0.1403462290763855,-0.2728147506713867,-0.4389611780643463,-0.047089215368032455
