Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.7936639785766602,0.17406362295150757,0.10897475481033325,0.3690508306026459,-0.14049243927001953,0.5575171709060669,0.17076845467090607,-1.1749467849731445,-0.22373732924461365,-0.35025593638420105,0.22225850820541382,-0.3113808035850525,-0.08484222739934921,-0.04719945788383484,0.4467531740665436,-0.032982680946588516,0.444720059633255,-0.05372624471783638,-0.4221443831920624,0.47747012972831726,0.12873101234436035,-0.1687217652797699,-0.30481666326522827,0.12680357694625854,-0.02868838422000408,0.8988177180290222,-0.4685881435871124,-0.5392701625823975,-0.7473305463790894,0.009581969119608402,0.26680731773376465,0.16888228058815002,-0.009953763335943222,-0.5269426107406616,-0.3944302201271057,0.030852289870381355,-0.1516217440366745,0.380545973777771,-0.5278592705726624,-0.4713931381702423,-0.5776535868644714,-0.22858557105064392,-0.6439692378044128,0.25435811281204224,0.9662373661994934,-0.003688749158754945,0.19202853739261627,-0.3395397365093231,0.3888437747955322,0.7296306490898132,0.25326502323150635,0.19421379268169403,0.2745254337787628,-0.8762447237968445,-0.005150155629962683,0.2647280991077423,0.20710989832878113,0.637381374835968,-0.3362826108932495,-1.0668411254882812,0.5700109601020813,-0.8295964598655701,0.19666001200675964,-0.38807252049446106
Li,-1.4843690395355225,1.0044060945510864,-0.001590424100868404,-0.09239936619997025,-0.3287642300128937,-0.20566998422145844,-0.22221165895462036,0.7662843465805054,-0.06811325997114182,0.4986688494682312,0.9281420111656189,0.2933404743671417,-0.29130804538726807,-0.22422242164611816,-0.11757431924343109,0.0075780171900987625,0.2896918058395386,-0.21336810290813446,0.19652608036994934,-0.05103954300284386,0.25539079308509827,-0.030565891414880753,-0.1767885684967041,0.45944005250930786,0.3590676784515381,-0.0010744989849627018,-0.03393034636974335,-0.06875743716955185,-0.5787476897239685,0.5224425196647644,-0.055005550384521484,-0.4971980154514313,-0.30919790267944336,0.10264958441257477,-0.31757432222366333,-0.3471534550189972,-0.23282800614833832,0.10499661415815353,-0.38226667046546936,0.09844809025526047,-0.25952649116516113,0.2977978587150574,-1.2894437313079834,0.6552914977073669,0.48299822211265564,-0.2708696126937866,-0.3277800977230072,-0.5810954570770264,-0.37569326162338257,-0.5611008405685425,0.005060515832155943,0.07953586429357529,0.007947382517158985,-0.3317050337791443,-0.12536655366420746,0.10931254923343658,0.6210920810699463,0.4379877746105194,-0.012594756670296192,-0.2117445468902588,0.20290325582027435,-0.2888339161872864,0.3858706057071686,0.16016972064971924
Be,0.28080275654792786,1.0751020908355713,-0.11817808449268341,0.2531525492668152,-0.09176493436098099,0.909972608089447,-0.5440506339073181,0.003327786223962903,-0.731295645236969,-0.027901308611035347,0.007640743162482977,-0.14783886075019836,-0.13962392508983612,-0.5682900547981262,0.18921811878681183,-0.8021451234817505,-0.12888015806674957,-1.0999150276184082,-0.09883593767881393,-0.6678586602210999,-0.4778003394603729,-0.45933154225349426,0.418857604265213,-0.16096007823944092,-1.0483371019363403,0.4878787696361542,0.07181387394666672,0.7443287968635559,-0.3015590012073517,-0.5308577418327332,0.036141663789749146,-0.12045589089393616,0.12112327665090561,-0.27854910492897034,0.539067268371582,0.47155770659446716,-0.16774699091911316,-0.7384440898895264,-0.3749808967113495,-0.7300543189048767,-0.832675039768219,0.4914250075817108,0.3732880651950836,-0.16922448575496674,-0.3259635269641876,-1.001305341720581,-0.335685133934021,-0.8160051703453064,-0.37683120369911194,0.7380762100219727,-0.4465864896774292,-0.0872185155749321,-0.5771079063415527,0.20203351974487305,0.2968095541000366,-0.09367681294679642,-0.20652464032173157,-0.552056610584259,0.5368258953094482,-0.5762948989868164,-0.43682074546813965,-0.3864459693431854,0.8573212623596191,0.1294475793838501
B,0.16772566735744476,0.7430931925773621,-0.16435091197490692,-0.39865997433662415,0.42706605792045593,0.9426669478416443,-0.40184515714645386,-1.5629456043243408,-0.9786548018455505,-0.18255271017551422,-0.5077168345451355,0.051326934248209,-1.0134782791137695,-0.5908026099205017,-0.05226974934339523,-0.5887739062309265,-0.5933392643928528,-0.5511775016784668,-0.0271343644708395,-0.3205849528312683,-0.2858473062515259,0.2222965657711029,0.2791510224342346,-0.5892762541770935,-0.5446323752403259,1.4227850437164307,0.20415854454040527,0.30001845955848694,-0.6587041616439819,-0.9852586984634399,0.7071402072906494,-0.2458132803440094,0.6991968154907227,-0.5398503541946411,0.4061877429485321,0.8018039464950562,-0.28793278336524963,-0.45834147930145264,-0.9138621687889099,-1.3134846687316895,-1.1507856845855713,-0.1665104329586029,0.6393211483955383,-0.15424755215644836,0.2192622572183609,-0.7823256254196167,-0.1598898321390152,-0.35830092430114746,-0.3719046413898468,1.4604780673980713,-0.4616318345069885,-0.3439977765083313,-0.4481743574142456,-0.2656269669532776,0.2808869183063507,0.1427748203277588,-0.5802173614501953,-0.23910681903362274,-0.0263227391988039,-1.1516724824905396,-0.25079405307769775,-0.1786661297082901,0.509375810623169,0.25203394889831543
C,0.8162794709205627,0.4158821702003479,0.7152510285377502,-0.5850376486778259,0.8240680694580078,0.5905117392539978,-0.7566100358963013,-1.7199355363845825,-0.640654981136322,0.20327803492546082,-0.95817631483078,0.252092570066452,-0.2538115084171295,-0.38283097743988037,-0.18497778475284576,-0.6249339580535889,-0.5520877838134766,-0.5908544659614563,0.3340699374675751,-0.08708105236291885,-0.034126199781894684,0.7884473204612732,0.7772625684738159,-0.4177120327949524,-0.6547651290893555,1.0978307723999023,0.057930439710617065,0.13859491050243378,-0.5018928050994873,-0.9118130803108215,1.173588514328003,-0.2211926132440567,0.7445604801177979,-0.7439101934432983,0.7819245457649231,0.8088370561599731,-0.0980861708521843,-0.4491466283798218,-0.8844848871231079,-1.09149968624115,-0.6211238503456116,-0.3870030641555786,0.5044229626655579,-0.6703315377235413,-0.2230038344860077,-0.9133986830711365,-0.5624029040336609,-0.5525960326194763,-0.7752654552459717,0.9582604169845581,-0.45767539739608765,-0.6417205929756165,-0.23594535887241364,-0.031038684770464897,0.6244097352027893,0.5443887114524841,-0.03361429646611214,-0.2542182207107544,0.04221813380718231,-0.8952500820159912,-0.47342169284820557,0.24460428953170776,0.07738155871629715,0.10950581729412079
N,0.6473921537399292,0.33780479431152344,0.22271175682544708,-0.6872785091400146,0.9977966547012329,0.5987887382507324,-0.14503566920757294,-1.2757245302200317,-0.2887061834335327,0.2768988013267517,-0.7273825407028198,0.40778112411499023,-0.9800114035606384,-0.026667969301342964,-0.9442734718322754,-0.5021692514419556,-0.712514340877533,0.0021342362742871046,0.7892199158668518,0.3408072292804718,0.2940687835216522,1.2327747344970703,0.27810728549957275,-0.5723986625671387,-0.4333561360836029,1.1387038230895996,0.6185170412063599,0.03686928749084473,-0.5417953729629517,-0.4584955871105194,0.5644548535346985,0.33683890104293823,0.9141435027122498,-0.11430368572473526,0.525808572769165,0.650709331035614,0.284906268119812,-0.9683809876441956,-0.5860785841941833,-0.630835771560669,-0.3411938548088074,-0.8904305100440979,0.11126817017793655,-1.3647607564926147,-0.24979254603385925,-0.37617966532707214,-0.16268984973430634,-0.3054981231689453,-0.7798404693603516,0.39027705788612366,-0.2672337293624878,-0.6682208180427551,0.3160131275653839,-0.08683893829584122,0.6819701194763184,0.15574055910110474,-0.16508470475673676,-0.44235703349113464,0.3253566324710846,-0.5709728598594666,-0.5187642574310303,0.9052765369415283,0.09481777250766754,0.9166678190231323
O,0.5222112536430359,0.21037212014198303,-0.07575790584087372,-0.10206758230924606,0.42269185185432434,0.3021179139614105,-0.02631654590368271,-0.46744582056999207,-0.30104783177375793,-0.1619715392589569,-0.15230771899223328,0.5573190450668335,-0.35447144508361816,0.6839976906776428,-0.1308722048997879,-0.045901015400886536,-0.40294718742370605,-0.03337318077683449,0.06408455967903137,-0.3088078498840332,0.2963549494743347,-0.2368147075176239,0.21419882774353027,0.04414792358875275,-0.960473358631134,0.5129956603050232,0.1712457239627838,-0.2969532310962677,-0.9160513281822205,-0.14176325500011444,0.8816736936569214,1.2948310375213623,0.9937838912010193,-0.20038849115371704,0.09003644436597824,0.4064442217350006,0.5272730588912964,-0.46994906663894653,-0.05274419113993645,-0.6282762885093689,0.16035312414169312,-0.7931438684463501,0.42597755789756775,-0.9922972321510315,0.03259897604584694,-0.3820134401321411,0.38481763005256653,-0.07473665475845337,0.011535107158124447,0.41750049591064453,0.23345831036567688,-0.1639459729194641,0.7306054830551147,-0.17661654949188232,0.218573197722435,0.3323362469673157,0.16984131932258606,-0.33760473132133484,0.33579617738723755,-0.3277607858181,-0.5586496591567993,-0.026241851970553398,-0.280891090631485,0.2689363360404968
F,0.14295904338359833,0.2433444708585739,0.36968907713890076,0.4151844382286072,0.3693651258945465,0.6507622003555298,0.30838871002197266,-1.042049527168274,0.00401341775432229,-0.19390463829040527,-0.5036247968673706,-0.1579730361700058,-0.002739999210461974,0.7455210089683533,0.2061351239681244,0.42944565415382385,-0.08905912935733795,-0.023142309859395027,-0.45272162556648254,-0.0615178681910038,0.7663954496383667,-0.17168664932250977,-0.10742362588644028,0.15308904647827148,-0.15396100282669067,0.8455637097358704,0.11563429981470108,-0.5891983509063721,-0.16979548335075378,0.3602975010871887,1.2182118892669678,0.8234341740608215,0.31571581959724426,0.2852078378200531,-0.2921060621738434,0.36095109581947327,0.20744749903678894,-0.02866498753428459,0.24560607969760895,-0.07817544043064117,-0.5806218385696411,-0.5049477815628052,-0.09594393521547318,-0.47342032194137573,0.7376368641853333,-0.37853798270225525,0.5339453220367432,-0.10075195878744125,-0.06753095239400864,0.7450720071792603,0.5514212250709534,0.17870622873306274,0.37826913595199585,-0.40128636360168457,-0.05534309148788452,0.6762198805809021,0.25040876865386963,0.1882527768611908,-0.16489049792289734,-0.25382134318351746,-0.23829711973667145,-0.09722515195608139,-0.49550631642341614,-0.10235059261322021
Na,-1.0783330202102661,0.6646643877029419,-0.09991182386875153,-0.24037759006023407,-0.15998300909996033,-0.4427494406700134,0.183623269200325,0.7395956516265869,0.3824121654033661,0.7131388783454895,0.8572945594787598,0.4900287389755249,0.01962038315832615,0.005800760351121426,-0.33524221181869507,0.11723068356513977,0.6547763347625732,0.15057723224163055,-0.14538109302520752,-0.32900264859199524,0.04476713761687279,-0.0848420262336731,-0.24744148552417755,0.36533036828041077,0.332460880279541,-0.5819797515869141,-0.16064372658729553,-0.32474565505981445,0.003014320507645607,0.6100772023200989,-0.16712547838687897,-0.3874073922634125,-0.0319611020386219,0.18714238703250885,-0.45269009470939636,-0.2957251965999603,0.11132504791021347,0.4228590130805969,-0.15570677816867828,0.6008758544921875,0.30325624346733093,-0.24977585673332214,-1.0552847385406494,0.8624406456947327,0.2081029713153839,-0.06072738766670227,0.11850015819072723,-0.2381945699453354,-0.06270788609981537,-0.8287140727043152,0.2827123999595642,0.2740410268306732,0.07591109722852707,-0.3021874725818634,-0.12881648540496826,0.11525487154722214,0.5751813650131226,0.38034141063690186,-0.09039492905139923,0.14651447534561157,0.31259283423423767,-0.4220208525657654,0.10899347066879272,-0.02921181172132492
Mg,-0.3649393320083618,0.8221250772476196,-0.1265905350446701,0.38911136984825134,-0.2671797275543213,0.5219488739967346,-0.10975373536348343,0.3306150436401367,-0.01674986444413662,0.1550835371017456,0.3719501793384552,0.05047454684972763,-0.059237249195575714,0.0037617816124111414,0.10567520558834076,0.07633873075246811,0.25045666098594666,-0.5706158876419067,-0.14116044342517853,-0.7137888073921204,-0.5325638055801392,-0.7030010223388672,0.3097984492778778,0.0945642739534378,-0.5608431100845337,-0.727701723575592,0.13644687831401825,0.6548294425010681,0.43171772360801697,0.06755354255437851,0.03184155002236366,-0.007173085119575262,0.21980078518390656,0.23072056472301483,0.0026865368708968163,0.23341494798660278,0.4375591576099396,-0.35413485765457153,-0.21834705770015717,0.12774302065372467,-0.052776359021663666,0.6692929267883301,-0.040901731699705124,0.4786278307437897,-0.35406848788261414,-0.6186708211898804,0.0789208635687828,-0.522693932056427,0.04705550894141197,0.3787173926830292,-0.015866326168179512,0.16936206817626953,-0.41725099086761475,-0.17169450223445892,0.16429995000362396,-0.46441903710365295,0.12092376500368118,-0.3125787675380707,0.4130903482437134,0.23198850452899933,-0.15156355500221252,-0.44390279054641724,0.32366251945495605,-0.002004737965762615
