Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.6027828454971313,1.9312762022018433,-0.18353870511054993,-0.6196450591087341,-0.39769941568374634,-0.07226594537496567,-1.5207098722457886,-1.0359632968902588
Li,0.09434738010168076,1.5350165367126465,-0.0741375982761383,-0.39591479301452637,-0.3549747169017792,-0.05233360081911087,-0.20590415596961975,-0.061665862798690796
Be,-0.8773713707923889,0.5336372256278992,-0.5095648169517517,-0.03697192668914795,0.08158823847770691,0.4115987718105316,-0.094337597489357,0.4338909387588501
B,-0.8116360902786255,-0.9778363704681396,-0.166865736246109,1.1882432699203491,-0.20831024646759033,0.53057461977005,0.3847951591014862,-0.40783295035362244
C,-0.1024818867444992,-1.256048321723938,0.023881129920482635,1.7833561897277832,-0.44558364152908325,0.18656770884990692,0.28231295943260193,-0.6334603428840637
N,-0.5814116597175598,-1.0293728113174438,0.4422646462917328,1.1452008485794067,-0.6732643246650696,0.4885216951370239,0.4873521029949188,-0.578722357749939
O,-0.01802990585565567,-0.3990230858325958,0.05337604880332947,0.6790030598640442,-0.2505861222743988,-0.3206416368484497,0.18761111795902252,-0.6791254878044128
F,0.16119249165058136,0.3231011629104614,0.44434285163879395,0.26098015904426575,-1.1328269243240356,-0.5446759462356567,-1.0624803304672241,-0.7513288855552673
Na,0.6946131587028503,1.2706680297851562,-0.38813140988349915,-0.9461212754249573,-0.30555471777915955,-0.0917266458272934,0.03388604521751404,-0.16628265380859375
Mg,-0.15101121366024017,0.04553661495447159,-0.5309485793113708,-0.5999936461448669,-0.12069124728441238,0.6226473450660706,0.29577672481536865,-0.2665765583515167
Al,0.11392387747764587,-0.41895127296447754,-0.307808518409729,0.5111115574836731,0.2607373893260956,0.9620653390884399,0.25466489791870117,-0.3894384801387787
Si,-0.006186109967529774,-0.6086634993553162,0.159190371632576,0.8343947529792786,0.336088091135025,0.671047031879425,0.8173849582672119,-0.37665632367134094
P,-0.6283578276634216,-0.3841877579689026,-0.30511847138404846,0.9402220845222473,-0.5464405417442322,0.37654909491539,-0.7196788787841797,-0.9000419974327087
S,0.2075754851102829,-1.2156237363815308,0.10113698244094849,1.0616506338119507,-0.6968693733215332,-0.3483845889568329,-0.5245737433433533,-1.123337984085083
Cl,0.9960126280784607,-0.32720038294792175,0.987916886806488,-0.0641915425658226,-0.6644774675369263,-0.5263022184371948,-0.0861346423625946,-1.1877495050430298
K,1.060275673866272,0.14873851835727692,-0.3953259587287903,-0.7360873222351074,-0.3935869336128235,-0.5040371417999268,0.06983645260334015,0.07795784622430801
Ca,0.31056585907936096,0.6844749450683594,-0.3996148109436035,-0.888644278049469,0.3454839289188385,-0.050562456250190735,0.44680488109588623,0.3610880374908447
Sc,-0.09245719015598297,0.03616861253976822,-0.38731449842453003,-0.6985839009284973,0.5926562547683716,0.7444941997528076,0.5865685343742371,0.09196171909570694
Ti,-0.7782242894172668,0.1910129338502884,0.054313309490680695,-0.09233193099498749,0.5465854406356812,0.5716613531112671,0.40662112832069397,0.3465571105480194
V,-0.3610180914402008,0.15440087020397186,-0.24383200705051422,-0.19593572616577148,0.9003564119338989,1.0035446882247925,-0.01777883991599083,0.5522675514221191
Cr,-0.5447070598602295,0.33758583664894104,-0.4322970509529114,0.20701779425144196,0.5520506501197815,0.6674243807792664,-0.05916517972946167,0.367440402507782
Mn,-0.5835058093070984,0.05593770369887352,0.06957095116376877,0.344232439994812,0.3704302906990051,0.5434424877166748,-0.5200210809707642,0.36202573776245117
Fe,-0.6775394082069397,0.38302674889564514,0.018370188772678375,0.23978129029273987,0.8935295939445496,0.3122729957103729,-0.3883396089076996,0.5610411167144775
Co,-0.4933684468269348,0.46494150161743164,-0.7183526754379272,0.2510317265987396,1.660399079322815,0.5360875129699707,-0.5798802971839905,0.4088071882724762
Ni,-0.38246557116508484,0.6184663772583008,-0.2492537945508957,0.1687905639410019,0.9152579307556152,0.3215680420398712,-0.8797541260719299,-0.009993736632168293
Cu,0.505527138710022,0.9050334692001343,0.26375922560691833,-0.4706237316131592,0.7198028564453125,0.019780874252319336,-0.836462140083313,-0.10431831330060959
Zn,0.4085945785045624,0.3087509274482727,-0.03450695052742958,-0.19353440403938293,0.7792373299598694,-0.0744306668639183,-0.5054923295974731,0.3163547217845917
Ga,0.07953163981437683,-0.0848308727145195,0.03087812289595604,0.4072418808937073,0.2598009705543518,0.7530606985092163,0.18576376140117645,-0.3388461768627167
Ge,-0.07388616353273392,-0.09933836758136749,0.3072456419467926,0.7001479864120483,0.19585509598255157,0.36367708444595337,0.5063795447349548,-0.4278659224510193
As,-0.6304125785827637,0.06903055310249329,0.3214966654777527,0.6815808415412903,-0.3668738007545471,0.26274657249450684,-0.060511648654937744,-0.2470732182264328
Se,0.2956429719924927,-0.800159215927124,0.5755606293678284,0.49739062786102295,-0.6735308170318604,-0.6029044389724731,0.021534055471420288,-0.6278256177902222
Br,1.0440006256103516,-0.3141603171825409,0.9438915848731995,0.022667041048407555,-0.805072009563446,-0.8412435054779053,-0.5954951643943787,-0.9884532690048218
