Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.5792822241783142,-0.17815080285072327,0.11503899842500687,-0.7173223495483398,-1.2168290615081787,-0.24384069442749023,-0.1368216723203659,-1.4558824300765991,1.5372512340545654,0.6344161629676819,-0.09733407199382782,-0.7425392270088196,0.26047176122665405,-0.5867999792098999,1.1542763710021973,0.6672487854957581
Li,-0.6285608410835266,0.3836771845817566,-0.005426742136478424,-0.15467366576194763,0.9886459708213806,-0.6558892130851746,0.5451965928077698,-0.43435439467430115,0.7207962870597839,0.6358507871627808,-0.5066748261451721,-1.0266163349151611,0.5181990265846252,0.20758545398712158,0.5288942456245422,-0.26259931921958923
Be,-0.22264018654823303,-0.9631332755088806,-0.211179718375206,0.2760551869869232,0.5244742631912231,0.20725780725479126,0.3840320110321045,-0.16567204892635345,0.4302019476890564,-0.08861999213695526,-0.16296268999576569,-0.011209417134523392,0.22907818853855133,-0.601348340511322,0.5381647944450378,-0.3927709460258484
B,0.0666908398270607,-1.1081703901290894,0.5525389313697815,0.5794632434844971,-0.5909576416015625,0.13821527361869812,0.6997471451759338,-0.5338504314422607,0.030827414244413376,-0.1995067149400711,0.08569726347923279,-0.16539053618907928,-0.32296937704086304,0.11717905849218369,0.2080266773700714,0.7077761292457581
C,0.4214511215686798,-0.9685420393943787,0.7762527465820312,0.2850639522075653,-1.2643771171569824,0.2529730200767517,0.6540489196777344,-0.23655490577220917,-0.055946338921785355,-0.5808286666870117,0.11486005038022995,0.11777382344007492,-0.6311310529708862,-0.23129047453403473,-0.020180920138955116,1.1211885213851929
N,0.3079790472984314,-0.4009704887866974,0.9823521375656128,0.14492838084697723,-1.727297306060791,-0.1376071572303772,-0.0023686569184064865,0.11656183004379272,-0.24772945046424866,-0.3413792848587036,0.02594614401459694,0.2669752538204193,-1.4825329780578613,0.31802499294281006,-0.25549429655075073,1.8642692565917969
O,-0.03773116320371628,0.11625252664089203,1.2079124450683594,0.5004452466964722,-1.7616809606552124,0.023409485816955566,0.1761464774608612,0.7550315856933594,0.15094241499900818,-0.14132440090179443,-0.1641295999288559,0.19729144871234894,-0.34116920828819275,-0.2922123670578003,0.1114150732755661,0.7993296980857849
F,0.17622172832489014,-0.13837745785713196,0.3305148780345917,-0.27737268805503845,-1.4794260263442993,-0.6558361649513245,-0.20943254232406616,0.027379419654607773,1.0621976852416992,0.268746942281723,-0.6233080625534058,-0.589337944984436,-0.12284135073423386,-1.2301691770553589,0.70088130235672,0.780268132686615
Na,-0.5196129083633423,0.6521245837211609,-0.37901341915130615,-0.9395198822021484,1.156226634979248,-0.7110950946807861,0.04342170059680939,-0.3382766544818878,0.39956822991371155,0.8281194567680359,-0.36327165365219116,-0.8420929908752441,0.5001274347305298,0.9834541082382202,0.4573930501937866,-0.5391602516174316
Mg,-0.1989503651857376,-0.15829677879810333,-0.40812113881111145,-0.5197423696517944,0.5066410303115845,0.12458486109972,-0.04668952897191048,-0.08820364624261856,-0.11116980016231537,0.3634262681007385,-0.06564971059560776,0.12743273377418518,0.36386439204216003,0.2036340981721878,0.09968911856412888,-0.6647722721099854
Al,-0.25613364577293396,-0.06523887813091278,0.46550416946411133,0.12657703459262848,0.6021728515625,-0.20150688290596008,-0.27771052718162537,0.07795729488134384,0.17693863809108734,-0.0568261556327343,-0.00788713525980711,-0.25374990701675415,-0.3753003478050232,0.2032468020915985,-0.018376870080828667,0.2521255314350128
Si,0.021503672003746033,-0.06309332698583603,0.9725040793418884,-0.06141314283013344,0.32645183801651,-0.2669454514980316,-0.24962301552295685,-0.014383015222847462,-0.05121685937047005,-0.09929408133029938,-0.14544513821601868,-0.16115909814834595,-0.449116975069046,0.17541983723640442,-0.18997801840305328,0.26493391394615173
P,0.27851009368896484,-0.39230307936668396,-0.1434108018875122,-0.7856187224388123,-1.1371235847473145,-0.1557893007993698,-0.02588445506989956,-1.1796629428863525,-0.034888580441474915,-0.38580241799354553,0.7024301290512085,-0.20032218098640442,-0.28897467255592346,0.5738211870193481,0.185886412858963,0.8598445653915405
S,-0.32600831985473633,0.14823055267333984,0.25606653094291687,-0.8060553073883057,-2.21895694732666,-0.4836103320121765,-0.5684323310852051,0.07058162987232208,0.08921633660793304,0.061832036823034286,0.07310865074396133,-0.16359750926494598,0.03218921273946762,-0.33237671852111816,0.438810795545578,-0.022512126713991165
Cl,-0.21265187859535217,0.3306492269039154,0.2396565079689026,-1.1531727313995361,-0.9353258609771729,-1.0385026931762695,-1.0806348323822021,1.0377262830734253,0.45514217019081116,0.759127676486969,-0.8293178677558899,-0.5419289469718933,-0.5305947065353394,-0.6310650706291199,0.6867935061454773,0.26514342427253723
K,-0.5678635835647583,0.49950551986694336,-1.225348711013794,-0.6199653148651123,0.46652349829673767,-0.6251986026763916,-0.07133249193429947,0.028026150539517403,0.5241625308990479,0.9593411684036255,-0.45903608202934265,-0.7909530997276306,0.8018312454223633,0.24651069939136505,0.6209071278572083,-0.6338914036750793
Ca,-0.21038620173931122,0.2278091162443161,-0.7907003164291382,-0.28306764364242554,0.9228678941726685,-0.2506244480609894,-0.26107171177864075,0.34491652250289917,0.19415533542633057,0.33547794818878174,0.02181042917072773,-0.030534468591213226,0.3182821571826935,-0.10300204157829285,0.09675975143909454,-0.5087030529975891
Sc,0.22756966948509216,0.1976790428161621,-0.43710970878601074,-0.26072338223457336,0.7742977142333984,0.17810800671577454,-0.06040540337562561,0.2635335922241211,-0.29519081115722656,0.06857121735811234,0.5291613340377808,0.22977827489376068,0.0076210275292396545,0.5811910033226013,0.02524576336145401,-0.33158430457115173
Ti,0.13927996158599854,-0.04094355180859566,-0.034235045313835144,0.21073922514915466,0.9791569113731384,0.16999275982379913,0.09049055725336075,0.1705094277858734,-0.5210458040237427,-0.033633582293987274,0.3163674771785736,0.1123666763305664,-0.20118188858032227,0.6418194770812988,-0.04336972534656525,-0.08346555382013321
V,0.1631523221731186,-0.18066903948783875,-0.052410371601581573,0.5287483930587769,1.0428179502487183,0.22318178415298462,0.44984838366508484,-0.4659369885921478,-0.3074645698070526,-0.031042780727148056,0.24564236402511597,0.17524400353431702,-0.4241945445537567,0.4508586525917053,-0.33272120356559753,0.2570260465145111
Cr,0.3724449574947357,0.08414406329393387,0.14948715269565582,0.2879854738712311,0.678747296333313,0.3070344030857086,-0.46055978536605835,-0.18822884559631348,-0.22200007736682892,-0.03178989887237549,0.424098938703537,0.16877731680870056,-0.2586890161037445,0.20439530909061432,-0.2670481204986572,0.09580777585506439
Mn,0.6145668625831604,-0.11277028173208237,0.784529447555542,0.21737989783287048,1.2099789381027222,0.48417171835899353,-0.11787444353103638,-0.7984427809715271,-0.2531149685382843,0.03498416766524315,0.39583462476730347,-0.030375655740499496,0.1124982237815857,-0.03959599882364273,-0.4133332669734955,0.14341303706169128
Fe,0.2513607144355774,-0.24702699482440948,0.08758831769227982,0.4728351831436157,1.0257407426834106,0.36101505160331726,0.38543838262557983,-0.17294229567050934,-0.22856396436691284,0.009132149629294872,0.3224071264266968,0.19175215065479279,-0.059887971729040146,0.08556507527828217,0.09224489331245422,-0.1984117031097412
