Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.378105103969574,-0.26691702008247375,0.199286550283432,0.6271712779998779,-0.0462200865149498,-0.4132286012172699,-2.528827428817749,-1.5930296182632446
Li,0.6321381330490112,0.07677960395812988,0.04255349189043045,-1.0519953966140747,-0.49266889691352844,-0.3655620813369751,-1.061678171157837,-0.4929102063179016
Be,0.09028784930706024,0.21600030362606049,-0.35436519980430603,-0.49624040722846985,0.25999653339385986,0.22094930708408356,-0.6698889136314392,-0.15676313638687134
B,-0.3022889792919159,-0.06570464372634888,-0.5361388921737671,1.0608320236206055,0.7418702840805054,0.36769163608551025,0.13035152852535248,-0.09908642619848251
C,0.031108200550079346,-0.2565997242927551,-0.4966312050819397,1.890475869178772,0.6151626110076904,0.7112956047058105,0.7553206086158752,-0.43156206607818604
N,-0.39909666776657104,-0.6889740228652954,-0.06708342581987381,1.580990195274353,0.38186612725257874,0.6723669767379761,1.0311201810836792,-0.004120908677577972
O,-0.27617916464805603,-1.123459815979004,-0.012980302795767784,1.216336727142334,0.29445523023605347,0.3372182548046112,0.63604736328125,-0.05066228657960892
F,0.01739184558391571,-0.8953374028205872,0.4023318886756897,1.5688289403915405,-0.5424890518188477,-0.12289738655090332,-0.05951733887195587,-0.3126679062843323
Na,1.047217845916748,0.08409623056650162,-0.34738853573799133,-1.421709418296814,-0.8307440280914307,-0.5070250630378723,-0.6473711133003235,-0.5499854683876038
Mg,0.0247770044952631,-0.42347732186317444,-0.4433407485485077,-0.6191190481185913,-0.19448168575763702,0.22485685348510742,-0.14750076830387115,-0.3398432731628418
Al,0.3834768235683441,-0.02727212756872177,-0.2898411750793457,0.12571990489959717,0.0972859337925911,0.2709290683269501,0.06325320899486542,-0.21723704040050507
Si,0.4646841287612915,0.022274844348430634,-0.3484884202480316,0.4250565469264984,0.20652586221694946,0.6434335112571716,0.5456035733222961,-0.6414262652397156
