Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.6542972326278687,0.47279295325279236,0.02884632721543312,0.45692405104637146,0.2697422504425049,0.9524162411689758,0.3508709967136383,-0.9674174189567566,-0.5504563450813293,-0.6694444417953491,-0.5699623227119446,-0.8413689732551575,-0.479451984167099,-0.22031383216381073,0.924345850944519,-0.38288113474845886,0.5067684650421143,-0.29401591420173645,-0.31270918250083923,0.6956023573875427,-0.16788892447948456,1.2691549062728882,-0.9310500621795654,-0.2402346283197403,-0.5490166544914246,0.883593738079071,0.11781420558691025,0.37897083163261414,0.7998605966567993,0.08473536372184753,-0.1294141411781311,-0.2672387361526489,-1.1961263418197632,-0.3607114255428314,-0.4118664860725403,0.059329405426979065,-0.6421399116516113,-1.0748341083526611,-0.9738072156906128,-0.5491078495979309,-0.29382267594337463,1.1439392566680908,-0.8538254499435425,0.7359758615493774,0.7949416041374207,0.24775829911231995,-0.4457572400569916,-0.4310095012187958,0.2235526740550995,0.43839412927627563,-0.10747811198234558,-0.26722246408462524,0.19311673939228058,-1.2147283554077148,0.3397447466850281,-0.24967744946479797,0.18073776364326477,0.47661203145980835,-0.04309501126408577,0.06625445932149887,0.6846417784690857,-0.9930157661437988,0.3319717347621918,0.2576906383037567
Li,-0.9391140341758728,0.40639564394950867,-0.47216638922691345,-0.31322044134140015,-0.2439257651567459,-0.22562535107135773,-0.025428369641304016,1.242624044418335,0.15618690848350525,0.3364827632904053,0.7007339596748352,0.47416841983795166,0.01697513833642006,-0.11035902053117752,0.1829151064157486,0.0604105219244957,0.4840984642505646,-0.13778916001319885,0.014471366070210934,0.20415042340755463,0.13397912681102753,0.008463390171527863,-0.41295143961906433,0.5689878463745117,0.09461142867803574,-0.21269448101520538,-0.12261682003736496,0.13569390773773193,-0.5369462370872498,0.6971273422241211,-0.949371337890625,-0.36390936374664307,0.42527127265930176,0.5835089087486267,-0.7281739115715027,-0.5613551139831543,0.17717041075229645,-0.09176776558160782,-0.4446738362312317,0.15654927492141724,0.26343342661857605,0.06772270053625107,-1.0718613862991333,0.2811671197414398,0.26496896147727966,0.06372072547674179,-0.06915783882141113,-0.26685112714767456,-0.2270480841398239,-1.1186827421188354,0.11732649803161621,0.05806992948055267,0.3677573502063751,-0.3378404378890991,-0.4939079284667969,-0.13685061037540436,0.4805503487586975,0.1156165674328804,-0.13757945597171783,0.7928498387336731,0.14560094475746155,-0.5002368092536926,0.2854022681713104,0.034424424171447754
Be,-0.08812262862920761,0.07989319413900375,-0.7112604379653931,-0.36582767963409424,-0.5440612435340881,-0.26193320751190186,-0.23875871300697327,0.6504341959953308,-0.07147027552127838,0.312823623418808,0.2313305288553238,0.06793589890003204,0.39416447281837463,-0.617005467414856,0.08875060081481934,-0.27865365147590637,0.20932474732398987,-0.39695003628730774,-0.08182460069656372,0.11558603495359421,-0.42421483993530273,0.040363144129514694,-0.12235437333583832,-0.024458225816488266,-0.13862508535385132,-0.2574901580810547,-0.1850060224533081,0.7535296082496643,0.7112327814102173,0.21149179339408875,-0.749336838722229,-0.6409233212471008,-0.15161433815956116,0.37652096152305603,-0.031641215085983276,-0.10700579732656479,-0.01844777911901474,-0.4033638536930084,-0.10008008778095245,0.25358694791793823,-0.19254310429096222,0.7705486416816711,-0.3321675956249237,0.3107343018054962,-0.23674707114696503,-0.20749685168266296,-0.4445972144603729,-0.252898633480072,-0.42581361532211304,-0.2057953029870987,-0.2515157461166382,0.00857518706470728,-0.4686829149723053,0.19839227199554443,-0.10236485302448273,-0.5484511852264404,-0.0009801894193515182,-0.24106203019618988,0.0690026730298996,0.6559225916862488,-0.04305595904588699,-0.10808055847883224,0.45493119955062866,0.18374504148960114
B,0.13946017622947693,-0.03387479484081268,-0.7952451109886169,-0.8604883551597595,-0.08449487388134003,-0.527011513710022,-0.6053165197372437,-0.5712524652481079,-0.5860998034477234,0.30037689208984375,-0.22038356959819794,0.15570849180221558,-0.29790419340133667,-1.0024771690368652,-0.15376916527748108,-0.5119937062263489,-0.3713442385196686,-0.188557967543602,0.005422402173280716,-0.39518675208091736,-0.6489496231079102,0.16542109847068787,0.17420928180217743,-0.5657774209976196,-0.19880753755569458,0.22684346139431,0.0445442795753479,0.4828794002532959,0.3165583610534668,-0.6521427035331726,0.2921763062477112,-1.0561071634292603,-0.21678344905376434,-0.049631208181381226,0.28119388222694397,0.593170166015625,-0.32544198632240295,0.5337728261947632,-0.45285308361053467,-0.3964420557022095,-0.5287655591964722,0.17795297503471375,0.6980159282684326,0.41738972067832947,-0.09354159981012344,-0.596831738948822,-0.4677749276161194,-0.13648685812950134,-0.10175582021474838,0.5624414086341858,-0.5699729323387146,-0.3441025912761688,-0.6012904644012451,0.15543511509895325,-0.0519355945289135,-0.45191070437431335,-0.6420570611953735,-0.3277239203453064,-0.2063310593366623,-0.49195417761802673,-0.08391096442937851,0.19314995408058167,0.7837564945220947,0.35077959299087524
C,0.43543970584869385,0.3710455894470215,-0.2060966193675995,-0.7128084897994995,0.20223747193813324,-0.2788371443748474,-0.8587920665740967,-0.7617525458335876,-0.6347709894180298,0.4794797897338867,-0.3493984639644623,0.30905282497406006,0.2151736468076706,-0.7824447751045227,0.004218247719109058,-0.6312317848205566,-0.3844020962715149,-0.6593121290206909,0.35268762707710266,-0.3681030571460724,-0.6191255450248718,0.38578805327415466,0.6627336740493774,-0.2634330093860626,-0.5690020322799683,0.41287344694137573,-0.10606232285499573,0.4767792522907257,-0.2510029375553131,-0.6792670488357544,0.9102738499641418,-0.6455352902412415,0.13484108448028564,-0.21849559247493744,0.6632199883460999,0.6779468059539795,-0.35195156931877136,0.05625232681632042,-0.7442859411239624,-0.6699162125587463,-0.35459667444229126,0.11795995384454727,0.2625182271003723,0.09930256754159927,-0.24864192306995392,-0.9407715797424316,-0.7798260450363159,-0.6304948925971985,-0.6421451568603516,0.3151758909225464,-0.6147318482398987,-0.521791934967041,-0.3979586362838745,0.1814822107553482,0.14373652637004852,0.05942332372069359,-0.1620391458272934,-0.37551599740982056,-0.05164201557636261,-0.31329336762428284,-0.43687736988067627,0.17895665764808655,0.7747129201889038,0.12375815957784653
N,0.48079007863998413,0.4173746705055237,-0.1978398859500885,-0.11959327012300491,0.47820839285850525,0.12459802627563477,-0.016141455620527267,-0.9804700613021851,-0.548637330532074,0.11428257077932358,-0.6065909266471863,0.01048297993838787,-0.9224624633789062,-0.15296895802021027,-0.576661229133606,-0.37478163838386536,-1.0186415910720825,-0.7652204632759094,0.25939199328422546,-0.2893430292606354,-0.8108461499214172,0.5215146541595459,0.3911486566066742,-0.6791371703147888,-0.407755047082901,0.8561006784439087,0.9035066366195679,0.4063563346862793,-0.06962671130895615,-0.8359933495521545,0.8693282604217529,0.18140091001987457,0.2275308072566986,-0.05109255388379097,0.6246281266212463,0.8577709794044495,-0.1980341076850891,-0.5287871360778809,-0.7577160000801086,-0.7423633933067322,-0.6428554654121399,-0.06313197314739227,0.37993288040161133,-0.8224202990531921,-0.13483579456806183,-0.7804393768310547,-0.31627029180526733,-0.46566060185432434,-0.4526835083961487,0.8516985774040222,-0.41043350100517273,-0.5632197856903076,0.010676410980522633,-0.030573507770895958,0.6522548198699951,-0.3090423047542572,-0.6763984560966492,-0.4352032244205475,0.6523481011390686,-0.5659598708152771,-0.4895538091659546,0.43965673446655273,0.8196294903755188,0.562488853931427
O,0.3075058162212372,0.5265050530433655,0.09673774242401123,0.16610494256019592,0.49862751364707947,0.6415404081344604,-0.08603460341691971,-0.7440059781074524,-0.7322251796722412,0.014373299665749073,-0.6197380423545837,0.056676432490348816,-0.1579412966966629,0.5218307971954346,-0.1774546504020691,-0.2198707014322281,-0.7540223002433777,-0.02072463184595108,-0.015556134283542633,-0.26042604446411133,0.023836953565478325,0.39853909611701965,0.18492157757282257,-0.2574043273925781,-1.0272045135498047,0.6276254057884216,0.17017590999603271,-0.06779145449399948,-0.2627870440483093,-0.2571088969707489,1.121781349182129,0.8539729714393616,0.09029991924762726,-0.28713685274124146,0.524000883102417,0.5108695030212402,0.24673722684383392,-0.6208656430244446,-0.675397515296936,-0.9252889156341553,0.3280186951160431,-0.29235073924064636,0.34429872035980225,-0.7535140514373779,0.07220559567213058,-0.530369758605957,0.3393491506576538,-0.399028480052948,-0.2186923325061798,0.5888136625289917,0.13536757230758667,-0.24001339077949524,0.5466780066490173,-0.29185256361961365,0.4591856896877289,0.3568500280380249,0.07555850595235825,-0.4618396461009979,0.37828248739242554,-0.07422307878732681,-0.35753336548805237,-0.0176871158182621,0.013240812346339226,0.360912024974823
F,0.1524556428194046,-0.2350783497095108,0.49066123366355896,0.8682236671447754,0.2082965224981308,0.18908560276031494,0.4169629216194153,-1.1167287826538086,-0.20532287657260895,-0.5699789524078369,-0.9017030000686646,-0.8316041827201843,0.09381522983312607,0.471484899520874,0.5544345378875732,0.31710657477378845,-0.2836754322052002,-0.12750591337680817,-0.4880795478820801,0.3354889154434204,0.31838101148605347,0.3317248225212097,-0.3577004373073578,-0.1667400300502777,-0.3647278845310211,0.6965889930725098,0.08305948972702026,-0.29452455043792725,0.5654540061950684,0.10905924439430237,0.8595244884490967,0.7628433704376221,-0.4969634413719177,0.04739132151007652,0.07738902419805527,0.3027617335319519,-0.5452093482017517,-0.40219739079475403,-0.2223447859287262,-0.14500680565834045,-0.49328285455703735,-0.14469267427921295,0.03941541165113449,0.08868684619665146,0.671360433101654,-0.01641782745718956,0.29048991203308105,-0.22228188812732697,-0.13034088909626007,0.8221617341041565,0.4539790451526642,0.21881303191184998,0.3969883620738983,-0.5595369338989258,0.03097400814294815,0.495117723941803,0.29050663113594055,0.35045498609542847,-0.2929748594760895,-0.029062263667583466,0.10083557665348053,-0.27374467253685,-0.4626331031322479,-0.11081936955451965
Na,-0.47033244371414185,0.38685286045074463,-0.2626657485961914,-0.46822255849838257,0.05051121115684509,-0.4261273741722107,0.16049084067344666,1.0919761657714844,0.6744406223297119,0.678510844707489,0.719855785369873,0.8644194602966309,0.18684980273246765,0.15722259879112244,-0.24201557040214539,0.2348220944404602,0.8136410117149353,0.34288036823272705,-0.092538021504879,0.04410850629210472,0.19801205396652222,-0.0799286738038063,-0.18589098751544952,0.5856329202651978,0.26596057415008545,-0.6658564805984497,-0.3227904736995697,-0.47824710607528687,-0.4083172678947449,0.7968847751617432,-0.8732240796089172,-0.15994834899902344,0.7351782321929932,0.38548171520233154,-0.7389991283416748,-0.48363715410232544,0.5582615733146667,0.528261125087738,-0.09904055297374725,0.7544426321983337,0.5270874500274658,-0.4154449999332428,-1.0300335884094238,0.03373196721076965,0.18201220035552979,0.29685625433921814,0.28689056634902954,-0.026203664019703865,0.08363587409257889,-1.3893524408340454,0.3870026469230652,0.2902562618255615,0.27851516008377075,-0.23963721096515656,-0.38139382004737854,0.13529521226882935,0.48156020045280457,0.23495584726333618,-0.3101285398006439,0.668498694896698,0.28803661465644836,-0.16924446821212769,-0.1255447417497635,-0.13092124462127686
Mg,-0.3222883939743042,0.3181241452693939,0.055606547743082047,-0.18281589448451996,0.25520074367523193,-0.08470001071691513,0.016011664643883705,0.30173128843307495,0.37589243054389954,0.3166545033454895,0.2581040561199188,0.3016049265861511,0.3260490894317627,0.28928691148757935,-0.3887135982513428,0.48209986090660095,0.29560381174087524,-0.004128429107367992,0.028021078556776047,0.21673260629177094,-0.21034984290599823,-0.12438373267650604,0.19410766661167145,-0.07861723750829697,-0.01738361269235611,-0.7897947430610657,-0.45373696088790894,0.34989139437675476,1.0857560634613037,0.3715173304080963,-0.4194975793361664,-0.12743006646633148,0.2834106981754303,0.4035723805427551,-0.11592910438776016,-0.06724174320697784,0.532921552658081,0.10046669095754623,-0.06999169290065765,0.612105667591095,0.19056251645088196,0.12435804307460785,-0.2939283847808838,-0.051377736032009125,-0.37071463465690613,0.09495251625776291,0.05876516178250313,-0.21190983057022095,-0.1342281550168991,-0.11515750735998154,0.20004841685295105,0.2586195170879364,-0.35689640045166016,-0.10552561283111572,0.21921119093894958,-0.32267284393310547,-0.10757333785295486,-0.22916138172149658,0.14065252244472504,0.8800696134567261,0.2054348886013031,0.2536223828792572,-0.20152921974658966,-0.1297059804201126
