Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.467053085565567,1.4851830005645752,0.18551692366600037,-0.13962826132774353,-0.6959570646286011,-1.3913928270339966,0.12773148715496063,0.9006271958351135
Li,-0.468397319316864,0.9181215763092041,-0.36362224817276,0.0246665608137846,-0.023393163457512856,-1.6462799310684204,1.1746312379837036,0.6747406721115112
Be,-0.5083334445953369,-0.0035702716559171677,-0.8993287682533264,-1.4041115045547485,0.42486000061035156,-0.5508466958999634,-0.23953275382518768,1.5760159492492676
B,-0.11250138282775879,-0.5964523553848267,-0.5919233560562134,-1.5728977918624878,0.5496630072593689,-1.0229966640472412,-0.7593376636505127,0.6909876465797424
C,-0.4310632646083832,-0.7526089549064636,-0.6181970834732056,-0.997262179851532,-0.2278885841369629,-1.26666259765625,-1.3287689685821533,0.503017246723175
N,-0.6881121397018433,0.7093417048454285,0.6581974625587463,-0.2379399985074997,-0.9437136054039001,-1.3859974145889282,-1.8359994888305664,-0.3248228430747986
O,0.9660235047340393,0.8624168038368225,1.351270318031311,-0.0388149693608284,-1.1119240522384644,0.4571216106414795,-1.635709285736084,0.25304898619651794
F,3.3154873847961426,1.4317213296890259,1.8965328931808472,0.30314287543296814,-0.6934847235679626,1.506369948387146,-1.8220106363296509,-0.9924612641334534
Na,-0.4600113332271576,1.1109377145767212,-0.6922336220741272,1.083615779876709,0.2679171860218048,-0.7735861539840698,1.2019394636154175,0.9364388585090637
Mg,0.19727250933647156,0.05666787922382355,-0.9349772930145264,-0.17335718870162964,0.8117358684539795,0.23253856599330902,0.7484471797943115,1.1371779441833496
Al,0.47629690170288086,-0.46661585569381714,-0.4071007966995239,-0.6926333904266357,0.970047652721405,0.6256647109985352,0.3436395823955536,0.7745075225830078
Si,0.9343387484550476,-0.8513361215591431,-0.6638120412826538,-0.23828832805156708,0.778872549533844,-0.15121246874332428,0.06535936892032623,-0.07885165512561798
P,0.9686262607574463,-0.7034656405448914,-0.23454153537750244,-0.5743592977523804,0.7186246514320374,0.004840118810534477,-0.6288707852363586,-0.798393189907074
S,1.086429476737976,-0.4799596667289734,0.758439838886261,0.00490054115653038,0.327409029006958,0.18254713714122772,-1.0765305757522583,-0.7509912848472595
Cl,1.7851440906524658,1.0556631088256836,1.1881264448165894,0.7572149038314819,-0.06954996287822723,0.34387776255607605,-0.7662310600280762,-1.3393465280532837
K,-1.586789608001709,1.5398913621902466,-0.5354912281036377,0.9430245161056519,-0.2784375846385956,-0.9682102203369141,1.1601836681365967,1.607068657875061
Ca,-1.854797601699829,-0.4288833737373352,-0.8143656849861145,-0.5526877641677856,1.3177225589752197,-2.1539881229400635,1.5804028511047363,1.0605547428131104
Sc,-0.06381160020828247,-1.0064873695373535,-1.4691150188446045,-0.8498497009277344,1.4133635759353638,-0.20606988668441772,1.3223323822021484,0.0951080471277237
Ti,0.38506627082824707,-1.2230929136276245,-1.4172918796539307,-0.633670449256897,1.2558996677398682,-0.5427089333534241,1.2546532154083252,-1.1957658529281616
V,-0.9245743751525879,-0.883406937122345,-1.0853017568588257,-0.5335202217102051,0.6711113452911377,-0.006785497069358826,0.5790241956710815,-0.6751655340194702
Cr,-1.5414153337478638,-0.5761202573776245,-0.7999186515808105,-0.7103473544120789,0.42075273394584656,-0.05851059406995773,0.32778456807136536,0.28780263662338257
Mn,-1.644643783569336,-0.697860598564148,-0.5220993757247925,-0.12233931571245193,0.21858753263950348,-0.7961152195930481,0.5212532877922058,-0.38141027092933655
Fe,-1.8196271657943726,-0.305245041847229,-0.2380392700433731,-0.1833624541759491,-0.043885208666324615,-0.6130889654159546,0.16313059628009796,0.19057795405387878
Co,-1.4229928255081177,0.21096912026405334,-0.801144003868103,0.8625468015670776,-0.2724287807941437,-0.048089586198329926,-0.3708699941635132,0.18756796419620514
Ni,-1.1359000205993652,-0.028768589720129967,-0.15088117122650146,1.4986070394515991,-1.1719950437545776,-0.940523087978363,-0.040276654064655304,-0.1462470293045044
Cu,-1.4348063468933105,1.4006445407867432,-0.49982160329818726,0.43908268213272095,-1.2120634317398071,-0.2946564853191376,0.20964936912059784,0.06501559913158417
Zn,-0.7635172009468079,0.7501591444015503,-0.022314252331852913,-0.5160970687866211,0.2676898241043091,-0.41680237650871277,0.8184810280799866,-0.09511004388332367
Ga,-0.05414066091179848,0.159622460603714,-0.08007540553808212,-0.5106152296066284,0.8788411021232605,0.09433994442224503,0.6388124823570251,-0.1357455551624298
Ge,0.07604744285345078,-0.43030208349227905,-0.3072861433029175,-0.1243867501616478,0.46289384365081787,-0.7439038753509521,0.4251111149787903,-0.788558840751648
As,0.043334126472473145,-0.234910786151886,0.24332164227962494,-0.47556397318840027,0.9493780136108398,-0.8826574683189392,0.053096167743206024,-1.5402216911315918
Se,0.14723023772239685,0.12482734024524689,1.1960809230804443,0.02616770751774311,0.6362890601158142,-0.4975508153438568,-0.3837820589542389,-1.2080336809158325
Br,0.7088825106620789,1.2062132358551025,1.3213924169540405,0.5162122249603271,-0.19044025242328644,-0.24787242710590363,-0.329206645488739,-1.8987635374069214
Rb,-1.722393274307251,1.2344865798950195,-0.4468962252140045,0.9393956065177917,-0.4460456371307373,-0.24355684220790863,1.250345230102539,1.5881935358047485
Sr,-1.967913269996643,-0.37990084290504456,-1.2900499105453491,-0.2104775458574295,0.9561272859573364,-1.8358306884765625,1.2889748811721802,1.7441757917404175
Y,-0.2536393702030182,-1.7335186004638672,-1.4297584295272827,-0.2379305064678192,1.7715201377868652,-0.6030912399291992,1.823402762413025,0.2377995252609253
