Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.562419056892395,-0.5591874122619629,0.9971133470535278,0.5812636613845825,-0.29181674122810364,-0.19446514546871185,0.5709009170532227,-0.3010362982749939,-0.5139625072479248,-0.864318311214447,-0.6227247714996338,-0.10656337440013885,0.3733444809913635,-0.4345867335796356,-0.9305447936058044,0.3465905785560608,1.6064066886901855,-0.11967166513204575,-1.1799589395523071,-1.1467761993408203,-0.3619883358478546,0.9002910256385803,0.9951150417327881,1.7154051065444946,0.3646870255470276,0.21405628323554993,-0.07032440602779388,0.10665524750947952,-0.00019599977531470358,0.9688337445259094,-0.7705393433570862,0.6251295208930969
Li,0.5007502436637878,-1.4101653099060059,-0.5092951655387878,0.34764614701271057,-0.9546288251876831,-0.3724187910556793,0.4975413382053375,-0.5462435483932495,-0.2988901734352112,0.5985103249549866,-2.1585373878479004,-1.7647521495819092,-1.072048306465149,-1.1982395648956299,-1.3585355281829834,0.5008265376091003,-1.5894962549209595,-0.7753442525863647,-0.30118560791015625,-0.27950048446655273,-0.3586868941783905,-0.2669118046760559,-0.9906448721885681,-0.7594221830368042,-0.6011223793029785,-0.49636152386665344,0.4451683759689331,0.8472873568534851,0.3808472156524658,-0.4323984384536743,-0.7085596323013306,2.3031680583953857
Be,-0.008592831902205944,-1.0936956405639648,-0.5826451778411865,-1.2676340341567993,1.1361764669418335,2.6222057342529297,0.4784509539604187,2.3082683086395264,-1.6128138303756714,-1.532408595085144,0.6706683039665222,1.1001657247543335,0.5752307176589966,0.5703175663948059,-1.37877357006073,0.4686078727245331,-1.297345519065857,0.10149148851633072,-0.14775307476520538,0.13660874962806702,-0.48782458901405334,-0.4719013273715973,0.8534147143363953,0.46754008531570435,-0.20510925352573395,0.44804543256759644,-1.29375159740448,1.9050383567810059,0.3091773986816406,-0.5791686177253723,-0.16944007575511932,-0.8430723547935486
B,0.6624730825424194,-0.8292222619056702,1.624098777770996,0.3444989025592804,1.8525339365005493,-0.8368744850158691,-0.7954297661781311,-0.25271713733673096,-1.5073719024658203,-0.9856951236724854,0.7855742573738098,1.8805900812149048,0.5380088686943054,1.338609218597412,-0.1769779622554779,1.3615933656692505,-0.04884660989046097,-0.27298977971076965,1.357446551322937,0.941126823425293,-0.3119700253009796,-0.6495888829231262,0.49726438522338867,-0.8363505005836487,-0.06640809774398804,0.6204609274864197,0.3191075921058655,0.26316946744918823,0.7927905917167664,-1.1817821264266968,-0.12357839196920395,-0.09314682334661484
C,1.596251368522644,-1.0182433128356934,0.8646522164344788,0.5856650471687317,0.7920916080474854,-0.004727785941213369,1.267114281654358,0.35923078656196594,1.299293041229248,0.4767935574054718,0.19354066252708435,0.30224722623825073,-0.6556091904640198,0.611604630947113,-0.4745867848396301,1.4673006534576416,1.4077472686767578,-0.8253734111785889,-0.708197295665741,-1.6527268886566162,-0.11141429096460342,-0.9022760987281799,-1.134972095489502,0.8325587511062622,-0.8897135257720947,0.5446178317070007,1.2195405960083008,-0.6393707394599915,1.6235074996948242,1.2765872478485107,-0.3015199601650238,-1.211519718170166
N,0.062361642718315125,-0.02694123424589634,-1.17744779586792,-0.059810150414705276,0.4870435297489166,0.1519899219274521,-1.6995762586593628,0.3871808350086212,1.6507019996643066,-0.09352893382310867,-0.32636889815330505,0.7916832566261292,-0.9163975715637207,1.5685110092163086,-1.0778768062591553,0.5663169026374817,1.6611909866333008,0.45808181166648865,-0.9038015604019165,-2.299222946166992,-0.07217061519622803,-0.767114520072937,0.7762426137924194,0.4572073519229889,-0.6599850654602051,-0.923454225063324,-0.9214692115783691,0.32239770889282227,-0.40589162707328796,1.6735975742340088,0.8222373723983765,-0.4328923225402832
O,0.4672274887561798,1.292327642440796,-0.22876779735088348,-1.7969582080841064,-2.6277246475219727,-0.490080326795578,0.701960563659668,0.34720975160598755,-0.6994104385375977,-0.2170553058385849,0.6747624278068542,-1.1928274631500244,1.6587550640106201,0.5201241374015808,-0.7785605192184448,0.03632775694131851,1.2144999504089355,1.2380876541137695,0.23248744010925293,-0.7087876200675964,1.3429926633834839,-0.18348971009254456,-1.1758548021316528,-0.5698232650756836,-0.3220479190349579,0.10406853258609772,-0.03738255053758621,1.3275489807128906,-0.7490643262863159,0.6603717803955078,-0.6058011054992676,-0.6671419143676758
F,0.364780068397522,0.9897664189338684,-0.14511674642562866,-1.0962046384811401,-0.04394502565264702,-1.372519850730896,-1.0777044296264648,1.2082957029342651,1.095694899559021,-1.2258561849594116,-1.7630889415740967,0.11094066500663757,-0.4057318866252899,0.44194385409355164,-1.0942144393920898,2.12402606010437,0.1864599734544754,2.686368703842163,1.6175824403762817,0.3643125593662262,1.1302684545516968,0.9406923651695251,-0.8667485117912292,0.8281989693641663,-1.2151806354522705,-0.5991811156272888,-0.6016649603843689,0.6257339715957642,-0.5447529554367065,-1.4369499683380127,-0.29816734790802,-0.21159905195236206
Na,1.4818795919418335,0.2866957485675812,-0.7094086408615112,1.1107547283172607,0.33010220527648926,-0.4187782406806946,-1.0636357069015503,0.18104495108127594,-2.475104331970215,-0.4449664056301117,1.3445428609848022,-0.5730220675468445,-1.4999040365219116,-1.2804296016693115,-0.25503841042518616,0.8684158325195312,-0.2485724240541458,0.9967473745346069,0.01022283360362053,-1.0897661447525024,-0.37487372756004333,0.3511509299278259,-0.23894605040550232,1.4057832956314087,-0.24653637409210205,0.466047078371048,0.358914852142334,-0.9528981447219849,0.06956158578395844,0.15590709447860718,-0.3679969310760498,1.638856053352356
Mg,-0.9908793568611145,-1.4809597730636597,-1.5595192909240723,0.3283870816230774,-0.5436325073242188,0.5864848494529724,-0.5713707804679871,2.734100580215454,-0.545756459236145,0.9605573415756226,0.9948204159736633,-0.3041147291660309,0.7844755053520203,-1.3131158351898193,-2.120831251144409,-0.5048187375068665,-0.9737669229507446,-2.012571334838867,-0.34747806191444397,-0.026150193065404892,0.12904076278209686,1.1958272457122803,1.2039841413497925,-0.4919334352016449,-1.6752233505249023,-0.2936667203903198,-0.6936607360839844,0.5577206611633301,-0.40628138184547424,0.6402108669281006,0.4857563078403473,-0.9329264163970947
Al,1.926689863204956,-0.4390806257724762,-0.694240391254425,-0.2941111922264099,-0.017808610573410988,0.6589722633361816,0.6801221370697021,0.13455067574977875,-0.9664998650550842,0.7158593535423279,2.36599063873291,0.3392902910709381,0.1968340426683426,-0.1468137502670288,1.1506437063217163,0.7334988713264465,-0.8918361067771912,1.3603764772415161,1.2524065971374512,-0.6125195026397705,1.2631580829620361,-1.2985026836395264,0.5819375514984131,-1.9095896482467651,-0.9520394802093506,-0.9059199690818787,-1.8205091953277588,-0.7367480397224426,-0.23373299837112427,-1.426921010017395,0.5606405138969421,-1.0482836961746216
Si,0.5980530381202698,-2.0366716384887695,-0.6115929484367371,0.26869380474090576,1.5338072776794434,-1.447557806968689,0.8228311538696289,-1.2468515634536743,-0.2299726903438568,-0.7504807710647583,0.717023491859436,-0.13045622408390045,-0.025074925273656845,0.8589870929718018,-0.7298292517662048,-0.25911134481430054,0.30705875158309937,-1.0270096063613892,0.27741992473602295,-0.5034638047218323,-0.26810014247894287,-0.3322562873363495,-0.456850528717041,-0.7799480557441711,0.6506808400154114,0.965226411819458,-0.06123881787061691,-1.593456506729126,-0.5605432987213135,-0.1824360191822052,-0.6548366546630859,0.06862007081508636
P,-2.330673933029175,-1.1304813623428345,1.5326892137527466,0.07335689663887024,1.715908169746399,0.807780385017395,0.5250942707061768,-1.5627732276916504,0.5031715631484985,-1.0050321817398071,-0.8372973799705505,-0.4061789810657501,-0.15826238691806793,0.9908472895622253,-0.33307167887687683,-1.132405161857605,-0.2779512405395508,0.1470688432455063,0.6331002712249756,-1.451129674911499,1.7792601585388184,0.9224169254302979,0.7503266334533691,-1.0654069185256958,-0.9320930242538452,0.7442962527275085,0.3992399573326111,-2.2970261573791504,-1.433525562286377,1.174342155456543,0.11299947649240494,-0.5600798726081848
S,-0.5481717586517334,-0.38696813583374023,0.619787335395813,-1.0433909893035889,0.7793288826942444,-1.973842740058899,0.16263532638549805,-0.9208174347877502,0.8188402652740479,0.2744531035423279,-0.8897315263748169,-0.43925318121910095,0.21550694108009338,-0.30556416511535645,-1.650076150894165,0.7483555674552917,0.14822269976139069,0.3044832944869995,1.3287596702575684,-1.735292673110962,-0.12956969439983368,-1.3048841953277588,0.8243166208267212,-1.2178717851638794,0.8462712168693542,0.561964213848114,-0.08585846424102783,-1.1527177095413208,0.041738733649253845,1.0576332807540894,-1.2432997226715088,0.9949439167976379
Cl,-1.6209509372711182,-0.5731366872787476,1.3775622844696045,-1.2628068923950195,0.5362793207168579,-0.9508059620857239,1.4163521528244019,0.03567739948630333,0.09396851807832718,-0.5227351784706116,-1.1163121461868286,-1.2820329666137695,-0.02347344346344471,0.8608547449111938,-0.384901762008667,0.463754266500473,-0.09036101400852203,0.9625989198684692,-1.5236830711364746,0.36902645230293274,-1.8323984146118164,-0.7847149968147278,0.19914211332798004,0.9507084488868713,-2.0797557830810547,1.0591107606887817,0.43249672651290894,-0.18808718025684357,-2.2167484760284424,0.9800189733505249,0.5423744320869446,1.6753638982772827
K,-0.02246626280248165,0.5868189334869385,-0.2365284413099289,-1.0383727550506592,-0.3283371925354004,1.5869020223617554,-0.5579686164855957,1.1180157661437988,-0.1918337345123291,1.1976709365844727,0.7153798341751099,-0.30199429392814636,-1.9123024940490723,0.2221602499485016,-0.13791713118553162,-0.7092843651771545,-0.6608876585960388,1.161521553993225,-0.579201340675354,-0.7612941265106201,-1.3008674383163452,-0.4667462706565857,-1.0396252870559692,0.7215133905410767,-0.5644429922103882,1.014438271522522,0.23541876673698425,-0.6724439263343811,-0.7182796597480774,0.359817236661911,1.1709954738616943,2.839484453201294
Ca,-0.5118788480758667,0.5570045709609985,-0.24449637532234192,-1.5623924732208252,-0.899183988571167,0.3428916335105896,1.137599229812622,0.308963805437088,-2.1126604080200195,0.691199779510498,0.3514710068702698,0.7485384941101074,-0.38397085666656494,-0.11655338853597641,-0.6088674068450928,-0.024054504930973053,0.005236865486949682,-0.13344170153141022,-0.1168779730796814,0.7564780116081238,0.8668183088302612,0.07770907133817673,0.9769912362098694,0.9269795417785645,-0.8187956809997559,-0.4747893214225769,-1.5654441118240356,-1.7936816215515137,0.21991954743862152,-0.3979693651199341,-0.6410835981369019,0.34260350465774536
Sc,-0.9519734382629395,1.5537513494491577,-0.5879492163658142,0.9251691102981567,0.3285898268222809,-0.30839836597442627,-0.23708917200565338,0.07695484161376953,0.952200174331665,-0.1809832751750946,1.6171245574951172,0.3288089632987976,-0.20841540396213531,-0.4363207519054413,-1.098475456237793,1.2356706857681274,-2.3959994316101074,-0.24771229922771454,0.6442201733589172,0.5204340219497681,0.5102139711380005,0.6660230159759521,0.6002169847488403,-0.8727988004684448,-1.698366403579712,-0.2902103066444397,-1.4237351417541504,-0.03233756497502327,-0.717509388923645,-0.7121561169624329,-1.87236487865448,0.5062128305435181
Ti,0.2909003496170044,-0.40885746479034424,-0.34451597929000854,0.09952155500650406,0.6632261872291565,0.26910507678985596,2.1494357585906982,-0.39022332429885864,1.0774706602096558,-0.25464844703674316,0.13852661848068237,0.2927192747592926,-0.2413683831691742,0.2504328787326813,0.9476063847541809,-0.4741332530975342,-1.817525863647461,0.16183656454086304,-1.3984817266464233,1.4033465385437012,1.1449276208877563,0.6037919521331787,1.135559320449829,-0.9248252511024475,0.46783024072647095,0.38813796639442444,-0.43747127056121826,2.491827964782715,0.1660936176776886,-1.0399316549301147,-1.5167049169540405,-1.2582825422286987
V,-0.24285724759101868,1.7232409715652466,1.8197402954101562,-1.081981897354126,1.1300846338272095,-0.5223143100738525,-0.2784295976161957,1.5986474752426147,0.05961292237043381,0.4656551778316498,0.44594869017601013,1.2111810445785522,-1.2760835886001587,-0.25739234685897827,1.067960500717163,-0.8204044699668884,-2.0418033599853516,-0.5964267253875732,-1.4392080307006836,-1.9041258096694946,0.8431780338287354,-0.05604804679751396,-1.7763786315917969,-1.6614266633987427,2.3419623374938965,-0.5219092965126038,0.685326337814331,-0.6881968379020691,-0.5355578660964966,0.3242708146572113,0.7586095929145813,1.8519846200942993
Cr,0.6717397570610046,0.7118194103240967,-0.19299839437007904,0.2582363486289978,1.963761806488037,1.3239153623580933,0.7178427577018738,-0.5867648124694824,-0.30867621302604675,0.7980747818946838,1.0889427661895752,0.11832764744758606,0.1286834478378296,0.42028477787971497,-0.14372780919075012,-1.0317022800445557,-0.8127107620239258,-2.0513815879821777,-0.08724180608987808,-0.08744340389966965,1.0836085081100464,1.2926448583602905,-0.6164730191230774,0.9027531147003174,1.1692622900009155,-0.9095434546470642,-0.6509773135185242,0.6693689227104187,-0.9766151309013367,0.8874716758728027,1.7967147827148438,-0.10612080991268158
Mn,-0.36495527625083923,0.2575221061706543,0.9831938147544861,0.3235200345516205,-0.3411105275154114,0.4083796441555023,0.5310603976249695,-1.5300899744033813,-0.1840852051973343,0.41255390644073486,0.1672145277261734,-0.2890053689479828,-1.3944497108459473,-0.9292049407958984,0.13314302265644073,0.4333147704601288,-1.1401914358139038,-1.9578410387039185,-1.740254282951355,2.0330164432525635,-0.4658960998058319,-0.5751723647117615,-0.5823033452033997,-0.6760261058807373,1.6798439025878906,0.33908042311668396,0.3933265507221222,0.9084534645080566,1.119016170501709,0.6502538323402405,-1.1541279554367065,0.9948052763938904
Fe,1.3701847791671753,-0.9473295211791992,0.8895934224128723,-0.2742871046066284,0.7191691398620605,1.3015292882919312,0.17761997878551483,-1.6520600318908691,-0.6015015840530396,-0.5099071264266968,0.41254764795303345,-0.3886813223361969,-0.5379672646522522,-0.7180661559104919,1.1008342504501343,0.34985873103141785,0.0674751028418541,-0.9040205478668213,-0.2605971395969391,1.0860724449157715,0.23843856155872345,-0.6453261971473694,0.42814725637435913,0.9504631161689758,-0.15350064635276794,0.9918161630630493,-0.33196428418159485,-0.25556424260139465,0.8930436968803406,-0.25736546516418457,-0.08475350588560104,0.5890031456947327
Co,1.6185649633407593,-0.1466529816389084,0.31375810503959656,0.07532485574483871,1.4086123704910278,0.42243608832359314,-1.5849266052246094,-0.9587322473526001,-1.2237915992736816,1.1175885200500488,-0.37176626920700073,-0.2587244510650635,0.6782069802284241,0.5108121633529663,1.4566967487335205,-0.27627265453338623,-1.4956995248794556,-0.8255913853645325,-1.2285513877868652,-0.0021788920275866985,-1.2113765478134155,0.02621753327548504,0.5385806560516357,0.10466168820858002,-0.062196996062994,0.1975681185722351,-0.7428709864616394,0.610504686832428,0.2246132344007492,1.9815763235092163,0.9890143871307373,-0.23629535734653473
Ni,1.9409904479980469,-0.833327054977417,2.741058826446533,1.514237642288208,-0.7956732511520386,1.035573959350586,-0.4115068316459656,-1.9393467903137207,-0.9920536875724792,0.09104590862989426,1.0670417547225952,-0.13429412245750427,-1.2762383222579956,-0.5573436617851257,-0.3426964282989502,-0.7352204322814941,-0.7340747117996216,1.2547048330307007,-0.522813081741333,0.5306166410446167,-0.6060148477554321,0.2835755944252014,0.4068455100059509,-0.559219479560852,0.5331829786300659,-0.9209393858909607,1.2759363651275635,0.6384624242782593,-0.24341236054897308,0.42203256487846375,0.7876719832420349,-0.5040566921234131
Cu,1.6424822807312012,-1.462378978729248,1.4199304580688477,0.8294079899787903,1.404470443725586,1.6802374124526978,-1.4751577377319336,0.8835346698760986,0.20590554177761078,-0.6365496516227722,-0.9452075362205505,0.7276742458343506,-0.09236754477024078,0.3955847918987274,-1.548822045326233,-1.0248048305511475,-0.6335347890853882,0.6282508373260498,-1.6837798357009888,-0.032159075140953064,0.4227984547615051,0.5487585067749023,0.5771334171295166,0.8748576641082764,0.6225859522819519,-1.345171570777893,-0.48675304651260376,0.3092844486236572,0.6666651964187622,0.5947792530059814,-0.0360785536468029,-0.2676961123943329
Zn,1.958996057510376,-0.39794492721557617,-0.36718645691871643,0.1855393797159195,-0.0706915408372879,0.11338479816913605,1.0306024551391602,0.7005901336669922,0.5791465640068054,0.13399271667003632,1.2607616186141968,-0.05554085969924927,-0.8317840695381165,-0.9935684204101562,0.7914003133773804,0.15076611936092377,-1.022138237953186,1.2328563928604126,-0.6259400844573975,-1.0820332765579224,-2.1555428504943848,2.1533262729644775,0.31417444348335266,0.09403818100690842,-2.2752938270568848,-1.3149257898330688,-0.15568844974040985,0.1429501473903656,0.041531842201948166,-0.6051607728004456,0.3912144601345062,-0.5190643072128296
Ga,0.11053092032670975,-0.4736481010913849,0.27061572670936584,0.47996893525123596,-0.5316639542579651,-0.6836575269699097,0.5245301127433777,-1.0548664331436157,0.33370399475097656,1.0419809818267822,0.012666468508541584,-1.5384262800216675,-0.41442978382110596,0.487594336271286,0.03964345529675484,-0.5317597985267639,0.35669246315956116,-0.6411384344100952,-1.1890000104904175,-0.5807140469551086,-0.2734585404396057,1.1438754796981812,-0.26665934920310974,-0.7604809403419495,-0.5979637503623962,0.1111525148153305,0.4724116027355194,-0.7954047322273254,0.9653564691543579,-1.051882266998291,0.38246700167655945,-0.386665940284729
Ge,0.12269238382577896,-0.6483319401741028,0.31767991185188293,1.3847296237945557,-0.5148494839668274,0.13698339462280273,0.4941103160381317,-1.1710115671157837,0.28204381465911865,-0.8359168767929077,-0.36322611570358276,0.5679343342781067,0.6405475735664368,0.9551302790641785,0.6313143968582153,-0.9625899791717529,0.6649555563926697,-0.27004483342170715,0.36803460121154785,-0.09868500381708145,0.819014847278595,0.16488738358020782,-0.039368800818920135,-0.13799121975898743,-0.23630309104919434,-1.1297454833984375,0.7675514817237854,0.24631161987781525,0.09634894132614136,-0.2407226264476776,1.0529242753982544,0.6593714356422424
As,-0.13686007261276245,-1.342621088027954,-0.3369067311286926,-0.9148863554000854,1.4371731281280518,0.7123820781707764,0.201465904712677,-0.8015590310096741,0.9510599374771118,0.6926525831222534,0.5126338601112366,-1.5819346904754639,-0.7079623341560364,0.6622438430786133,-1.1950592994689941,-0.8401691317558289,1.0953631401062012,-0.4956779181957245,-0.6761326193809509,-0.6306620240211487,0.4989079236984253,-1.085332989692688,2.1490676403045654,0.7156821489334106,-0.4980144202709198,-1.210640549659729,0.41938677430152893,0.5894094109535217,0.05113738775253296,0.4328049123287201,-0.7098139524459839,-0.5323291420936584
Se,-0.11273477971553802,1.0093871355056763,0.709696352481842,-0.1287853717803955,-0.20371603965759277,0.34956634044647217,0.26604336500167847,-0.8617568612098694,-0.04855735972523689,-1.5622007846832275,1.5853155851364136,-0.41040101647377014,0.1575147956609726,0.788872480392456,0.2358359694480896,-1.1573305130004883,-0.11544226109981537,0.5912929773330688,-1.2846544981002808,-1.3679274320602417,-0.3753832280635834,-1.074145793914795,1.011328101158142,-0.39163529872894287,-2.221534013748169,-1.1733767986297607,-0.03981507942080498,0.41460898518562317,-1.8046512603759766,-0.3069143295288086,0.6540701985359192,0.871213972568512
Br,1.08389413356781,0.31506115198135376,-0.039087094366550446,-1.0694541931152344,0.5570777654647827,-0.4800884425640106,-0.6871709227561951,-0.3489528000354767,-1.6195647716522217,-0.9910396337509155,-2.18701434135437,-1.0037293434143066,-1.8612092733383179,0.8765717148780823,1.0794522762298584,-0.4100389778614044,-0.15018968284130096,1.5006697177886963,-0.599883496761322,-0.6565970182418823,0.639164924621582,-1.164836049079895,0.3333563804626465,-0.9564819931983948,-0.6490841507911682,-0.19745075702667236,1.314305067062378,0.5139977335929871,-1.2476767301559448,0.997778594493866,-0.1791122853755951,1.529921054840088
