Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-1.809051752090454,0.013475269079208374,0.23540858924388885,-0.6200370788574219,1.2289981842041016,1.9006208181381226,-1.0393671989440918,2.632422924041748,0.9956135153770447,-1.2108315229415894,-0.6755947470664978,3.2747421264648438,2.195962905883789,-0.5485529899597168,0.25697821378707886,0.2056138515472412
Li,-1.1003084182739258,-0.7838102579116821,0.1686820387840271,0.26894092559814453,-1.7948729991912842,1.4300336837768555,-0.5880618691444397,0.29265332221984863,-1.305222988128662,0.3759031593799591,-3.2311153411865234,0.7512308955192566,2.537236213684082,0.4247312545776367,0.6103766560554504,-2.4226608276367188
Be,-0.0368487685918808,-2.195448160171509,-2.0828490257263184,-1.4402521848678589,-0.8381584882736206,2.8439788818359375,0.24171799421310425,-3.3634753227233887,-2.5642271041870117,-2.181748867034912,-1.7813282012939453,-0.33888113498687744,1.4356813430786133,1.636300802230835,2.386249303817749,-0.5325064063072205
B,-0.531130313873291,-0.15828567743301392,-2.914658546447754,-3.5676817893981934,-0.7431976795196533,0.7765857577323914,1.0448098182678223,-0.8853963613510132,-2.998042583465576,-1.3015100955963135,0.8777538537979126,1.442040205001831,1.762363314628601,1.2596299648284912,-1.8343043327331543,0.20170533657073975
C,0.9699336290359497,0.3499765992164612,-3.7525835037231445,-0.2890312671661377,1.1265255212783813,2.0568034648895264,0.6838335990905762,-1.9081014394760132,0.578217625617981,-3.1414475440979004,1.9560918807983398,1.5118498802185059,-0.21285396814346313,1.2365005016326904,-0.2741306722164154,-0.5694835782051086
N,-1.1537023782730103,0.5560911893844604,1.7369508743286133,3.0354676246643066,1.2254345417022705,-0.9636313319206238,1.3374192714691162,3.702119827270508,0.599493682384491,1.5356855392456055,0.35296452045440674,0.4135119318962097,1.335315465927124,0.5237779021263123,-0.9447633028030396,-0.3745466470718384
O,-1.887080192565918,1.3834943771362305,0.24376431107521057,1.1650722026824951,0.40843573212623596,0.2559954524040222,-1.2960560321807861,-0.20464995503425598,0.6887756586074829,1.8682705163955688,0.13277994096279144,-0.1803443431854248,0.34727224707603455,-1.3798835277557373,0.6724652647972107,1.6629347801208496
F,-0.47973859310150146,-1.5496671199798584,0.6450448036193848,-1.4024804830551147,1.089349389076233,-1.1350207328796387,-1.4197348356246948,-1.0199332237243652,1.1418883800506592,2.835681200027466,0.9124116897583008,-2.3775994777679443,1.4500024318695068,-2.3688552379608154,0.3407188355922699,3.568146228790283
Na,-0.03962993621826172,-0.9836632013320923,-0.8231218457221985,-0.6586731672286987,-0.9435455203056335,0.8991655707359314,-0.8071150779724121,0.4204528033733368,0.5202329754829407,0.7511109113693237,-3.1536521911621094,1.552880048751831,1.2464654445648193,-2.028627634048462,1.1359881162643433,-3.6692698001861572
Mg,-0.012137532234191895,-1.916725993156433,0.041151463985443115,-3.1698598861694336,-1.8452930450439453,0.3123585879802704,-2.1555914878845215,-1.1602391004562378,-0.3023664653301239,0.13951170444488525,-0.3862953186035156,0.5885703563690186,0.1980723738670349,-0.9262640476226807,0.4967675805091858,-2.038569927215576
Al,-0.35194849967956543,-3.1162614822387695,-0.18698379397392273,-2.6564245223999023,-2.3418350219726562,-0.9735220670700073,0.21472731232643127,-0.4298175573348999,-0.19261935353279114,-0.21039894223213196,0.6167694330215454,0.14399421215057373,-0.627113401889801,0.32319214940071106,0.016451120376586914,0.45322662591934204
Si,-0.1379346251487732,-1.8528831005096436,-0.11380869150161743,-2.242720127105713,-1.8261886835098267,-0.7556973099708557,0.04687139391899109,-0.35286927223205566,-2.8963065147399902,-1.4354701042175293,1.9386670589447021,0.02703007310628891,0.38215601444244385,2.0976457595825195,0.4523508548736572,0.6514843702316284
P,0.5791265964508057,-0.8640384674072266,-0.41470396518707275,-0.8535875082015991,-1.69037926197052,-0.8528833389282227,-0.22746452689170837,0.40957438945770264,-3.1786179542541504,-0.6628025770187378,3.9437782764434814,-0.16276460886001587,0.9619661569595337,0.5403652191162109,0.2451862096786499,1.570375919342041
S,-0.6602925062179565,-1.7251874208450317,0.8045410513877869,0.915237545967102,0.16104662418365479,0.36285898089408875,1.6710536479949951,0.03919261321425438,-0.44770604372024536,-0.262381911277771,2.5077099800109863,-0.5830327272415161,0.6546338200569153,0.32712846994400024,-1.1174566745758057,2.576124429702759
Cl,0.5000039339065552,0.961978018283844,1.056227207183838,0.11337676644325256,0.482292115688324,-0.24702197313308716,-2.436876058578491,-1.637413740158081,0.5835641622543335,0.09381048381328583,-0.03427034616470337,-0.19672656059265137,1.268863320350647,0.654590368270874,-0.7409876585006714,1.31183922290802
K,0.09556549042463303,0.04863228276371956,-1.7142770290374756,-1.4080415964126587,-1.3922317028045654,1.9859888553619385,-2.0025112628936768,0.9750170111656189,0.9062791466712952,1.614335536956787,-5.786224365234375,1.4946731328964233,-0.38856542110443115,-0.8572940826416016,0.9090777039527893,-2.5606555938720703
Ca,-1.1703091859817505,-1.566941499710083,0.8201150298118591,-4.003489971160889,-1.9742166996002197,-0.22805380821228027,-0.9252841472625732,-2.4312679767608643,-1.4738163948059082,2.316704511642456,-3.2250466346740723,1.8733444213867188,0.36510583758354187,0.9139896035194397,1.3722538948059082,-0.6608679294586182
Sc,1.4628758430480957,-3.253572702407837,4.045888423919678,-1.7998788356781006,-2.6904613971710205,-1.5971667766571045,-0.41566258668899536,-1.6040685176849365,-3.468496561050415,0.2187741994857788,-1.752953290939331,-0.9817450046539307,0.8407150506973267,2.521557092666626,2.5799551010131836,1.0756627321243286
Ti,2.108541965484619,-1.2379014492034912,2.3700759410858154,-2.5630767345428467,-3.718395233154297,0.49497222900390625,2.056431531906128,-1.8820773363113403,-0.3503344655036926,-1.559557557106018,0.2812272012233734,-1.6834787130355835,1.3984653949737549,2.9694879055023193,1.240941047668457,-0.5303134322166443
V,2.677154064178467,1.0987175703048706,1.8147236108779907,-2.2940874099731445,-2.5420806407928467,-0.13964933156967163,2.998936653137207,-0.23916637897491455,-1.814393162727356,-1.7531541585922241,0.065582275390625,-0.20689105987548828,0.3490172028541565,0.24103689193725586,-0.34649690985679626,-2.015756130218506
Cr,3.1289918422698975,-1.3051202297210693,-0.2810932397842407,-0.17092442512512207,-0.7649756669998169,-1.216564655303955,0.6322453618049622,-0.5555405020713806,-2.4028544425964355,-2.270357370376587,-1.357071876525879,0.732162594795227,-0.4007219076156616,0.6907650232315063,-0.46268826723098755,-2.492919445037842
Mn,1.0545578002929688,-0.5871812105178833,-0.47824451327323914,-1.3097929954528809,1.4023510217666626,-0.6599593162536621,1.706620216369629,-0.019124120473861694,-1.9178214073181152,-0.7066190242767334,-1.9386348724365234,-0.3621974587440491,-1.47884202003479,0.7796180248260498,-0.20686835050582886,-2.4454681873321533
Fe,2.3734772205352783,0.24468392133712769,-0.6296188831329346,-1.0803693532943726,0.9908954501152039,2.1079037189483643,0.8747791051864624,0.08181530237197876,-0.9913614988327026,-2.6420607566833496,-2.0991644859313965,0.9323171377182007,-1.6168818473815918,1.9601073265075684,0.10032093524932861,-2.1611320972442627
Co,1.2288687229156494,0.35742396116256714,-0.9496252536773682,0.1555088460445404,0.4964158535003662,1.6737732887268066,2.369166135787964,0.021816492080688477,0.5097844004631042,-1.107155442237854,-1.594986915588379,0.5720415115356445,-0.5380339622497559,-0.47965139150619507,-3.6831068992614746,-2.2231380939483643
Ni,1.3271605968475342,1.7951841354370117,-2.966193199157715,0.5540295839309692,-0.4932675361633301,-0.44692111015319824,1.2713614702224731,1.033447504043579,0.8723077774047852,-1.9713901281356812,-2.236048460006714,0.45998871326446533,0.3446529507637024,-1.2328811883926392,-3.5386157035827637,0.04518616199493408
Cu,1.2539492845535278,0.9599928259849548,-1.683236002922058,1.547275185585022,1.7909908294677734,0.12731817364692688,1.3861254453659058,1.9541795253753662,0.1853587031364441,-1.7307002544403076,-2.5895941257476807,0.81257164478302,1.6139768362045288,1.1973732709884644,-0.9805135726928711,-1.8811132907867432
Zn,2.2390711307525635,0.1362382173538208,-1.8492534160614014,0.7477396726608276,-2.628041982650757,1.0814968347549438,-0.6734189391136169,2.420767068862915,0.10491693019866943,-0.5395404100418091,-1.1390842199325562,-0.32040247321128845,1.2594164609909058,0.22372782230377197,-0.7278603315353394,-0.698857307434082
Ga,0.5637357234954834,-0.9195350408554077,0.10153497010469437,-1.3065322637557983,-1.6429270505905151,0.2750880718231201,0.908119797706604,1.3898967504501343,0.930616021156311,-1.1599364280700684,0.4785384237766266,0.5377724766731262,0.9204881191253662,0.5051147937774658,1.518877625465393,-0.4805738031864166
Ge,-0.648999810218811,-0.7832701206207275,-0.6762511730194092,-0.6727678179740906,-1.0484527349472046,0.228692889213562,-0.32580459117889404,1.8070268630981445,-1.120043396949768,-1.9927053451538086,2.1808996200561523,1.001854419708252,0.448781818151474,0.30405694246292114,0.5191704034805298,-2.271575927734375
As,1.4153672456741333,-0.5897241830825806,0.8592903017997742,0.6562561988830566,-0.7497695684432983,-0.41207990050315857,0.17357242107391357,2.2877864837646484,-1.7349117994308472,-1.7987747192382812,2.183885097503662,2.3730149269104004,0.44231298565864563,-0.37402939796447754,-0.11127516627311707,-0.054397523403167725
Se,-0.7030531167984009,0.6849281787872314,2.6970748901367188,0.9848313331604004,-0.23643732070922852,0.4035907983779907,-0.5887032747268677,-0.09286555647850037,-1.1321507692337036,-0.9378662705421448,2.8906338214874268,0.8155407309532166,1.4422311782836914,-2.1060502529144287,0.2968076765537262,-1.45902419090271
Br,-1.2138278484344482,3.2954587936401367,1.9249764680862427,-0.0011398792266845703,1.2020498514175415,-0.19807392358779907,1.3083546161651611,-1.2152886390686035,0.7627081274986267,-0.3612653613090515,-0.8679707646369934,0.4694710969924927,0.2467125654220581,1.0940797328948975,0.3991924226284027,0.8499952554702759
Rb,-0.7420969605445862,0.23820647597312927,-2.773928642272949,-2.3469290733337402,-0.7652856707572937,2.271697998046875,-2.7981250286102295,2.709977626800537,0.4181607663631439,2.232905626296997,-5.196770668029785,1.7737812995910645,-0.9678878784179688,-0.13762983679771423,0.16354775428771973,-3.952566146850586
Sr,-0.8049612641334534,-1.930018663406372,-0.44679489731788635,-2.423633575439453,-2.0052249431610107,-0.8748570680618286,-2.8650622367858887,-1.7591338157653809,-1.6604019403457642,3.3923044204711914,-4.136573314666748,0.5304857492446899,-1.0008349418640137,3.1734778881073,1.0822793245315552,-1.74300217628479
Y,0.9571413993835449,-2.6515934467315674,4.414283752441406,-3.0080323219299316,-4.575793743133545,-2.015042304992676,-2.5147545337677,-1.290189266204834,-2.0520946979522705,2.3989920616149902,-1.4589520692825317,-1.9780268669128418,0.2749030292034149,1.3268014192581177,2.0056464672088623,-0.7427080869674683
Zr,2.0404934883117676,-4.271401405334473,3.7280969619750977,-3.82894229888916,-3.0218000411987305,-0.7419281005859375,-0.15957331657409668,1.1489160060882568,0.09237243235111237,-0.21719321608543396,-2.7335052490234375,-2.9217400550842285,0.8560863137245178,1.7525129318237305,-0.048869699239730835,0.20862264931201935
Nb,3.9716057777404785,-1.6077135801315308,0.6760401725769043,-3.302037477493286,-1.7965861558914185,0.2512369155883789,0.045446574687957764,1.3462550640106201,0.1904938519001007,-1.7001323699951172,0.6594066023826599,-2.699617624282837,0.28333377838134766,2.8711671829223633,-1.0579997301101685,-1.9930871725082397
Mo,4.261197566986084,-0.59880530834198,-0.1065259724855423,-0.4953584671020508,-1.938785433769226,-0.06285277009010315,2.867858409881592,1.3146138191223145,-0.33076220750808716,-2.8432493209838867,0.516735315322876,-2.1827573776245117,-0.8559672832489014,0.15708327293395996,0.461372971534729,-2.746757984161377
Tc,3.835710048675537,-0.49191606044769287,-0.3561648726463318,-1.179567813873291,0.5134592652320862,0.9461897611618042,2.3384618759155273,1.6187231540679932,-2.1440532207489014,-1.569325566291809,2.21506667137146,-1.4597861766815186,-1.7591973543167114,0.8361896276473999,-2.586047410964966,-2.3689348697662354
Ru,2.8244051933288574,0.734682559967041,-1.0998835563659668,-0.5594817996025085,1.979773759841919,1.9069654941558838,3.412968158721924,1.7557727098464966,-0.7174304127693176,-0.9210937023162842,0.850942850112915,-0.7783256769180298,-2.941628932952881,-0.2940407991409302,-0.7222651243209839,0.6122817993164062
Rh,0.6134380102157593,1.1781299114227295,1.498900294303894,-0.8187886476516724,2.607025146484375,1.1307438611984253,0.9741487503051758,0.5272213816642761,-0.6627888679504395,-2.8260903358459473,0.5707780122756958,-1.3652995824813843,0.36048343777656555,-1.9068701267242432,-1.9469445943832397,-0.8999075293540955
Pd,1.5905669927597046,1.0980221033096313,1.3059923648834229,0.5329568386077881,1.7637068033218384,-0.9868306517601013,-0.20731651782989502,1.5119166374206543,0.8891538977622986,-3.1891865730285645,-0.4289688766002655,-0.4949699640274048,1.9263447523117065,-2.3495187759399414,-1.7944878339767456,-0.6328039765357971
Ag,1.1755692958831787,1.6622390747070312,-0.8210946321487427,1.3403379917144775,1.5465660095214844,0.43015995621681213,2.1307947635650635,1.7861895561218262,2.4827113151550293,-0.3349825143814087,-2.0042924880981445,0.8078870177268982,-0.18921175599098206,-1.2826257944107056,-0.6852813959121704,-1.8778696060180664
Cd,0.06145155429840088,0.5767274498939514,-2.2586963176727295,-1.1990537643432617,-0.12829738855361938,-1.7776603698730469,0.2871255576610565,3.1734540462493896,0.2371433824300766,-0.741716742515564,-1.7413662672042847,-0.538847804069519,-0.24235668778419495,0.9531970620155334,1.4318175315856934,-0.19999778270721436
In,1.0354584455490112,-0.10474371910095215,-0.713883101940155,-0.639738917350769,-0.360407292842865,-1.665745735168457,-0.3490622639656067,1.1595443487167358,0.6703129410743713,0.2358032464981079,0.28943634033203125,-0.2721143960952759,-1.4157369136810303,2.3586792945861816,1.7127960920333862,-0.9957793354988098
Sn,2.169613838195801,-0.7568726539611816,0.8336108326911926,-0.8222439885139465,-0.9163961410522461,0.8830640316009521,-0.5158578157424927,1.1599595546722412,0.5208441615104675,0.6264946460723877,1.3943803310394287,0.41696855425834656,-2.0772480964660645,1.644115924835205,-0.17140206694602966,-0.45211249589920044
Sb,0.24192991852760315,-0.6186778545379639,1.2353010177612305,-0.18404711782932281,-0.11464470624923706,0.872771680355072,1.7127282619476318,0.45644932985305786,-0.7354366779327393,-0.40760549902915955,2.2434566020965576,0.9507665634155273,-1.6182864904403687,0.7259631156921387,2.013761520385742,-1.3476029634475708
Te,0.597256064414978,-0.11592096090316772,-0.837116003036499,1.3605875968933105,-0.1332133412361145,-0.05703619867563248,1.2144527435302734,0.18203303217887878,-0.8713903427124023,1.2764872312545776,3.1951606273651123,-0.6392371654510498,1.8465392589569092,0.2427276372909546,-0.6496933102607727,-2.3909764289855957
I,0.911645770072937,1.5749938488006592,0.5073372721672058,1.7674694061279297,-0.03010806441307068,-2.456623077392578,1.5358963012695312,-1.3102123737335205,-0.5168769359588623,-0.058743178844451904,0.054466962814331055,-0.08947455137968063,1.3321914672851562,2.1008481979370117,-1.7696013450622559,0.5148829221725464
Cs,-0.8780543804168701,0.6460846066474915,-2.7532765865325928,-0.41697776317596436,-0.44409114122390747,3.03847074508667,-3.006598949432373,0.15314459800720215,0.11621406674385071,1.2987380027770996,-6.518586158752441,1.974345326423645,-1.6150712966918945,-1.158911108970642,1.5647584199905396,-4.8641510009765625
Ba,-0.025407135486602783,-2.6402053833007812,-1.3020957708358765,-2.472120761871338,-2.662219524383545,0.16689333319664001,-1.2656829357147217,-2.0514276027679443,-1.7095346450805664,3.4260568618774414,-5.277175426483154,1.048703908920288,-2.313807964324951,1.7651907205581665,3.334308624267578,-1.379082441329956
La,-1.9516575336456299,-1.1526092290878296,3.0960216522216797,-3.4577438831329346,-4.685166835784912,-2.7670862674713135,0.410101056098938,-2.788259744644165,-3.616123676300049,2.206611394882202,-2.9594411849975586,-2.509765148162842,-1.2557344436645508,3.0172946453094482,1.8904106616973877,-1.39728581905365
Ce,2.656812906265259,-1.6039544343948364,2.6206750869750977,-5.01934289932251,-4.6636199951171875,-4.160561561584473,1.2098078727722168,-2.6367945671081543,-1.2034947872161865,0.5532099008560181,-3.809691905975342,-2.0071685314178467,-0.08498799800872803,-0.2642092704772949,2.674489974975586,-0.7127374410629272
Pr,-0.8868377804756165,-2.1455888748168945,2.4049434661865234,-3.5743072032928467,-4.331006050109863,-1.770029902458191,-1.2271009683609009,-1.046017050743103,-2.9464969635009766,0.6220675110816956,-2.93278169631958,-2.506812572479248,-1.1269737482070923,1.6965327262878418,4.0291218757629395,-2.396573781967163
Nd,0.10450166463851929,-1.24210786819458,2.173027515411377,-4.561716556549072,-4.2504072189331055,-0.736903190612793,-0.5783661007881165,-2.2876996994018555,-1.7151634693145752,2.1402525901794434,-1.7552473545074463,-2.787548303604126,-0.7568338513374329,2.090479850769043,2.7482364177703857,-2.157437801361084
Pm,0.8810582160949707,-3.051748275756836,3.069153070449829,-3.7106454372406006,-4.180258750915527,-1.0529327392578125,-0.6634388566017151,-1.874564290046692,0.261476993560791,0.8316274285316467,-3.069854736328125,-0.9979158639907837,-0.8310244083404541,2.3476037979125977,3.243865966796875,-1.360039234161377
Sm,0.7795369625091553,-2.8247172832489014,2.6316113471984863,-2.8341591358184814,-4.990871906280518,-1.9964815378189087,0.15919440984725952,-1.9062271118164062,-0.02291250228881836,1.2037179470062256,-2.2506635189056396,-1.3437261581420898,-0.28404033184051514,2.2913312911987305,3.6537861824035645,-1.2602696418762207
Eu,-0.4862960875034332,0.16295182704925537,3.9175024032592773,-1.0820796489715576,-4.24863338470459,-2.3949193954467773,0.1638781726360321,-0.508520245552063,-1.578494668006897,3.2154197692871094,-2.8404598236083984,0.7558469772338867,-2.619899272918701,3.3260414600372314,2.990933895111084,-2.508627414703369
Gd,1.2775022983551025,-2.3323974609375,3.4344208240509033,-3.0546367168426514,-4.7025041580200195,-0.23367619514465332,-0.6176556348800659,-1.7764092683792114,-1.850911259651184,2.119166374206543,-2.0567173957824707,-1.7213997840881348,-1.5095564126968384,2.2498068809509277,1.5972957611083984,-0.14787495136260986
Tb,1.069505214691162,-3.1114578247070312,3.4875876903533936,-3.019791841506958,-3.9513893127441406,-0.5449662208557129,0.08896717429161072,-2.644989013671875,-0.4426059126853943,1.6899616718292236,-2.1116178035736084,-1.6721423864364624,-0.7952930927276611,2.604797601699829,2.39339542388916,0.26106923818588257
Dy,0.7758724093437195,-2.4310290813446045,2.718630790710449,-4.185816287994385,-3.7230827808380127,-2.7615933418273926,-1.084019422531128,-1.875537395477295,-1.0236024856567383,2.0181727409362793,-2.05299973487854,-1.2399578094482422,0.8436654806137085,3.0295183658599854,1.3151981830596924,-0.3096909821033478
Ho,2.0068697929382324,-1.86750066280365,2.4444968700408936,-3.730274200439453,-2.588132381439209,-2.151782989501953,-0.7136369347572327,-2.681562900543213,-2.3749125003814697,1.9038631916046143,-1.4680747985839844,-1.9621423482894897,0.41195571422576904,4.069028854370117,3.681140184402466,0.4131699800491333
Er,0.43615397810935974,-2.5215117931365967,3.3311996459960938,-1.7589867115020752,-5.3049798011779785,-3.5934925079345703,0.13148048520088196,-2.210693359375,0.20402741432189941,0.4828563928604126,-2.3617429733276367,-0.9555644392967224,0.07342278957366943,3.6083831787109375,2.400967597961426,0.4393887519836426
Tm,0.34633368253707886,-3.9940989017486572,3.3618929386138916,-2.523045063018799,-4.2937541007995605,-3.641674518585205,-0.04721356928348541,-2.4886791706085205,0.296838641166687,0.6347014904022217,-2.1979289054870605,0.1028602123260498,0.8085305690765381,2.1393849849700928,2.532670497894287,0.2638392448425293
Yb,-0.04763147234916687,-1.5630619525909424,3.0111963748931885,-2.7036068439483643,-1.651819109916687,0.38137173652648926,-1.19447922706604,-3.6133005619049072,-1.4984562397003174,3.4195446968078613,-3.025357484817505,-0.012266874313354492,-0.9985195398330688,3.4847817420959473,-0.7509987354278564,-0.8486441969871521
Lu,0.5000532865524292,-3.4410572052001953,1.736584186553955,-2.919926643371582,-3.4444127082824707,-3.023573398590088,-0.21437740325927734,-1.7740297317504883,-1.749049186706543,1.5146021842956543,-2.2518932819366455,-1.6267932653427124,0.5778422951698303,3.919779062271118,1.0444000959396362,1.0281157493591309
Hf,3.3961434364318848,-3.0965986251831055,1.7414603233337402,-4.611321449279785,-3.4003348350524902,-1.346101999282837,-2.189812660217285,-2.2974610328674316,-1.8882113695144653,-0.5957332253456116,-0.48030340671539307,-3.2776200771331787,-0.3862234950065613,2.1353650093078613,-0.12275370955467224,0.5286293625831604
Ta,1.8195616006851196,-1.28948175907135,1.4335991144180298,-5.311023712158203,-1.7567896842956543,-1.7491326332092285,0.7369533777236938,-0.7135598659515381,0.021079182624816895,-3.863109588623047,1.5004541873931885,-1.9921743869781494,0.4122278690338135,2.005286931991577,0.010701179504394531,-1.5803488492965698
W,3.2753231525421143,0.05610068142414093,-0.5522042512893677,-1.9962623119354248,0.18575870990753174,-1.256003737449646,-0.11902499198913574,2.640146493911743,-2.162254810333252,-4.064927577972412,1.0334597826004028,-0.8544196486473083,-3.122807025909424,2.1263110637664795,0.050484687089920044,-2.358440399169922
Re,1.289304256439209,-0.6530197262763977,0.9240512847900391,-0.8161935806274414,-0.6480441093444824,-1.5453884601593018,1.6492607593536377,-0.33355021476745605,-1.5905189514160156,-4.456813812255859,1.6975008249282837,-0.06709718704223633,-4.748006820678711,1.3383800983428955,-1.3896455764770508,-1.5183053016662598
Os,2.0106136798858643,1.1470047235488892,-0.21204602718353271,-0.4098677635192871,-0.17282792925834656,2.1051723957061768,3.1196799278259277,1.4684085845947266,-0.4782399833202362,-4.783817291259766,1.9046876430511475,1.0947705507278442,-1.9656903743743896,1.5158576965332031,-2.3115057945251465,-1.8482187986373901
Ir,1.212819218635559,3.1764960289001465,-0.7037080526351929,2.036299228668213,0.48149436712265015,3.529897689819336,1.4576303958892822,1.2004860639572144,-2.412865161895752,-2.7920899391174316,0.3150544762611389,-2.0347084999084473,-0.22517788410186768,-0.35498327016830444,-0.526038646697998,-0.22230243682861328
