Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-3.0633440017700195,1.3087832927703857,1.3630599975585938,-3.268446922302246,2.035400390625,0.6341168880462646,-2.3349802494049072,2.1511802673339844,1.1109508275985718,-1.94032883644104,1.6486256122589111,1.6803767681121826,-0.40012210607528687,-1.1743731498718262,2.358248233795166,3.896329402923584
Li,-2.9833788871765137,0.31358224153518677,1.5236707925796509,0.3188251852989197,-1.4034688472747803,2.1695404052734375,-1.6643502712249756,2.529559373855591,0.576353132724762,-0.7308413982391357,0.08459991216659546,-0.6328469514846802,0.9240730404853821,-0.534288763999939,-1.5032222270965576,1.155950665473938
Be,-2.372544765472412,1.5918129682540894,1.510735273361206,-1.1819826364517212,-0.7596848607063293,2.7234034538269043,-1.4332036972045898,2.7084364891052246,0.897199809551239,-4.5855207443237305,1.9005746841430664,-0.2365262508392334,1.8264962434768677,2.323949098587036,3.33246111869812,2.019817590713501
B,-2.31424617767334,1.4148188829421997,0.3152354955673218,-1.564223289489746,-0.5596442818641663,-1.0422918796539307,-1.4162228107452393,0.8973804712295532,-1.259682297706604,-0.9143131971359253,-1.7626142501831055,0.6691126823425293,2.540053367614746,1.9560521841049194,-1.5572195053100586,1.9048092365264893
C,0.6776153445243835,1.5372562408447266,1.806252360343933,0.2793135941028595,0.5908278226852417,-0.3693600296974182,-0.7098819017410278,-1.1878407001495361,1.8687903881072998,-2.8014636039733887,0.6866445541381836,-0.6963991522789001,-1.2272038459777832,1.8403308391571045,-0.030440032482147217,1.4137754440307617
N,-1.8404796123504639,0.6764594316482544,2.8264849185943604,2.6493005752563477,0.9316391944885254,-3.33689546585083,0.9524568319320679,3.755434989929199,1.003131628036499,1.7893791198730469,-0.22483810782432556,-2.4554083347320557,0.8578741550445557,-0.9089767932891846,-0.9174856543540955,0.18278121948242188
O,-3.7848405838012695,2.101130962371826,0.03540500998497009,0.42008912563323975,0.2766130268573761,-1.4153339862823486,-1.7270958423614502,-1.1538515090942383,2.1361207962036133,0.48497188091278076,0.7685331702232361,-1.3010659217834473,0.8053353428840637,-2.6411867141723633,0.6231929659843445,1.2014645338058472
F,-1.3534135818481445,-0.14803588390350342,0.3163195252418518,-2.629549503326416,2.888427734375,-2.1045303344726562,-2.4529476165771484,1.4185367822647095,2.7958035469055176,0.1897934079170227,0.5635220408439636,-3.7229163646698,0.0780855119228363,-3.30647611618042,0.6779066920280457,3.778430700302124
Na,-1.1634669303894043,0.7853389978408813,2.0423789024353027,-0.2463291883468628,0.03680601716041565,2.954193592071533,-1.8536272048950195,2.5153675079345703,2.2753024101257324,0.35106632113456726,0.5788624882698059,0.9979281425476074,-0.47503915429115295,-1.9701135158538818,-0.4134681522846222,-0.3655564785003662
Mg,-0.5973442196846008,0.006049156188964844,-1.3261686563491821,-2.480415105819702,-0.00209966953843832,1.8871748447418213,-1.6145451068878174,2.1302924156188965,0.5484702587127686,-0.853979229927063,2.3463096618652344,2.5380048751831055,-1.0385303497314453,-0.9875516891479492,1.208869457244873,-1.002035140991211
