Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,3.175050973892212,0.8036561608314514,0.9984713792800903,-0.10883772373199463,-3.8788208961486816,-1.3476510047912598,3.054194927215576,2.7030117511749268,-3.3139419555664062,-1.863336205482483,-0.25365594029426575,-1.9253219366073608,2.177774429321289,-1.2990303039550781,0.45066389441490173,2.2442727088928223,4.624285697937012,0.5555036067962646,-0.6904024481773376,-3.947110652923584,1.7620630264282227,4.55238676071167,-0.996690571308136,2.5367484092712402,-0.2638915777206421,2.7869858741760254,-1.34084951877594,-0.5074248313903809,-1.5967648029327393,-0.3265661597251892,-3.8211960792541504,0.7887300252914429
Li,2.719585418701172,-1.8208072185516357,-0.28739020228385925,0.13236230611801147,-2.4160847663879395,-0.3260059356689453,2.5750985145568848,1.4464972019195557,-2.591391086578369,0.7014343738555908,-0.9570727348327637,-2.7834532260894775,-1.8219425678253174,-0.5735737085342407,0.6836473941802979,0.07790875434875488,-0.7411165833473206,-0.5588371753692627,0.2287018895149231,-1.7544054985046387,-0.2698519825935364,0.7226312160491943,-2.040316343307495,0.08176910877227783,-1.1999545097351074,1.046588659286499,0.31452831625938416,-0.6320011019706726,0.24279318749904633,-1.6621880531311035,-0.2179330289363861,3.400419235229492
Be,1.086962103843689,-3.015373706817627,-0.4945884346961975,-1.1595473289489746,-0.3145628571510315,1.318490743637085,3.0860490798950195,4.1110639572143555,-4.250514984130859,-1.2591983079910278,0.0012999773025512695,1.8093055486679077,0.3083804249763489,0.6070151329040527,1.7361655235290527,-0.2612319588661194,-0.3377249836921692,-1.4205108880996704,0.21348567306995392,-0.8245075941085815,0.16147398948669434,1.4576776027679443,-1.29530930519104,2.286949634552002,0.2020723819732666,4.622856140136719,-1.251263976097107,-1.912039041519165,-1.0439401865005493,-2.8737292289733887,-1.521333932876587,0.7476242780685425
B,1.3714938163757324,-1.6713114976882935,0.719296395778656,-0.4846119284629822,0.3875163793563843,-2.7116611003875732,-0.208268404006958,0.5914273262023926,-3.291073799133301,-1.2590917348861694,-0.2037045955657959,1.5233914852142334,1.7891020774841309,2.8073811531066895,0.01997470110654831,1.6690380573272705,0.6260281801223755,-0.9558306932449341,3.454662322998047,0.34118640422821045,0.35536468029022217,0.06882721185684204,-1.3231244087219238,-0.47879233956336975,-1.7142268419265747,1.4286354780197144,0.3180754482746124,-0.9148758053779602,-0.2804788053035736,-1.96022629737854,0.30788102746009827,-0.1742575615644455
C,1.6338543891906738,-0.9959917068481445,0.39784008264541626,-0.29179221391677856,-0.4074673652648926,-1.1002849340438843,2.3712849617004395,1.8522106409072876,0.08262431621551514,1.090529441833496,-1.8179633617401123,-0.4755132794380188,-0.02305305004119873,0.9574467539787292,0.43390631675720215,0.26385635137557983,2.048198699951172,-1.716860294342041,-0.01068347692489624,-0.6414960622787476,-1.461681842803955,0.3018837869167328,-3.335430145263672,0.813686728477478,-2.5582761764526367,2.0449891090393066,0.6612129211425781,-2.945848226547241,0.5955475568771362,2.1889584064483643,-1.0647765398025513,-2.0019407272338867
N,-0.5726727247238159,0.4452803134918213,-3.4961862564086914,-2.4127211570739746,-1.0534422397613525,-0.8041483163833618,-1.9937160015106201,1.7842042446136475,-0.16108942031860352,0.5082209706306458,-0.3201298415660858,-0.5310732126235962,-1.7565637826919556,1.6530479192733765,-1.4700868129730225,0.182623952627182,1.9904509782791138,-0.3618881404399872,-0.9948372840881348,-0.6744587421417236,0.4969645142555237,-0.0967036783695221,-0.6666215658187866,-0.7804402112960815,-1.7347781658172607,-1.667204737663269,-1.777387261390686,1.6655824184417725,-2.5875232219696045,1.6834381818771362,0.406589150428772,-0.6688224077224731
O,0.06967949867248535,1.466849684715271,-0.35784488916397095,-0.8561014533042908,-3.0698909759521484,-0.8906669616699219,0.9093198776245117,0.5385161638259888,-1.0883965492248535,-0.34793537855148315,1.1110416650772095,-3.255624294281006,2.4599087238311768,0.37655431032180786,-0.47415047883987427,0.27907347679138184,1.4227442741394043,1.002244472503662,-0.26093703508377075,-1.0284900665283203,1.1665050983428955,0.23449544608592987,-1.7910295724868774,-0.8730950355529785,-0.035724759101867676,-0.01459890604019165,-0.3615538477897644,2.4483020305633545,-1.8542187213897705,0.1831996589899063,-0.44826430082321167,-0.3170250654220581
F,1.772930383682251,0.977800190448761,-0.1586824655532837,-0.45673203468322754,-1.2756948471069336,-3.087273120880127,-1.3240790367126465,1.9169096946716309,-0.356292724609375,-2.133427619934082,-3.4324917793273926,-3.317497968673706,0.7699674367904663,0.7422950863838196,-0.47105953097343445,2.9865691661834717,1.2973508834838867,3.183464765548706,2.2275400161743164,-0.4229193329811096,1.4178104400634766,3.3178555965423584,-2.170206069946289,1.1759921312332153,-2.7822299003601074,-0.23620831966400146,-1.558581829071045,1.6706137657165527,-2.7838134765625,-1.1444624662399292,-1.1729838848114014,-0.09939911961555481
Na,2.0978264808654785,-0.04715085029602051,-0.5269420146942139,0.5809839963912964,-0.8820506930351257,0.03895598649978638,-0.30776309967041016,1.6823832988739014,-3.693709373474121,-0.14697259664535522,2.887716293334961,-1.4666465520858765,-3.1487791538238525,-1.3761985301971436,0.4738999605178833,0.9488489031791687,0.6696740388870239,2.7352092266082764,0.8432793021202087,-2.225861072540283,-0.3093986511230469,2.3342247009277344,-0.977266788482666,3.3742785453796387,-1.0087933540344238,0.783319354057312,0.5705349445343018,-4.128720283508301,1.0955960750579834,-0.187239408493042,-0.786213219165802,2.1310958862304688
Mg,-0.5519287586212158,-2.507063388824463,-1.6722463369369507,-0.6972250938415527,-0.4167553782463074,0.17932796478271484,-0.21978476643562317,3.4031786918640137,-0.495746374130249,1.1859065294265747,2.0081911087036133,-0.8901864290237427,-0.04461324214935303,-0.6782249212265015,-0.5635042190551758,-1.4958336353302002,-0.7297607064247131,-1.5663940906524658,0.368042528629303,-0.23966537415981293,0.9484453797340393,2.39447283744812,-0.0724722146987915,0.8865563273429871,-2.17474627494812,0.5867553949356079,-0.35617902874946594,-1.4551060199737549,-0.6024216413497925,-0.19860047101974487,-0.1913365125656128,-0.7525059580802917
Al,2.802765130996704,-0.8007099628448486,-2.044262647628784,-0.4240397810935974,0.031093759462237358,0.24329572916030884,1.9970178604125977,0.5409005880355835,-1.1578702926635742,1.1859108209609985,2.8806753158569336,0.6288923621177673,0.5399893522262573,0.4067082107067108,1.8233999013900757,-0.525164008140564,-0.45258575677871704,1.6089887619018555,2.375063419342041,-2.743056297302246,1.6646208763122559,-1.6077286005020142,-0.5656200647354126,-0.5608298778533936,-1.3745683431625366,-1.1145955324172974,-0.10344493389129639,-1.2182631492614746,-0.09697672724723816,-2.211787700653076,0.8093925714492798,-1.2997856140136719
Si,0.295174241065979,-1.767446517944336,-0.5292606353759766,-0.8393567800521851,1.6694560050964355,-2.0403213500976562,2.0498571395874023,-1.0533400774002075,-0.5980523824691772,-0.6228960752487183,0.645214855670929,-0.8441565036773682,0.16673250496387482,1.7430779933929443,-0.2621133029460907,-1.1073954105377197,0.24784547090530396,-1.17930269241333,1.0457801818847656,-1.2145159244537354,-0.6871434450149536,-1.384376049041748,-1.166765809059143,0.9426337480545044,1.167832374572754,0.25424879789352417,-0.10592421144247055,-1.6664806604385376,-0.7792913317680359,0.35268017649650574,-1.1731253862380981,0.2952830195426941
P,-2.444032669067383,-1.3826935291290283,1.219918966293335,-0.8221205472946167,0.7527616024017334,0.13045281171798706,0.7179500460624695,-2.101269006729126,-1.215020775794983,-0.5984351634979248,-1.936545968055725,-2.4513494968414307,-0.2544616758823395,0.8049197196960449,0.300601065158844,-1.8256505727767944,-0.8034369945526123,0.508210301399231,1.0938963890075684,-0.5660240650177002,1.8705557584762573,2.0286221504211426,-0.5683956742286682,-0.26279327273368835,-1.8532240390777588,0.4400571882724762,0.3481920659542084,-3.1190197467803955,-2.1095876693725586,1.322793960571289,-0.519225537776947,-0.6776328086853027
S,-0.9019726514816284,1.2083461284637451,0.7957924604415894,-2.092050552368164,0.3083682656288147,-2.963042974472046,0.6407331228256226,-1.2681208848953247,0.38212719559669495,-0.21034786105155945,-1.3326292037963867,-2.3083243370056152,-0.14396360516548157,0.5680421590805054,-1.6956645250320435,0.951095700263977,0.11492609232664108,-0.7272510528564453,1.7045958042144775,-1.331728458404541,-0.3162047863006592,-1.770526647567749,-0.9827560782432556,-0.42351484298706055,-0.02677285671234131,0.1518775224685669,-1.396273136138916,-2.2463860511779785,-1.3677173852920532,2.360813617706299,-2.901153564453125,-0.7329901456832886
Cl,-1.6349543333053589,-1.0619328022003174,0.18285095691680908,-2.353912830352783,-1.1106864213943481,-2.6402432918548584,1.2662171125411987,0.31213414669036865,-1.3134651184082031,-0.6338545680046082,-2.9946227073669434,-3.2030177116394043,0.5612635016441345,1.8416213989257812,-0.2267439365386963,0.5543672442436218,0.9133429527282715,0.5456609725952148,-1.268561601638794,1.2543214559555054,-0.6965689659118652,0.9839984178543091,-2.205387592315674,0.6468303203582764,-3.914415121078491,1.4372339248657227,-0.786314070224762,-0.6832417845726013,-5.147675514221191,1.481526255607605,-0.3026663064956665,-0.20956456661224365
K,1.0350966453552246,2.247973918914795,-1.8389322757720947,-1.2766928672790527,-0.7630258202552795,1.5746370553970337,1.2568650245666504,2.8873190879821777,-0.8050194382667542,2.1593828201293945,-0.29238587617874146,-2.1391866207122803,-2.9896240234375,0.4822884202003479,2.2936155796051025,-1.6074261665344238,-1.0614657402038574,3.8141090869903564,0.19692230224609375,-1.9136946201324463,-0.6677709221839905,1.0419869422912598,-2.2594470977783203,0.7696611285209656,-1.3991612195968628,2.2426881790161133,0.8166171312332153,-3.718224048614502,0.11872243881225586,0.94926518201828,0.872505784034729,2.1108856201171875
Ca,-0.2692568600177765,-1.3344404697418213,0.7699492573738098,-1.9877145290374756,-0.8448402881622314,0.5680761337280273,-0.10389846563339233,0.597676157951355,-3.1433563232421875,0.747362494468689,-0.09366577863693237,0.30303657054901123,-1.669569492340088,-0.7442020773887634,0.00795590877532959,-1.7866119146347046,-0.17536774277687073,-0.05904248356819153,-1.3972406387329102,1.1284079551696777,0.45970726013183594,1.4280152320861816,0.6930971145629883,1.72835373878479,-0.4312936067581177,0.9525781869888306,-1.0303584337234497,-4.031434059143066,0.11449652910232544,-0.5361379981040955,-0.055197834968566895,0.8896977305412292
