Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.8955807089805603,-1.2845791578292847,-0.47611406445503235,-1.6352438926696777,-0.6467583179473877,2.703434467315674,-0.32415688037872314,0.19305121898651123,-4.071749210357666,3.1356449127197266,-0.30255797505378723,0.5884425640106201,0.13381046056747437,-1.6715703010559082,-0.4908481240272522,0.25439202785491943,-1.5801550149917603,-0.34730902314186096,2.4844470024108887,1.5890141725540161,-0.8667657375335693,1.8793765306472778,0.9101848006248474,0.8392829895019531,0.9348252415657043,0.5242758989334106,-0.14216414093971252,0.9236792325973511,-1.045569658279419,1.4286099672317505,-0.7239794135093689,2.062798261642456,-2.1473047733306885,-1.3727706670761108,2.4835808277130127,-1.1384832859039307,-0.23220974206924438,-0.5119583606719971,0.32298246026039124,-0.6672391891479492,-0.29223155975341797,-0.44749653339385986,-1.4484671354293823,0.4910920262336731,-0.8005769848823547,1.5881295204162598,0.5434750318527222,-0.15125378966331482,1.4009969234466553,-0.8455202579498291,-2.9209628105163574,0.49931544065475464,1.0527799129486084,1.037652611732483,0.36866748332977295,-0.7515814304351807,-0.33240699768066406,-0.8458327054977417,0.07056504487991333,1.6679720878601074,-0.17541754245758057,-1.5571634769439697,-1.68257474899292,-0.14209556579589844
Li,-0.8716800212860107,0.6356826424598694,0.07694479823112488,-1.616051435470581,1.4202687740325928,1.7604528665542603,0.9306703805923462,0.03072822093963623,0.7841693758964539,1.698189616203308,1.8728822469711304,-0.23578155040740967,1.0175700187683105,-0.932142436504364,-0.7803349494934082,-0.6854601502418518,-0.22005265951156616,0.7656768560409546,1.0686395168304443,0.7437371015548706,0.08286263048648834,0.9046492576599121,0.20952075719833374,0.7823424339294434,2.002805471420288,-2.362168312072754,-0.13392925262451172,2.4912824630737305,-0.29956477880477905,2.6638875007629395,-0.7838082909584045,0.7537157535552979,-2.382533073425293,-1.508231520652771,1.165966510772705,1.8909075260162354,-0.3366941809654236,-2.1156437397003174,-0.6470315456390381,1.5478405952453613,-0.5927543640136719,-2.095323324203491,-0.7534717321395874,0.7905176281929016,-1.3318153619766235,-1.059480905532837,-1.1718287467956543,3.259920358657837,-2.3614015579223633,-0.26221963763237,-2.296902894973755,-0.15286970138549805,0.24182356894016266,-1.4058475494384766,-0.7631149888038635,1.7222635746002197,2.9200289249420166,0.9847747087478638,1.559038758277893,-0.1806005835533142,2.2803213596343994,-0.19018977880477905,1.006033182144165,-1.3024179935455322
Be,-1.862192153930664,-0.37055397033691406,2.917238473892212,0.43197065591812134,-1.0849809646606445,-1.19027578830719,0.13499419391155243,3.5886895656585693,-1.1733219623565674,0.6254181861877441,1.6069087982177734,-1.8387961387634277,-0.6711748838424683,-1.1602057218551636,0.1493300199508667,0.9606785774230957,-0.3566538095474243,2.145660400390625,0.08769150823354721,1.776424765586853,0.6749303936958313,0.2090470790863037,-4.118256092071533,-1.188084602355957,1.7004776000976562,-1.0794774293899536,-2.2132585048675537,1.9992053508758545,-1.2552664279937744,0.5598934888839722,-0.3224707841873169,2.7755980491638184,-0.3134840428829193,-1.3629379272460938,-1.6249513626098633,0.1206812858581543,-0.011083364486694336,-2.340301275253296,-1.9593935012817383,1.0128958225250244,-1.3245385885238647,-1.00946044921875,-0.6702158451080322,1.5317856073379517,-1.144610047340393,-1.402457594871521,-0.3289607763290405,0.8676024079322815,-2.4344003200531006,0.6328917145729065,-0.049714095890522,1.4827814102172852,0.8929136991500854,-0.3668290078639984,-1.1366534233093262,2.492783784866333,-0.24699026346206665,0.795639157295227,0.613538384437561,0.2819614112377167,1.9700829982757568,1.1618475914001465,-2.1204543113708496,2.141674757003784
B,-1.4831323623657227,-1.2235767841339111,1.465254306793213,0.8899115324020386,-1.1735526323318481,-1.9546318054199219,0.6454308032989502,0.7229517698287964,0.634710431098938,0.3419310748577118,0.5876620411872864,-0.5488426089286804,-2.103090286254883,-1.2481234073638916,-0.12207990884780884,1.6859359741210938,-0.4925774931907654,0.5228386521339417,-1.5180643796920776,0.7538868188858032,-0.1237991452217102,0.7656784057617188,-1.2809643745422363,-0.04492825269699097,-2.019960403442383,-0.4811566174030304,-0.5257520079612732,-0.7967499494552612,-0.409639447927475,0.14197660982608795,-1.3057949542999268,0.03554278612136841,-1.3412364721298218,-1.1856281757354736,-0.15163111686706543,-1.638334035873413,1.3679795265197754,-2.693559169769287,-2.3592095375061035,-1.2416495084762573,0.6414110064506531,-0.7413580417633057,0.7866296172142029,1.7166717052459717,-0.7751424312591553,-1.0033798217773438,1.1707959175109863,-0.18373245000839233,-1.5222728252410889,0.30038344860076904,0.7416786551475525,1.5908259153366089,-0.46763646602630615,0.5817646980285645,0.5684985518455505,0.7279922962188721,-0.9931825995445251,-1.1100789308547974,0.9498867988586426,0.6611128449440002,0.8331246972084045,-2.1008832454681396,-0.5364723205566406,-0.06199753284454346
C,-2.300245761871338,-1.5932835340499878,-1.5997889041900635,0.3091925382614136,-1.6809883117675781,-2.327681303024292,1.26177179813385,0.4173285961151123,0.8696726560592651,0.3977980315685272,-0.2289687693119049,-0.9624192714691162,-1.2863144874572754,-1.045313835144043,0.5418654680252075,0.15801924467086792,0.9077849984169006,-0.7561472058296204,-0.8138601779937744,0.6286221742630005,-0.05013805627822876,0.3875358998775482,0.4970678985118866,0.6311232447624207,-2.1606740951538086,1.1700712442398071,-0.8867648839950562,-0.5787866115570068,1.3451653718948364,0.16128408908843994,0.6665473580360413,0.9804660677909851,-1.160323977470398,-0.4815164804458618,-1.0100690126419067,0.3808772563934326,-0.9844344258308411,-0.2738344669342041,0.07075732946395874,0.37567877769470215,-0.7207208275794983,0.8398656845092773,-1.5183765888214111,0.38355201482772827,0.320578932762146,0.2748448848724365,0.6009823679924011,-0.2054266333580017,-0.4609714448451996,-0.010305643081665039,-0.280447393655777,-1.6279284954071045,-0.4710865020751953,0.8783441781997681,-0.44868505001068115,0.2662416100502014,-0.4237610697746277,-0.3595935106277466,0.6435898542404175,-0.6782886981964111,-0.6023889183998108,0.03551524877548218,0.42056405544281006,-0.5984899997711182
N,1.3724498748779297,1.810298204421997,-4.759682655334473,0.6072694063186646,1.70552396774292,1.3207858800888062,-2.253920316696167,-0.014792680740356445,0.75699782371521,-1.1649059057235718,0.7128289937973022,-2.088068723678589,2.498152732849121,0.6054090261459351,-0.6491708755493164,-0.9521771669387817,-0.2022526115179062,-3.2549610137939453,-3.3559703826904297,0.371604323387146,0.049934566020965576,-0.22436773777008057,0.14709505438804626,-0.06747324764728546,1.2812553644180298,-0.017653614282608032,1.987795114517212,-0.36838436126708984,0.2720913290977478,-0.6936960816383362,0.06908440589904785,-0.5983483195304871,2.1012842655181885,-0.08426356315612793,1.8229707479476929,0.22545436024665833,-0.8939232230186462,-1.2656186819076538,-0.9698590636253357,0.9249290823936462,0.9765539765357971,0.7333374619483948,0.9648785591125488,0.8414158821105957,-1.1351587772369385,-0.7414765954017639,1.5384464263916016,2.2988901138305664,-0.9661349058151245,1.6212068796157837,-0.27547407150268555,2.2445971965789795,-0.04624137282371521,-1.1206673383712769,0.4344630837440491,-2.0563457012176514,0.7988956570625305,0.507887601852417,0.19864699244499207,2.329103946685791,-1.9699763059616089,-0.04197084903717041,-0.3965613543987274,-0.9952698945999146
O,0.04189562797546387,1.3462238311767578,-2.3494386672973633,0.040437281131744385,0.009438112378120422,1.2302031517028809,0.17785871028900146,-0.5535661578178406,0.05665317922830582,-0.4509035050868988,0.6713227033615112,0.3693976402282715,1.0879735946655273,0.046291083097457886,0.11935383081436157,0.2159673571586609,-0.7111638188362122,-0.1459636092185974,-0.08320564031600952,-0.010912120342254639,-0.42083603143692017,-0.009735256433486938,0.30238568782806396,-0.38495227694511414,-0.11614000797271729,-1.1294527053833008,0.056056439876556396,-1.2503588199615479,0.25008147954940796,0.024713099002838135,0.07204027473926544,2.1535511016845703,0.028657585382461548,-0.47987526655197144,0.16294091939926147,0.15485870838165283,0.41159969568252563,-0.11208813637495041,0.04226851463317871,0.6319341063499451,0.18330878019332886,-0.48542606830596924,0.5242087244987488,-0.6028443574905396,-0.19488584995269775,-0.9251078367233276,-0.9865553379058838,-0.027062028646469116,-0.017378568649291992,1.5562514066696167,-2.0111606121063232,3.5849523544311523,-0.22340983152389526,-0.4408276081085205,-2.2088520526885986,0.08936196565628052,0.19023901224136353,-0.1057874858379364,-0.3875988721847534,1.545952558517456,0.04207569360733032,-1.5725922584533691,-1.049121379852295,-0.3888525664806366
F,1.567283272743225,-1.031430721282959,-0.7839246988296509,0.4477480947971344,-1.6129422187805176,-0.9961118698120117,0.328817218542099,1.2222049236297607,1.451607346534729,2.7196831703186035,0.6046060919761658,0.32135024666786194,1.6661794185638428,0.2618972361087799,0.22106531262397766,-0.13500140607357025,-2.0196759700775146,0.25260525941848755,-0.5604446530342102,-0.4238337278366089,0.11493110656738281,-0.25169193744659424,-0.11196494102478027,0.36158043146133423,0.32741791009902954,0.982394814491272,-0.40637052059173584,-1.6621897220611572,1.8035510778427124,-0.7048793435096741,0.20381060242652893,4.515120506286621,-0.013804912567138672,0.18676848709583282,0.7714250683784485,-0.6787874698638916,0.16493341326713562,1.7048838138580322,-0.28506147861480713,1.1948871612548828,-0.7174095511436462,0.12055817246437073,-0.8713282942771912,-0.45401185750961304,0.9318901300430298,1.0567681789398193,0.831917941570282,0.23322540521621704,0.5358518362045288,3.673527240753174,-2.720094680786133,-1.7542462348937988,-0.40540429949760437,-0.9648779630661011,-2.958773136138916,0.7285805940628052,0.7146611213684082,-1.1100871562957764,-2.734501838684082,1.4107112884521484,-0.10031998157501221,-2.1473288536071777,-0.6664040684700012,0.9140176177024841
Na,0.9901163578033447,-1.1543282270431519,-0.3537232279777527,-2.0411102771759033,-0.981825053691864,2.9209959506988525,1.8477976322174072,1.3051289319992065,-0.41402173042297363,-0.8377329111099243,0.9916410446166992,-1.1089749336242676,3.4196605682373047,-1.0222162008285522,-0.11955368518829346,0.570492684841156,-1.2515240907669067,-2.2907629013061523,1.8291475772857666,1.3523762226104736,0.13851362466812134,3.601738929748535,0.5433977842330933,0.40602907538414,0.7225192189216614,0.18043869733810425,0.7078192234039307,1.9259766340255737,-1.7962368726730347,0.5342589616775513,-0.026456207036972046,-0.4295148253440857,0.26119744777679443,-1.9064712524414062,0.837013840675354,1.59739351272583,-1.4277851581573486,-1.5524320602416992,0.5567886829376221,1.4251630306243896,0.9555310010910034,1.5187900066375732,0.44819122552871704,0.4041983187198639,-2.874008893966675,0.6641321182250977,-1.4556021690368652,-0.07545727491378784,-0.703477680683136,0.09323930740356445,-1.3566043376922607,0.3346105217933655,-0.39326414465904236,-1.6992483139038086,-3.044834613800049,0.828525185585022,0.07567822933197021,0.12198150157928467,0.7382097840309143,0.41868817806243896,2.877237558364868,-0.25812003016471863,0.1808335781097412,-1.086394190788269
Mg,-0.40850892663002014,-2.7539546489715576,0.5174663066864014,-1.3761554956436157,-0.7344869375228882,0.3949522078037262,-0.38312506675720215,1.187368392944336,-0.8439370393753052,-0.7432605028152466,1.4140560626983643,-1.5645087957382202,0.7132816910743713,-1.0452430248260498,0.2887011766433716,0.2478727549314499,1.1645145416259766,-0.521221399307251,-0.799175500869751,0.8274298906326294,1.580244541168213,0.931031346321106,0.4018005132675171,0.595352828502655,1.2145216464996338,1.0481159687042236,-0.2594485580921173,1.283210039138794,-1.018269419670105,0.3374946415424347,0.48396193981170654,1.8200606107711792,-1.3177624940872192,-1.4572820663452148,0.7870063781738281,0.3794099688529968,-0.7727698087692261,-2.101694345474243,1.0545446872711182,-0.8091688752174377,-0.8109173774719238,0.2248571515083313,-0.2782222628593445,-0.023257091641426086,0.18672382831573486,-1.3067069053649902,1.0032382011413574,0.8859606981277466,0.027454614639282227,-0.5737956166267395,-0.4374401569366455,0.6239156723022461,0.5395066738128662,-0.3835495114326477,-0.4362655282020569,1.3234056234359741,0.2753637731075287,-0.020884595811367035,0.09133410453796387,2.03774356842041,1.4616215229034424,-0.007617294788360596,1.1963212490081787,-0.42371052503585815
