Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.7611022591590881,-0.3660677671432495,-0.7151049971580505,-1.707356572151184,-3.349151849746704,0.41925758123397827,-2.269333839416504,1.6089115142822266
Li,2.1159071922302246,-0.828803539276123,0.0346527099609375,-2.2530593872070312,-0.3549644351005554,-0.12488102912902832,-3.1514828205108643,2.5482513904571533
Be,2.01284122467041,-1.1370562314987183,0.03218388557434082,-3.258125066757202,-2.1379971504211426,-0.12299895286560059,-0.8964040279388428,1.8288154602050781
B,2.611987829208374,-2.7033443450927734,-1.5921279191970825,-1.2361040115356445,-1.401381015777588,-1.2953121662139893,0.3384566605091095,-1.965296983718872
C,2.088336706161499,-0.11839929223060608,0.6923689842224121,-2.2842469215393066,-0.7353480458259583,1.6075026988983154,-0.8222149014472961,-1.784637451171875
N,-0.14223156869411469,-1.7883930206298828,1.040974497795105,0.2285730540752411,0.19849072396755219,-3.3484930992126465,-0.1369287371635437,-2.1546294689178467
O,-2.469986915588379,-1.6975750923156738,2.202852487564087,-1.4667682647705078,0.2591775059700012,-1.690493106842041,-1.3634318113327026,0.26558762788772583
F,-1.7069085836410522,0.144606351852417,0.593252956867218,-1.5616852045059204,-0.9572017192840576,-1.0007057189941406,-4.831345081329346,-1.8659052848815918
Na,4.81147575378418,0.2434370219707489,2.070680618286133,-0.4416256546974182,-0.39941877126693726,-1.1838024854660034,-3.7693443298339844,3.199934959411621
Mg,2.5420660972595215,0.9314672350883484,-1.804491400718689,-1.3102002143859863,-1.4722418785095215,-1.5784010887145996,-0.07413959503173828,1.4284027814865112
Al,1.9867172241210938,-0.23010991513729095,-0.7725682854652405,2.0091655254364014,-2.3214306831359863,1.0964179039001465,-1.9208217859268188,1.3187239170074463
Si,2.2619829177856445,-1.340632438659668,0.6615962982177734,1.79396390914917,-1.8097325563430786,0.7664631009101868,-0.00022408366203308105,-1.0905282497406006
P,1.0912115573883057,-1.671785831451416,1.3682353496551514,-0.3375641107559204,-2.1877601146698,2.1581554412841797,1.7782337665557861,-1.8015069961547852
S,-1.4413647651672363,-2.9208812713623047,0.28852468729019165,1.8461346626281738,-2.4516193866729736,1.3697535991668701,1.734339952468872,-1.8639695644378662
Cl,-1.7148703336715698,-0.43001633882522583,-1.4249215126037598,-1.648842692375183,-2.4397075176239014,-2.4165122509002686,-1.0767779350280762,-1.6971787214279175
K,1.7061798572540283,-0.25134313106536865,-0.08543725311756134,0.5702458620071411,0.08689594268798828,-3.965662956237793,-2.5502185821533203,3.142012596130371
Ca,3.1349375247955322,-0.9885806441307068,1.0183446407318115,-0.6927196383476257,-1.0672777891159058,-3.2610607147216797,1.2910664081573486,1.3835058212280273
Sc,3.3057572841644287,-1.8094069957733154,-3.7511539459228516,1.1429907083511353,0.6362406015396118,1.5333331823349,0.696690559387207,4.62459135055542
Ti,-0.062459349632263184,0.7426382899284363,-2.681893825531006,1.6286994218826294,1.2124202251434326,0.03290671110153198,0.05238175392150879,0.39552462100982666
V,-0.30695202946662903,3.0261898040771484,-0.3537469804286957,0.597522497177124,-0.6390900611877441,2.555598497390747,-0.20310407876968384,0.8321472406387329
Cr,0.9018735289573669,1.9179370403289795,-0.25460535287857056,2.7321619987487793,-0.24112123250961304,0.10661381483078003,2.3825833797454834,3.362957239151001
Mn,-1.9281096458435059,1.2944804430007935,-1.1127586364746094,2.4346535205841064,0.7549695372581482,0.4474973678588867,1.5543118715286255,-0.1639980971813202
Fe,1.692618489265442,2.231394052505493,1.170788288116455,0.30485856533050537,3.062737464904785,-0.06761157512664795,0.7945891618728638,3.172640800476074
Co,-0.7463576793670654,4.570008754730225,-1.901066541671753,2.678239107131958,2.9687907695770264,1.3394842147827148,0.6534790992736816,-2.003889799118042
Ni,-2.242988348007202,2.4933834075927734,-0.4312756061553955,2.1077539920806885,0.9923108816146851,-0.6358712911605835,3.6210265159606934,-2.9990506172180176
Cu,-1.4314935207366943,4.842018127441406,0.7564684152603149,3.923997402191162,1.6225234270095825,2.260402202606201,3.4561057090759277,0.5728726387023926
Zn,2.3492701053619385,2.4263007640838623,-1.8764796257019043,-0.299781858921051,-1.5509611368179321,0.42011669278144836,0.6602673530578613,-0.6090603470802307
Ga,1.068224549293518,-0.32471492886543274,-0.4211110770702362,2.256208896636963,-0.8326364755630493,-0.2920331060886383,0.014759808778762817,0.5096916556358337
Ge,0.3540523946285248,-0.22173906862735748,-1.2098495960235596,0.6712517738342285,-0.2119864523410797,1.3718070983886719,-1.116652011871338,-0.1803344488143921
As,0.5214352607727051,0.333342969417572,1.6088807582855225,0.9543567895889282,-0.7122660875320435,0.6091831922531128,-0.24566620588302612,-1.451928973197937
