Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,-1.0424261093139648,1.0981616973876953,-0.4923323690891266,-0.8036695122718811,0.27288126945495605,-0.10986870527267456,0.6909744739532471,0.13687872886657715,-0.28456366062164307,-0.6296960711479187,-0.45999613404273987,-1.0522410869598389,-2.237776279449463,0.39306479692459106,0.8158376812934875,0.6653778553009033,-1.3408805131912231,-0.6709504127502441,-1.7209618091583252,-1.470812439918518,0.6023054122924805,-0.4513014554977417,-1.8323700428009033,-1.7473844289779663,0.4476128816604614,2.3514292240142822,1.2353181838989258,-0.46919527649879456,-0.0748547911643982,4.030765056610107,0.19969621300697327,0.07655167579650879
Be,-1.6874330043792725,-0.201801598072052,1.183898687362671,3.3401641845703125,0.356406569480896,2.8551464080810547,-1.474642276763916,0.21822500228881836,2.4115374088287354,2.4538886547088623,1.761138677597046,0.09852731227874756,-0.6438935995101929,-1.539896011352539,-1.5043394565582275,0.5339452624320984,-1.222450613975525,1.1248457431793213,-1.5898901224136353,-0.6817336678504944,2.738368034362793,0.6747217178344727,-0.6068370342254639,-0.9026989936828613,-1.230722188949585,2.2770614624023438,0.16881868243217468,-0.8720059394836426,-0.17521932721138,0.2695918679237366,-0.9711142182350159,-0.07422567903995514
B,1.2425031661987305,2.170624256134033,3.1713662147521973,0.3976432681083679,-1.3695709705352783,-1.3196660280227661,-0.23064744472503662,1.7941932678222656,0.5094022750854492,3.6767115592956543,0.2610846161842346,1.6061127185821533,-0.36304062604904175,-0.19419723749160767,-0.08679836988449097,0.7312814593315125,-0.6197205185890198,0.018084704875946045,-1.6141510009765625,-1.513395071029663,2.5358266830444336,-1.3142235279083252,-0.3739420771598816,-0.8226090669631958,1.1626523733139038,2.4606077671051025,0.8091216087341309,-0.6839627623558044,0.843903660774231,-0.028862103819847107,-0.3993211090564728,-1.5339536666870117
N,-2.430037021636963,-0.7988110780715942,0.39191147685050964,0.21907737851142883,-1.5600506067276,0.8254677057266235,-1.7856814861297607,-1.341552972793579,-0.6826605796813965,0.6497704982757568,-1.0114374160766602,0.5451536774635315,-0.7204018831253052,1.105161428451538,0.7892565131187439,0.5080946087837219,-0.8066442012786865,-2.310795307159424,1.1592347621917725,-0.12367294728755951,0.7683296203613281,0.251412570476532,-0.7366638779640198,-2.069197654724121,-1.0898284912109375,0.6366345286369324,-0.22419585287570953,2.0235304832458496,0.03458279371261597,-0.7911083698272705,2.563828468322754,-1.650197982788086
O,-0.17730264365673065,-1.824187159538269,-2.930823564529419,-0.3965500593185425,1.3063219785690308,0.48102372884750366,-2.0911929607391357,-2.4972732067108154,0.8774946928024292,-1.8678176403045654,2.22141432762146,0.5797600746154785,-0.052026212215423584,0.31343287229537964,1.1759862899780273,-0.21245452761650085,-0.09848001599311829,-0.30644163489341736,1.993079662322998,-0.64415043592453,-1.6868177652359009,-0.7599524259567261,0.92525315284729,0.2596437931060791,-0.08645397424697876,1.6851887702941895,-0.6640229225158691,1.0895917415618896,-1.4672961235046387,-1.32889986038208,-1.822998285293579,-0.3182760179042816
F,0.7296950817108154,-2.1282284259796143,-0.5326348543167114,-1.5520931482315063,-1.840392827987671,0.6399648785591125,-1.5038684606552124,2.2565412521362305,-2.283547878265381,-0.2830241322517395,-0.49306249618530273,-0.48624658584594727,-0.15254884958267212,1.5296210050582886,0.4170462191104889,-0.29080793261528015,2.7278313636779785,1.0996928215026855,2.351029396057129,1.8286120891571045,-1.5314772129058838,0.5916839838027954,1.3600467443466187,0.08851081132888794,-0.5563653111457825,-0.3248974680900574,-0.0792948305606842,-1.3922514915466309,-1.3280835151672363,-2.3121514320373535,-1.526078462600708,2.555986166000366
Na,-0.6831047534942627,1.716733694076538,0.5213520526885986,-1.54637610912323,-1.3952326774597168,1.4121241569519043,2.059296131134033,-0.132615327835083,2.7748544216156006,0.5408886075019836,-0.5765166282653809,-0.5875551700592041,-0.8234642744064331,0.8185359239578247,2.79050612449646,0.4068235754966736,-0.05808373540639877,-0.9468869566917419,-1.3819996118545532,-0.5894050598144531,1.1980018615722656,2.2099530696868896,-2.7020137310028076,-0.43203651905059814,0.9564264416694641,-0.19249945878982544,1.01194429397583,-0.4294736385345459,-0.46315664052963257,2.800348997116089,-0.25961822271347046,-0.9972246885299683
Mg,-2.673576593399048,0.3249861001968384,-0.6285261511802673,0.19933530688285828,-0.21604493260383606,4.3786773681640625,1.3453028202056885,1.3317651748657227,2.8126978874206543,0.09163767099380493,2.5715065002441406,-1.3341810703277588,-1.5763040781021118,-1.1871416568756104,-0.5453148484230042,-0.6230478882789612,0.4622821509838104,0.6507794857025146,-0.3714335858821869,1.3038941621780396,1.9025870561599731,-0.47040069103240967,2.6749653816223145,-0.19511312246322632,-0.025610774755477905,0.5696490406990051,-0.07625284790992737,-0.4478972554206848,-1.1857949495315552,-0.19678694009780884,-0.39561015367507935,1.3847745656967163
Al,0.10328733921051025,0.026105791330337524,1.1603899002075195,1.1198118925094604,0.8067588210105896,-0.5530713200569153,-1.726102352142334,1.6074283123016357,2.539473533630371,1.550416350364685,0.612102746963501,-0.5999222993850708,1.3918592929840088,0.2490052580833435,2.1095995903015137,-0.43923306465148926,0.19167077541351318,-1.9870483875274658,0.43893197178840637,-1.1626414060592651,1.1342434883117676,-2.1030259132385254,-0.15622425079345703,1.5483946800231934,-0.36509233713150024,0.2962920069694519,-0.26355233788490295,-1.7230511903762817,0.9598201513290405,-0.37578243017196655,0.23973971605300903,-0.4323626160621643
Si,-0.553949773311615,0.9540345668792725,2.4763615131378174,-0.7657930850982666,0.6815360188484192,-1.1128029823303223,-2.041133403778076,0.15431267023086548,-0.3674604594707489,0.8615834712982178,-1.130976676940918,0.9469348788261414,-0.5641639232635498,-1.4775631427764893,0.37033188343048096,-0.20389284193515778,-0.9736470580101013,-0.2851617932319641,-1.4842205047607422,0.08662879467010498,-0.6258894205093384,-0.8438313007354736,0.667862057685852,0.4074689745903015,0.9533535242080688,-1.1057590246200562,-1.200299859046936,-0.42116212844848633,-0.26502013206481934,0.8437854051589966,-0.11767688393592834,-0.8446634411811829
