Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,-1.1962437629699707,1.1161384582519531,-1.852951169013977,1.291403889656067,-0.16240382194519043,0.05963584780693054,-0.9099761247634888,-1.9241011142730713
Be,-2.401059865951538,0.3264845609664917,-1.8688218593597412,-0.3322056829929352,3.2184648513793945,0.6434077620506287,-0.9506710767745972,0.5598345994949341
B,-1.8110110759735107,1.0940438508987427,-1.272223711013794,-1.643774151802063,2.975022315979004,-2.2510223388671875,-0.7983738780021667,1.7634482383728027
N,0.2608969509601593,-0.3371492028236389,-0.4734070897102356,-0.19465851783752441,1.316210150718689,-1.8389263153076172,0.4467998743057251,-2.3282299041748047
O,1.650577187538147,-1.4768110513687134,0.2076832354068756,0.3253437280654907,-0.3834092617034912,0.13577274978160858,0.9497603178024292,-1.0352522134780884
F,0.3735159635543823,1.1186192035675049,0.31166326999664307,1.637791633605957,-3.0963637828826904,-0.12788286805152893,-1.2442188262939453,1.158562421798706
Na,0.17115819454193115,1.472339391708374,-1.7334070205688477,0.42399710416793823,-1.264961838722229,-0.7829443216323853,-0.28831806778907776,-1.6484349966049194
Mg,-1.3809945583343506,-0.5854456424713135,-1.5201365947723389,1.5460102558135986,1.4777120351791382,2.7640936374664307,2.121691942214966,0.591783344745636
Al,-2.8751626014709473,2.838623046875,-0.39810362458229065,0.30883878469467163,0.7331345081329346,1.1575450897216797,-0.028049826622009277,1.6161929368972778
Si,-1.0915398597717285,2.2825748920440674,0.861030101776123,-1.5030508041381836,2.857236623764038,-0.3143461346626282,1.4686373472213745,0.8557789325714111
S,0.5512000918388367,2.071683645248413,-1.004908561706543,1.515263557434082,2.243943214416504,-0.571178138256073,1.8262790441513062,0.7085708379745483
K,1.908823013305664,0.888826310634613,-1.5407376289367676,-2.7802999019622803,-1.2067952156066895,-0.030416011810302734,-3.0547022819519043,-3.1692261695861816
Ca,1.1907968521118164,-0.5197030901908875,-2.31837797164917,1.2508550882339478,-0.25963711738586426,2.695106267929077,-0.4951474070549011,2.459815502166748
Sc,-2.9251656532287598,0.13600683212280273,-0.3086661994457245,1.3280779123306274,-2.285555362701416,5.816198348999023,-0.7535752654075623,0.3966943025588989
Ti,-1.5765109062194824,-1.7261072397232056,2.708561420440674,-0.8349148631095886,0.8149036169052124,4.09126091003418,-1.0242193937301636,1.2281004190444946
V,-2.170834541320801,0.8632249236106873,1.8497297763824463,0.8543276786804199,0.7771710157394409,1.9627083539962769,-0.6796044111251831,2.3163580894470215
Cr,-1.4499050378799438,1.0306048393249512,0.4547513723373413,-0.5226037502288818,1.8942172527313232,4.035189628601074,1.401816964149475,2.8731255531311035
Mn,-1.2541043758392334,0.11034449189901352,1.7507059574127197,-0.9528940320014954,1.4189552068710327,2.661412239074707,2.940814256668091,0.32300347089767456
Fe,1.7350082397460938,0.4215458929538727,3.200427532196045,-0.6372990012168884,1.7180935144424438,3.0750327110290527,-0.7586502432823181,0.2979140877723694
Co,-0.37105247378349304,1.6372661590576172,1.8333486318588257,0.5067659020423889,1.593587875366211,0.2188345193862915,-1.6678524017333984,0.1675383746623993
Ni,0.1255173683166504,0.5039781332015991,1.0766788721084595,0.3588406443595886,2.4458861351013184,0.57191002368927,-1.6846789121627808,0.29024186730384827
Cu,1.6040964126586914,0.9303454160690308,0.5358560085296631,0.1897035390138626,2.494607448577881,0.7990848422050476,-1.7687222957611084,0.5601245164871216
Zn,-0.6501139402389526,-0.5163621306419373,-0.8758102655410767,0.8033770322799683,1.108514428138733,0.1471228003501892,-0.7435379028320312,1.2815377712249756
Ga,-0.9751060605049133,1.7728685140609741,0.25689753890037537,1.4444622993469238,0.34125322103500366,0.9580774307250977,0.6914805173873901,2.302865505218506
Ge,-2.3607265949249268,-0.06425940990447998,1.371443271636963,1.7366690635681152,-0.12740540504455566,0.6831350922584534,-0.10523068904876709,-0.2296871393918991
As,-1.5629910230636597,-0.82206130027771,0.6201087832450867,0.21221879124641418,0.23783382773399353,-0.7680208683013916,0.48493844270706177,0.5108890533447266
Rb,-0.23328042030334473,2.2280197143554688,-2.333388566970825,-1.700167179107666,-2.6874070167541504,-1.7601310014724731,-2.590003252029419,-0.9879963994026184
Sr,1.931023359298706,0.846462607383728,-3.51111102104187,2.670722007751465,-1.8018486499786377,3.946402072906494,0.14412212371826172,0.9870143532752991
Y,-1.7300410270690918,-1.3315341472625732,-0.4266319274902344,1.5428146123886108,-2.1342403888702393,2.2696263790130615,-0.24727754294872284,2.1962554454803467
Zr,-0.39609456062316895,-2.1910102367401123,2.8983120918273926,-0.6518882513046265,-1.9069575071334839,1.9724037647247314,1.3215497732162476,2.6643333435058594
Nb,-1.476950764656067,-0.3118945062160492,3.2398550510406494,-1.1883996725082397,-0.5825655460357666,0.8110921382904053,1.5041276216506958,2.245330810546875
Mo,-0.9038105607032776,2.6043362617492676,3.0615007877349854,-1.0374177694320679,-2.1287903785705566,1.133710503578186,1.0456780195236206,1.2685790061950684
Ru,1.522381067276001,1.1188499927520752,1.4306310415267944,-1.3682861328125,0.8493527173995972,-0.29829663038253784,0.19106096029281616,1.7419764995574951
Rh,1.4663015604019165,1.5270609855651855,1.6259363889694214,-1.0505203008651733,1.0351589918136597,1.2096644639968872,-2.488211154937744,0.395501971244812
Pd,-0.6716806888580322,1.0041320323944092,-0.30618947744369507,-0.9227438569068909,-1.0136603116989136,0.13970670104026794,-1.28065824508667,0.48484882712364197
Ag,-0.20566782355308533,2.178725004196167,-0.6951544284820557,-0.6774018406867981,-1.7126424312591553,0.5204097032546997,-1.2299835681915283,-0.16998174786567688
Cd,-0.08786472678184509,-1.5339515209197998,0.14366233348846436,0.5249069929122925,0.301652729511261,-0.07220667600631714,-4.63283634185791,0.6356978416442871
In,-1.6254326105117798,0.5447559356689453,-0.05074528604745865,2.744950294494629,-0.20879359543323517,0.8854242563247681,0.08192640542984009,1.4351811408996582
Sn,-0.11626535654067993,-0.40999120473861694,3.6621193885803223,1.5994763374328613,-1.2022607326507568,-0.1623934507369995,0.7932306528091431,-0.5931832194328308
Sb,-1.5207442045211792,-1.3760032653808594,1.9021098613739014,0.553885817527771,-1.1991026401519775,-0.3169058561325073,0.8958594799041748,0.03736454248428345
Te,-1.39683198928833,-1.0930347442626953,1.3984538316726685,-0.21750718355178833,-1.0538045167922974,-1.9860601425170898,0.7309410572052002,0.05926245450973511
Cs,2.1180179119110107,2.173030376434326,-0.9629642963409424,-1.123408555984497,0.4463719427585602,-3.189802646636963,-3.22086763381958,-0.8574073910713196
Ba,2.123929023742676,0.24216613173484802,-4.768230438232422,2.7336044311523438,-3.071030378341675,-0.27338171005249023,-2.749178409576416,0.32145482301712036
La,-1.1687660217285156,-1.8945143222808838,0.4786902070045471,3.203427791595459,-3.2651264667510986,1.1092371940612793,1.1513311862945557,2.5472354888916016
Hf,0.22578519582748413,-2.6621670722961426,2.755255699157715,-0.2859712243080139,-0.15843117237091064,1.998096227645874,-0.46179085969924927,3.9421377182006836
Ta,-3.9778270721435547,-0.06836125254631042,2.968862533569336,-1.1007702350616455,2.3254477977752686,1.39673912525177,-2.096663475036621,2.0344810485839844
W,-1.9060964584350586,2.1349401473999023,2.5721895694732666,-2.077657699584961,-1.6970080137252808,2.5257608890533447,-1.2125310897827148,1.2245086431503296
Re,-0.8917520046234131,1.4334497451782227,-0.2086097002029419,-2.5976059436798096,0.45710289478302,1.1061604022979736,0.13248753547668457,3.7566614151000977
Os,1.6938939094543457,0.27398431301116943,2.5139734745025635,-3.5089032649993896,1.4914238452911377,-0.4092181921005249,-0.666870653629303,0.661734938621521
Ir,-2.2942802906036377,-0.45072174072265625,-0.23835062980651855,-2.2487382888793945,0.7386497259140015,0.8349666595458984,-2.3022074699401855,-0.27607569098472595
Pt,-0.8491322994232178,0.7329508066177368,0.42711275815963745,-1.75568425655365,-0.6472669839859009,0.6295466423034668,-2.1514036655426025,-0.5489060878753662
Au,1.644596815109253,0.2401818037033081,0.5598548054695129,-1.4687604904174805,1.2198766469955444,-0.5935202836990356,-2.1088969707489014,-0.47470200061798096
Hg,1.117693305015564,1.3436130285263062,-0.5278966426849365,-0.9738648533821106,-1.1788122653961182,0.72763991355896,-0.9965102672576904,0.13476788997650146
Tl,-0.6048652529716492,1.585641860961914,-1.0332170724868774,0.8899158239364624,-1.4207358360290527,-0.40544775128364563,-0.8899334669113159,1.0808589458465576
Pb,0.304741233587265,-1.1201368570327759,0.5518421530723572,2.117530345916748,-0.5842543244361877,-0.18116700649261475,0.051014840602874756,0.9832731485366821
Bi,-0.6794902086257935,-1.5705218315124512,0.5839517116546631,0.9441998600959778,-0.8730683326721191,-1.4551992416381836,1.8889319896697998,1.5600543022155762
