Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,1.3891963958740234,1.3416993618011475,-1.3041317462921143,1.2494667768478394,1.0834933519363403,-1.3475760221481323,0.9615949988365173,-1.0344070196151733,-1.2748732566833496,1.2543498277664185,1.0681302547454834,1.1341465711593628,0.8739712238311768,1.1601251363754272,-1.3388535976409912,-0.825412929058075,0.9461525678634644,-1.1514360904693604,-0.9856092929840088,-1.4287941455841064,0.8566247224807739,-1.423548698425293,-0.9185284376144409,1.4544597864151,-1.082853078842163,1.2412832975387573,1.1173800230026245,1.0556232929229736,1.559991717338562,-1.129695177078247,-0.9594009518623352,-1.247030258178711,-1.2431607246398926,0.9319141507148743,1.2038742303848267,-1.01768958568573,-1.1110317707061768,1.1739747524261475,-0.7219642996788025,1.0507497787475586,-1.0270642042160034,-1.0453089475631714,-1.2153223752975464,-1.3501293659210205,-1.0732687711715698,-1.011267900466919,1.2574278116226196,-1.0995999574661255,-0.8186064958572388,1.2173999547958374,-1.3174753189086914,-1.4642868041992188,-0.9619506597518921,1.1373134851455688,-1.1277611255645752,-1.2345298528671265,1.4929540157318115,-1.0682119131088257,-1.3988713026046753,1.4475858211517334,-1.1007674932479858,1.0562353134155273,0.9545527696609497,1.3480992317199707
Li,0.42286455631256104,0.34733307361602783,-0.33146241307258606,-0.02920392155647278,0.052212126553058624,-0.6522444486618042,-0.381143718957901,-0.11910391598939896,0.09920670092105865,0.27209165692329407,0.7385280132293701,0.14717033505439758,-0.426800400018692,-0.09501519799232483,-0.6375563740730286,-0.21033817529678345,-0.09223610907793045,-0.09563571959733963,0.6361205577850342,-0.452600359916687,0.2027052789926529,-0.01791970431804657,0.1465572565793991,0.6817487478256226,-0.4803941547870636,-0.12084142863750458,0.27877089381217957,0.507225513458252,1.4788917303085327,-0.31372177600860596,0.3301294147968292,-0.38489940762519836,-0.45095571875572205,0.6134536862373352,0.37487009167671204,0.010524633340537548,-0.4278167188167572,-0.020218392834067345,0.20469731092453003,0.16964545845985413,0.3011489510536194,-0.2589506208896637,0.1742621660232544,-0.7705634236335754,-0.8055942058563232,0.08580628037452698,0.9164472222328186,0.07221152633428574,-0.028826069086790085,0.06485334783792496,-0.059015318751335144,-0.6774577498435974,-0.24442985653877258,-0.25607094168663025,-0.6269976496696472,-0.28347182273864746,1.1296463012695312,0.0885399803519249,-0.9648780226707458,0.5902582406997681,-0.3973180651664734,0.1930975764989853,0.22384653985500336,0.6421647667884827
Be,0.1010054349899292,0.5255841016769409,-0.42590832710266113,0.46208760142326355,0.39765501022338867,-0.23938235640525818,0.06147923320531845,-0.41792964935302734,-0.09049289673566818,0.3763340711593628,0.40919461846351624,0.39722704887390137,0.13560791313648224,0.17188334465026855,-0.6606031060218811,-0.10239601880311966,0.28675422072410583,-0.24754731357097626,0.030264269560575485,-0.29690128564834595,0.31814131140708923,-0.43790891766548157,-0.3678170144557953,0.4367855489253998,-0.6285420060157776,0.053374577313661575,0.33083033561706543,0.6383206248283386,0.9145739078521729,-0.5297019481658936,0.15563221275806427,0.06785790622234344,-0.32329261302948,0.2973909378051758,0.2017923891544342,-0.49402567744255066,-0.3259236514568329,0.2591736912727356,-0.4399084448814392,0.3461351692676544,-0.04879911616444588,-0.25719866156578064,-0.0433807335793972,-0.4478241503238678,-0.5841518044471741,-0.2536047697067261,0.43763574957847595,-0.14009664952754974,0.04942377656698227,0.08245968073606491,-0.5127525925636292,-0.5922185182571411,-0.5137911438941956,-0.07533931732177734,-0.570243775844574,-0.1869506537914276,0.718984067440033,-0.31923192739486694,-0.8534514307975769,0.3741690516471863,-0.5703845024108887,0.3890056312084198,0.37592485547065735,0.7153393626213074
B,0.16970816254615784,1.0289193391799927,-0.4247194528579712,0.6112138628959656,0.8545722365379333,-0.5150912404060364,-0.05314766243100166,-0.8631834983825684,-0.3103468120098114,0.6409826874732971,0.8125507831573486,0.5903795957565308,-0.20660199224948883,0.024803616106510162,-0.9232174158096313,0.05064848065376282,0.8295856714248657,-0.9259929060935974,0.2704097032546997,-0.250794917345047,0.028200829401612282,-0.41732412576675415,-0.6588599681854248,0.6360726952552795,-0.8441810607910156,0.4503686726093292,0.3662906289100647,0.6887160539627075,1.0104619264602661,-0.66941899061203,-0.16629907488822937,-0.06675919890403748,-0.2903740704059601,0.6302931904792786,0.49524837732315063,-0.5855222940444946,-0.920612633228302,-0.0017663883045315742,-0.340820848941803,0.19420190155506134,-0.2813223898410797,-0.49349159002304077,-0.03372315689921379,-0.302412211894989,-0.904323935508728,-0.3818212151527405,0.806069552898407,-0.38556069135665894,-0.5593005418777466,0.06929653882980347,-0.6588002443313599,-0.6841087937355042,-0.5777583122253418,-0.23694120347499847,-0.7122541666030884,-0.5756542682647705,0.9326587915420532,-0.5783986449241638,-0.7874709963798523,0.44365984201431274,-0.5597149133682251,0.39549145102500916,0.35738885402679443,0.5114584565162659
C,0.5704440474510193,0.7407437562942505,-0.37743574380874634,0.5812317132949829,0.9586432576179504,-0.10908948630094528,0.3505841791629791,-0.8657509088516235,-0.43932539224624634,0.5181002616882324,0.5845255851745605,0.481312096118927,-0.0730380266904831,0.44950559735298157,-0.7810689806938171,-0.47729456424713135,0.8089533448219299,-0.6884162425994873,-0.42754045128822327,-0.63606196641922,0.6255383491516113,-0.5575767755508423,-0.610163152217865,0.7842663526535034,-0.8666308522224426,0.39411303400993347,0.3934270143508911,0.7098392844200134,0.46694332361221313,-0.5774689316749573,-0.5508207678794861,-0.4733213186264038,-0.47036001086235046,0.790693461894989,0.5487848520278931,-0.44766637682914734,-0.6499589085578918,0.7699924111366272,-0.5984934568405151,0.41879013180732727,-0.7265148758888245,-0.49903374910354614,0.14552004635334015,-0.3410179615020752,-1.1571788787841797,-0.384914368391037,0.7886521816253662,-0.6490843892097473,-0.26322317123413086,0.5874683856964111,-0.5959995985031128,-0.5433130860328674,-0.8000661730766296,0.08538059890270233,-0.6778782606124878,-0.648847222328186,0.431752473115921,-0.45505329966545105,-0.7881714701652527,0.7720738649368286,-0.5308310985565186,0.6439359784126282,0.47996625304222107,0.29031985998153687
N,0.19637812674045563,0.5783178806304932,-0.40177708864212036,0.7043364644050598,0.5485202074050903,-0.1532609462738037,0.299148827791214,-0.6821463704109192,-0.7322607040405273,0.8438675999641418,0.24763990938663483,0.46974825859069824,0.22323772311210632,0.5754152536392212,-0.607955813407898,-0.6391428112983704,0.4336944818496704,-0.7060936689376831,-0.7524279952049255,-0.5054475665092468,0.20307821035385132,-0.5921671390533447,-0.5232593417167664,0.5349215865135193,-0.37991979718208313,0.5021310448646545,0.4230671226978302,0.26511651277542114,-0.17880086600780487,-0.48131003975868225,-0.6490476727485657,-0.5233727097511292,-0.340925395488739,0.4128605127334595,0.22828811407089233,-0.5240179896354675,-0.48090797662734985,0.6762601733207703,-0.7420095801353455,0.29302874207496643,-0.41624537110328674,-0.7107484936714172,0.3723185360431671,-0.12170194089412689,-0.288552463054657,-0.8256885409355164,0.46104100346565247,-0.6565104126930237,-0.6442047953605652,0.6349822878837585,-0.6476717591285706,-0.4696694612503052,-0.17516709864139557,0.5690551400184631,-0.2185247242450714,-0.09271728992462158,-0.21379083395004272,-0.46979275345802307,-0.6181842088699341,0.2711089253425598,-0.45841360092163086,0.668508768081665,0.4072420597076416,0.18844594061374664
O,0.10753393173217773,0.09378142654895782,0.23714590072631836,0.12395454198122025,0.24528257548809052,-0.41812002658843994,-0.0336591862142086,-0.3695196211338043,-0.08726246654987335,0.8137311935424805,0.3037993609905243,0.37703365087509155,0.15554237365722656,0.5177353024482727,-0.487948477268219,-0.17485836148262024,0.3962915241718292,-0.47622257471084595,-0.30767473578453064,-0.7273586392402649,0.050444915890693665,-0.29611483216285706,-0.07819954305887222,0.6009718179702759,-0.3527936637401581,0.14605428278446198,0.2189740389585495,0.29536348581314087,0.6377123594284058,-0.09927073121070862,-0.2354736328125,-0.7769260406494141,-0.21883392333984375,1.0203150510787964,0.03330865874886513,-0.4432488977909088,-0.2562755346298218,0.4537479877471924,-0.5998527407646179,0.3347422480583191,-0.16751304268836975,-0.6295418739318848,0.4904135465621948,-0.27865418791770935,-0.3228093087673187,-0.510684072971344,0.15765000879764557,-0.5066221952438354,-0.47399452328681946,0.049462415277957916,-0.5271167755126953,-0.11609350144863129,-0.23602086305618286,0.44449514150619507,-0.37376323342323303,0.37677860260009766,-0.12356048077344894,-0.46298322081565857,-0.109955795109272,0.3582654595375061,-0.11747346818447113,0.16276684403419495,-0.08120493590831757,-0.1806115210056305
F,-0.07192643731832504,-0.3569079339504242,0.3417317569255829,0.13695228099822998,0.01426720805466175,-0.8494147062301636,-0.08415303379297256,0.02714298665523529,0.3772698640823364,0.512132465839386,0.23335686326026917,0.02828773856163025,-0.02390364371240139,0.11952565610408783,-0.5372205972671509,-0.18285754323005676,-0.23406174778938293,-0.006999514997005463,0.11682454496622086,-0.18017840385437012,-0.32042282819747925,0.29403236508369446,0.4908826947212219,0.5608667135238647,0.13617931306362152,-0.12222054600715637,0.24177049100399017,0.14237187802791595,0.4221525192260742,-0.10976039618253708,-0.11220813542604446,-0.6813213229179382,0.22263070940971375,0.975430428981781,-0.0771251693367958,-0.2607872784137726,-0.30263906717300415,0.4253412187099457,-0.24139733612537384,0.20039643347263336,-0.03400062024593353,-0.47266748547554016,0.6843268275260925,-0.3823503851890564,0.13273869454860687,-0.7126487493515015,0.1721682995557785,-0.5328080654144287,-1.1011250019073486,0.1199091225862503,-0.13490889966487885,-0.050993431359529495,0.09575007110834122,0.2783748507499695,-0.34937605261802673,0.5516036748886108,0.03077852353453636,0.09957147389650345,-0.08353228867053986,0.005596013739705086,-0.07738258689641953,0.011626971885561943,-0.2302427738904953,-0.4784899055957794
Na,0.4108566343784332,0.07794471830129623,0.1277896612882614,-0.14201706647872925,-0.11124194413423538,-0.47323691844940186,-0.5773352980613708,-0.0815797671675682,0.1629369556903839,0.1601625233888626,0.25820401310920715,0.07309144735336304,-0.17517277598381042,0.2244376391172409,-0.43687915802001953,0.13586625456809998,-0.30469608306884766,-0.07930063456296921,0.44567203521728516,-0.6864643096923828,0.3102925419807434,-0.11387200653553009,-0.0648292750120163,0.6555580496788025,-0.40175873041152954,-0.34326842427253723,0.23061589896678925,0.5277636647224426,0.7894389033317566,-0.14799968898296356,0.47589102387428284,-0.16827253997325897,-0.2937138080596924,0.2010076642036438,0.3004646897315979,0.12531650066375732,-0.23691824078559875,-0.12991903722286224,0.2514459192752838,-0.05044310539960861,0.09906251728534698,-0.15088355541229248,-0.2258664220571518,-0.21033543348312378,-0.4836927354335785,0.4067429304122925,0.6326298713684082,0.11892044544219971,0.49810269474983215,-0.02338283881545067,0.007497045677155256,-0.6500071287155151,0.16296237707138062,0.0144111979752779,-0.5161830186843872,-0.010121075436472893,0.3209720253944397,0.030127856880426407,-0.5725955367088318,0.4200459122657776,-0.29482847452163696,0.0908963531255722,0.13223756849765778,0.5109984874725342
Mg,0.24320249259471893,-0.10256415605545044,-0.03629054129123688,-0.004961686674505472,0.248370960354805,-0.4836108982563019,0.011085442267358303,0.044949185103178024,-0.07187404483556747,0.3778459429740906,-0.05636824667453766,0.2263801544904709,0.15939506888389587,0.24736112356185913,-0.4049530029296875,-0.3889223039150238,-0.08764278888702393,-0.03387293964624405,-0.3206622898578644,-0.5451192855834961,0.3707195520401001,-0.14169935882091522,-0.21598200500011444,0.23323488235473633,-0.002478131093084812,0.02252625674009323,0.03448396176099777,0.07540370523929596,0.3664829134941101,-0.17719681560993195,0.0183582566678524,-0.04374399036169052,-0.06099601835012436,0.21821129322052002,0.41105812788009644,0.0014859315706416965,-0.2168152779340744,0.2852068841457367,-0.03636735677719116,0.10978272557258606,-0.11431813985109329,-0.2594255805015564,-0.5502543449401855,0.041675321757793427,-0.04386782646179199,0.08126196265220642,-0.07227836549282074,-0.25504031777381897,0.337955504655838,0.011646762490272522,-0.33171647787094116,-0.5276639461517334,0.15440106391906738,0.2864987254142761,-0.2784234881401062,-0.0669732615351677,-0.09816601127386093,0.09251725673675537,-0.21794386208057404,0.17537206411361694,-0.4110606908798218,0.03748898580670357,0.33983084559440613,0.36241820454597473
