Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.8478948473930359,-1.1886203289031982,-1.5895652770996094,1.6067018508911133,1.301601767539978,1.5112793445587158,1.248056411743164,0.5153717994689941
Li,-0.011030050925910473,-0.30471640825271606,-0.4061884880065918,0.9335497617721558,0.1252429038286209,0.4493711590766907,0.30589553713798523,-0.008810081519186497
Be,-0.32536831498146057,-1.012805461883545,-0.3180907666683197,0.6205796599388123,0.25878459215164185,0.730479896068573,0.3780580461025238,0.5524605512619019
B,-0.48504289984703064,-1.0573431253433228,-0.4593646824359894,0.6894951462745667,0.21516309678554535,0.8032041788101196,0.9322047829627991,0.5726850032806396
C,-0.3013627231121063,-1.1106935739517212,-0.3995656371116638,0.8630639910697937,0.5445897579193115,0.8906806111335754,1.1543951034545898,0.5573404431343079
N,-0.22947807610034943,-0.19122441112995148,-0.3468903601169586,0.7041059732437134,0.44491273164749146,0.6878158450126648,0.7171965837478638,-0.013718771748244762
O,-0.10794993489980698,0.4383537173271179,-0.7949709296226501,0.7459880709648132,0.45121511816978455,0.19157136976718903,0.23598235845565796,-0.5124619007110596
F,0.05837678536772728,1.473837971687317,-0.31162741780281067,0.3496130108833313,0.04998449981212616,0.0011772415600717068,0.09213682264089584,-0.6831616759300232
Na,0.287873774766922,-0.668590784072876,-0.21355296671390533,0.6763837337493896,-0.26292988657951355,0.22726282477378845,0.013367817737162113,-0.044338058680295944
Mg,-0.06190762668848038,-0.8484300971031189,-0.36690419912338257,0.22218412160873413,0.020067719742655754,0.5164670348167419,0.2635810375213623,0.011431175284087658
Al,0.10188771039247513,-0.8210411071777344,-0.22255587577819824,0.7308743000030518,0.13331729173660278,0.5398291945457458,0.1677255928516388,-0.0075134169310331345
Si,-0.07240357995033264,-0.8041627407073975,0.11101388931274414,0.5298457145690918,0.28484266996383667,0.6498798131942749,0.5431029200553894,0.021848628297448158
P,-0.17491458356380463,-0.9361494183540344,-0.189979687333107,0.41989508271217346,-0.21299801766872406,0.4049506187438965,0.46303340792655945,0.18136334419250488
S,1.5964578778948635e-05,-0.6987289190292358,-0.03840404003858566,0.43443983793258667,0.055470578372478485,0.003264525206759572,0.21371479332447052,0.17877160012722015
Cl,0.4654843509197235,0.6545439958572388,0.42211252450942993,0.19135820865631104,0.24438929557800293,-0.01669103093445301,0.014219453558325768,-0.5583595037460327
K,0.7984427809715271,-0.17689675092697144,-0.07803017646074295,-0.2685634195804596,-0.3686894178390503,-0.17733758687973022,-0.042077869176864624,-0.32125914096832275
Ca,0.3406620919704437,-0.65372234582901,-0.27217695116996765,-0.14689084887504578,0.10973412543535233,0.3812386691570282,0.14293380081653595,0.40048885345458984
