Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.0520110130310059,-1.2799787521362305,1.4352340698242188,0.8853830099105835,1.3963907957077026,-0.8492255210876465,-0.8128089904785156,0.8402760624885559,1.2686415910720825,-0.9988089799880981,1.3577486276626587,1.2720266580581665,-1.4963101148605347,1.7550653219223022,-1.142073631286621,1.7556382417678833
Li,0.5964135527610779,-0.606320321559906,0.6298558115959167,0.010350700467824936,0.5164210200309753,-0.699379026889801,0.047955479472875595,0.6210067868232727,0.34851181507110596,-0.37689605355262756,0.4770245850086212,0.1370776742696762,-1.0083410739898682,0.7369115352630615,0.056725095957517624,0.45148783922195435
Be,0.1653105467557907,-0.7086368203163147,0.5720630288124084,0.44988584518432617,0.5962628126144409,-0.14982056617736816,-0.2936788499355316,0.21862879395484924,0.9405255913734436,-0.6966058611869812,0.3221525251865387,0.4598434567451477,-0.6238082051277161,0.6000893115997314,-0.6998304128646851,0.543121337890625
B,0.5404143333435059,-0.7030974626541138,1.2103996276855469,0.7560449242591858,0.6612910032272339,-0.39860230684280396,-0.41064733266830444,0.4962843358516693,0.6140837669372559,-0.5516141653060913,0.5221953392028809,0.44738659262657166,-0.8397045731544495,1.202260971069336,-0.6093535423278809,0.7929218411445618
C,0.6642483472824097,-0.41743752360343933,0.5717265605926514,0.27907323837280273,0.6498612761497498,-0.5507717132568359,-0.4375605285167694,0.8167179226875305,0.5382907390594482,-0.7443597912788391,0.428339421749115,0.5983076095581055,-0.6383858323097229,0.6569440364837646,-0.6626282930374146,0.813503623008728
N,0.2601722776889801,-0.1303403228521347,0.4501790702342987,0.4151393175125122,0.4453619420528412,-0.5759032368659973,-0.4646218419075012,0.5335548520088196,0.38687804341316223,-0.34407585859298706,0.26245319843292236,0.4696662425994873,-0.35121238231658936,0.6792557239532471,-0.5583925843238831,0.8248087763786316
O,0.054974135011434555,0.4088781774044037,0.6329197287559509,0.595151960849762,0.42023932933807373,0.08325587213039398,-0.06734224408864975,0.11836747825145721,0.6082670092582703,-0.47941309213638306,0.33394739031791687,0.2519434094429016,-0.095221146941185,0.549914538860321,-0.7057290077209473,0.6398318409919739
F,-0.07086270302534103,0.3017827868461609,0.6924312710762024,0.2258175164461136,0.4125920832157135,0.46777012944221497,0.26898202300071716,-0.9120568633079529,0.7840562462806702,-0.04237010329961777,-0.09286460280418396,-0.21725577116012573,0.021441921591758728,0.18047098815441132,-0.6745222210884094,0.7797322869300842
Na,0.46938973665237427,-0.42463189363479614,0.0822732001543045,-0.5762591361999512,0.3884385824203491,-0.48019689321517944,0.0028088847175240517,0.2812182605266571,0.31410542130470276,0.0036648698151111603,0.33737531304359436,-0.06812860816717148,-0.5755445957183838,0.7554287910461426,0.3075202703475952,0.08379198610782623
Mg,0.1807807832956314,-0.5557364225387573,-0.1277516931295395,-0.4652057886123657,0.2401852160692215,-0.15636208653450012,-0.317161500453949,0.3101394474506378,0.310398668050766,-0.09825970977544785,0.2966238856315613,0.33634278178215027,-0.30395805835723877,0.5695499181747437,-0.2745918035507202,0.055379483848810196
Al,0.19429565966129303,-0.7008984684944153,0.8552801012992859,-0.3260696232318878,0.0377369225025177,-0.28384432196617126,-0.3458632528781891,0.3678489029407501,0.08554170280694962,-0.10499951243400574,0.3015190064907074,-0.07083632051944733,-1.2755533456802368,0.8158766627311707,0.367635041475296,0.38384810090065
Si,0.32143300771713257,-0.7236475348472595,0.6467663049697876,-0.47578221559524536,0.34987011551856995,-0.565334677696228,-0.30985739827156067,0.6017027497291565,0.06409583985805511,-0.2883739769458771,0.36714985966682434,0.12567152082920074,-1.0606639385223389,0.7327123284339905,-0.0757303386926651,0.3274748623371124
P,0.3514992296695709,-0.22676394879817963,-0.05148501321673393,-0.4415053725242615,0.15165024995803833,-0.5951811671257019,-0.44963595271110535,0.4431573450565338,0.2288263887166977,-0.3503005802631378,0.4868815243244171,0.04973704367876053,-0.28504303097724915,0.5079030990600586,0.1661219596862793,0.5063477754592896
S,0.12440478801727295,-0.0651535838842392,-0.10928969085216522,-0.34477153420448303,0.06336966156959534,-0.376810222864151,-0.43566325306892395,0.3474481701850891,0.0935303121805191,-0.33795079588890076,0.44921615719795227,0.16941341757774353,-0.2123027890920639,0.17414772510528564,-0.0054289186373353004,0.12240797281265259
Cl,-0.1846415400505066,-0.12997663021087646,0.34550997614860535,-0.24860486388206482,0.31609904766082764,0.3066329061985016,0.09047701954841614,-0.5428351759910583,0.4423450827598572,0.31716659665107727,-0.06675678491592407,-0.24246831238269806,-0.05023585259914398,0.037376850843429565,-0.2894262969493866,0.17415721714496613
